.id,chemical,median_POD,POD_med,cil_POD,mean_POD,ciu_POD,hit_confidence,lowest_conc,highest_conc
fitted_affected_rate_pos_dir,1-Decanol,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_affected_rate_pos_dir,1-Octanol,10,10,10,10,10,0,0.001,10.0000000
fitted_affected_rate_pos_dir,17betaestradiol,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
fitted_affected_rate_pos_dir,24-DMP,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_affected_rate_pos_dir,24-DNP,1.2368829934356522,1.2370755475180593,1.0726472546111432,1.4122339308736127,3.1085668870099004,0.998,0.001,10.0000000
fitted_affected_rate_pos_dir,34-DCA,0.24432097806468475,0.24480867148300794,0.1302747837257896,0.2858814785091615,0.6562158185376604,0.997,9.999999999999999e-5,1.0000000
fitted_affected_rate_pos_dir,4-TPP,0.250189323354525,0.2502725242282274,0.1410135232430218,0.31709180549091875,0.6328022868662462,0.975,9.999999999999999e-5,1.0000000
fitted_affected_rate_pos_dir,4C3MP,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_affected_rate_pos_dir,4TOP,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
fitted_affected_rate_pos_dir,Aniline,10,10,10,10,10,0,0.001,10.0000000
fitted_affected_rate_pos_dir,BPA,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_affected_rate_pos_dir,BPAF,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_affected_rate_pos_dir,Clofibric-acid,10,10,10,10,10,0,0.001,10.0000000
fitted_affected_rate_pos_dir,DES,0.0010729283361587765,0.003341848922747775,5.0863194808510046e-5,9.594852207536605e-4,0.04099082304563265,0.671,9.999999999999999e-6,0.1000000
fitted_affected_rate_pos_dir,DMSO,10,10,10,10,10,0,0.001,10.0000000
fitted_affected_rate_pos_dir,EE2,5.029775061214402e-4,0.001,1.0989494363837085e-4,4.0799480468913603e-4,0.001,0.182,1e-7,0.0010000
fitted_affected_rate_pos_dir,Fadrozole,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_affected_rate_pos_dir,Fenitrothione,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_affected_rate_pos_dir,Fluoxetine,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
fitted_affected_rate_pos_dir,Flutamide,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_affected_rate_pos_dir,Glyphosate,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_affected_rate_pos_dir,Malathion,1,1,0.2758225682565475,0.7791035050876045,1,0.171,9.999999999999999e-5,1.0000000
fitted_affected_rate_pos_dir,NN-Dimethylformamide,1000,1000,1000,1000,1000,0,0.09999999999999999,1000.0000000
fitted_affected_rate_pos_dir,Prochloraz,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_affected_rate_pos_dir,SDS,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
fitted_affected_rate_pos_dir,TEG,1000,1000,1000,1000,1000,0,0.09999999999999999,1000.0000000
fitted_affected_rate_pos_dir,TGSH,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_affected_rate_pos_dir,Trenbolone,0.0011965331836525633,0.09999999999999999,1.8815346143858562e-4,0.0018629016070502813,0.015447429438782495,0.131,9.999999999999999e-6,0.1000000
fitted_affected_rate_pos_dir,Vinclozolin,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
