Dose (mg/L),Dose,Replicate,Alive,Hatched,Deformed,Survival Rate,Deformity Rate,Hatch Rate,Affected Rate
1,Dose_1,A,17,17,0,0.85,0,0.85,0.15
1,Dose_1,B,19,19,0,0.95,0,0.95,0.05
1,Dose_1,C,20,20,1,1,0.05,1,0.05
0.1,Dose_2,A,19,19,0,0.95,0,0.95,0.05
0.1,Dose_2,B,20,20,0,1,0,1,0
0.1,Dose_2,C,18,18,0,0.9,0,0.9,0.1
0.01,Dose_3,A,18,18,0,0.9,0,0.9,0.1
0.01,Dose_3,B,18,18,0,0.9,0,0.9,0.1
0.01,Dose_3,C,20,20,0,1,0,1,0
0.001,Dose_4,A,17,17,0,0.85,0,0.85,0.15
0.001,Dose_4,B,19,19,0,0.95,0,0.95,0.05
0.001,Dose_4,C,19,19,0,0.95,0,0.95,0.05
0.0001,Dose_5,A,19,19,0,0.95,0,0.95,0.05
0.0001,Dose_5,B,20,20,0,1,0,1,0
0.0001,Dose_5,C,19,19,0,0.95,0,0.95,0.05
0,Control,A,20,20,0,1,0,1,0
0,Control,B,20,20,0,1,0,1,0
0,Control,C,17,17,0,0.85,0,0.85,0.15
