Dose (mg/L),Replicate,Dose,Alive,Hatched,Deformed,Survival Rate,Deformity Rate,Hatch Rate,Affected Rate
1,A,Dose_1,15,15,3,0.75,0.15,0.75,0.4
1,B,Dose_1,15,15,1,0.75,0.05,0.75,0.3
1,C,Dose_1,16,16,3,0.8,0.15,0.8,0.35
0.1,A,Dose_2,18,18,1,0.9,0.05,0.9,0.15
0.1,B,Dose_2,16,16,1,0.8,0.05,0.8,0.25
0.1,C,Dose_2,13,13,1,0.65,0.05,0.65,0.4
0.01,A,Dose_3,15,15,1,0.75,0.05,0.75,0.3
0.01,B,Dose_3,17,17,2,0.85,0.1,0.85,0.25
0.01,C,Dose_3,17,17,1,0.85,0.05,0.85,0.2
0.001,A,Dose_4,19,19,0,0.95,0,0.95,0.05
0.001,B,Dose_4,14,14,1,0.7,0.05,0.7,0.35
0.001,C,Dose_4,14,14,0,0.7,0,0.7,0.3
0.0001,A,Dose_5,16,16,0,0.8,0,0.8,0.2
0.0001,B,Dose_5,15,15,1,0.75,0.05,0.75,0.3
0.0001,C,Dose_5,16,16,1,0.8,0.05,0.8,0.25
0,A,Control,16,16,1,0.8,0.05,0.8,0.25
0,B,Control,17,17,0,0.85,0,0.85,0.15
0,C,Control,15,15,1,0.75,0.05,0.75,0.3
