Dose (mg/L),Replicate,Dose,Alive,Hatched,Deformed,Survival Rate,Deformity Rate,Hatch Rate,Affected Rate
1000,A,Dose_1,19,19,0,0.95,0,0.95,0.05
1000,B,Dose_1,18,18,0,0.9,0,0.9,0.1
1000,C,Dose_1,20,20,0,1,0,1,0
100,A,Dose_2,20,20,0,1,0,1,0
100,B,Dose_2,20,20,0,1,0,1,0
100,C,Dose_2,17,17,0,0.85,0,0.85,0.15
10,A,Dose_3,18,18,0,0.9,0,0.9,0.1
10,B,Dose_3,20,20,0,1,0,1,0
10,C,Dose_3,20,20,0,1,0,1,0
1,A,Dose_4,20,20,2,1,0.1,1,0.1
1,B,Dose_4,15,15,0,0.75,0,0.75,0.25
1,C,Dose_4,20,20,0,1,0,1,0
0.1,A,Dose_5,20,20,0,1,0,1,0
0.1,B,Dose_5,20,20,0,1,0,1,0
0.1,C,Dose_5,19,19,0,0.95,0,0.95,0.05
0,A,Control,20,20,0,1,0,1,0
0,B,Control,19,19,0,0.95,0,0.95,0.05
0,C,Control,19,19,0,0.95,0,0.95,0.05
