Dose (mg/L),Dose,Replicate,Alive,Hatched,Deformed,Survival Rate,Deformity Rate,Hatch Rate,Affected Rate
100,Dose_1,C,15,15,1,0.75,0.05,0.75,0.3
100,Dose_1,B,16,16,1,0.8,0.05,0.8,0.25
100,Dose_1,A,16,16,2,0.8,0.1,0.8,0.3
10,Dose_2,C,13,13,1,0.65,0.05,0.65,0.4
10,Dose_2,B,13,13,1,0.65,0.05,0.65,0.4
10,Dose_2,A,12,11,4,0.6,0.2,0.55,0.6
1,Dose_3,C,11,11,3,0.55,0.15,0.55,0.6
1,Dose_3,B,14,14,2,0.7,0.1,0.7,0.4
1,Dose_3,A,12,12,3,0.6,0.15,0.6,0.55
0.1,Dose_4,C,16,16,2,0.8,0.1,0.8,0.3
0.1,Dose_4,B,16,16,1,0.8,0.05,0.8,0.25
0.1,Dose_4,A,14,14,0,0.7,0,0.7,0.3
0.01,Dose_5,C,17,17,1,0.85,0.05,0.85,0.2
0.01,Dose_5,B,14,14,3,0.7,0.15,0.7,0.45
0.01,Dose_5,A,14,14,1,0.7,0.05,0.7,0.35
0,Control,C,14,14,1,0.7,0.05,0.7,0.35
0,Control,B,13,13,0,0.65,0,0.65,0.35
0,Control,A,18,18,1,0.9,0.05,0.9,0.15
