Dose (mg/L),Dose,Replicate,Alive,Hatched,Deformed,Survival Rate,Deformity Rate,Hatch Rate,Affected Rate
10,Dose_1,A,0,0,0,0,0,0,1
10,Dose_1,B,0,0,0,0,0,0,1
10,Dose_1,C,0,0,0,0,0,0,1
1,Dose_2,A,16,16,2,0.8,0.1,0.8,0.3
1,Dose_2,B,18,18,0,0.9,0,0.9,0.1
1,Dose_2,C,20,20,0,1,0,1,0
0.1,Dose_3,A,19,19,0,0.95,0,0.95,0.05
0.1,Dose_3,B,19,19,0,0.95,0,0.95,0.05
0.1,Dose_3,C,20,20,0,1,0,1,0
0.01,Dose_4,A,18,18,0,0.9,0,0.9,0.1
0.01,Dose_4,B,16,16,1,0.8,0.05,0.8,0.25
0.01,Dose_4,C,19,19,1,0.95,0.05,0.95,0.1
0.001,Dose_5,A,18,18,0,0.9,0,0.9,0.1
0.001,Dose_5,B,19,19,0,0.95,0,0.95,0.05
0.001,Dose_5,C,19,19,0,0.95,0,0.95,0.05
0.0001,Dose_6,A,19,19,0,0.95,0,0.95,0.05
0.0001,Dose_6,B,18,18,0,0.9,0,0.9,0.1
0.0001,Dose_6,C,18,18,0,0.9,0,0.9,0.1
0,Control,A,20,20,0,1,0,1,0
0,Control,B,19,19,0,0.95,0,0.95,0.05
0,Control,C,19,19,1,0.95,0.05,0.95,0.1
