Dose (mg/L),Dose,Replicate,Alive,Hatched,Deformed,Survival Rate,Deformity Rate,Hatch Rate,Affected Rate
1,Dose_1,A,0,0,0,0,0,0,1
1,Dose_1,B,0,0,0,0,0,0,1
1,Dose_1,C,0,0,0,0,0,0,1
0.1,Dose_2,A,14,14,0,0.7,0,0.7,0.3
0.1,Dose_2,B,17,16,2,0.85,0.1,0.8,0.25
0.1,Dose_2,C,20,20,0,1,0,1,0
0.01,Dose_3,A,15,15,0,0.75,0,0.75,0.25
0.01,Dose_3,B,17,17,0,0.85,0,0.85,0.15
0.01,Dose_3,C,16,14,1,0.8,0.05,0.7,0.25
0.001,Dose_4,A,20,20,0,1,0,1,0
0.001,Dose_4,B,16,16,0,0.8,0,0.8,0.2
0.001,Dose_4,C,18,18,0,0.9,0,0.9,0.1
0.0001,Dose_5,A,19,19,0,0.95,0,0.95,0.05
0.0001,Dose_5,B,18,18,0,0.9,0,0.9,0.1
0.0001,Dose_5,C,19,19,0,0.95,0,0.95,0.05
0.00001,Dose_6,A,18,18,0,0.9,0,0.9,0.1
0.00001,Dose_6,B,14,14,0,0.7,0,0.7,0.3
0.00001,Dose_6,C,18,18,1,0.9,0.05,0.9,0.15
0,Control,A,16,16,0,0.8,0,0.8,0.2
0,Control,B,16,16,1,0.8,0.05,0.8,0.25
0,Control,C,15,15,0,0.75,0,0.75,0.25
