GO/Pathway/Gene Set/Gene ID,GO/Pathway/Gene Set/Gene Name,All Genes (Expression Data),All Genes (Platform),Input Genes,Genes with BMD <= Highest Dose,Genes with BMD p-Value >= ,Genes with BMD/BMDL <= ,Genes with BMDU/BMD <= ,Genes with BMDU/BMDL <= ,Genes with BMD <= N-Fold Lowest Positive Dose ,Genes That Passed All Filters,Fisher's A Parameter,Fisher's B Parameter,Fisher's C Parameter,Fisher's D Parameter,Fisher's Exact Left P-Value,Fisher's Exact Right P-Value,Fisher's Exact Two Tail,Percentage,Entrez Gene IDs,Gene Symbols,Probe IDs,Genes with Conflicting Probesets,BMD Mean,BMD Median,BMD Minimum,BMD Standard Deviation,BMD wMean,BMD wSD,BMDL Mean,BMDL Median,BMDL Minimum,BMDL Standard Deviation,BMDL wMean,BMDL wSD,BMDU Mean,BMDU Median,BMDU Minimum,BMDU Standard Deviation,BMDU wMean,BMDU wSD,5th Percentile Index,BMD at 5th Percentile of Total Genes,10th Percentile Index,BMD at 10th Percentile of Total Genes,BMD List,BMDL List,BMDU List,Probes with Adverse Direction Up,Probes with Adverse Direction Down,Genes with Adverse Direction Up,Genes Up List,Genes Up Probes List,Genes Up BMD Mean,Genes Up BMD Median,Genes Up SD,Genes Up BMDL Mean,Genes Up BMDL Median,Genes Up BMDL SD,Genes Up BMDU Mean,Genes Up BMDU Median,Genes Up BMDU SD,BMD list (up),BMDL List (up),BMDU List (up),Genes with Adverse Direction Down,Genes Down List,Genes Down Probes List,Genes Down BMD Mean,Genes Down BMD Median,Genes Down SD,Genes Down BMDL Mean,Genes Down BMDL Median,Genes Down BMDL SD,Genes Down BMDU Mean,Genes Down BMDU Median,Genes Down BMDU SD,BMD list (down),BMDL List (down),BMDU List (down),Genes with Adverse Conflict Count,Genes Conflict List,Genes Conflict Probes List,BMD list (Conflict),BMDL list (Conflict),BMDU list (Conflict),Model Counts,Mean Fold Change,Total Fold Change,Min Fold Change,Max Fold Change,Standard Deviation Fold Change,Median Fold Change,Lower bound of the 95% confidence interval -  BMD,Upper bound of the 95% confidence interval -  BMD,Lower bound of the 95% confidence interval -  BMDL,Upper bound of the 95% confidence interval -  BMDL,Lower bound of the 95% confidence interval -  BMDU,Upper bound of the 95% confidence interval -  BMDU,Overall Direction,Percent Genes With Overall Direction Up,Percent Genes With Overall Direction Down,Percent Genes With Overall Direction Conflict
R-DRE-109582,Hemostasis,111,307,10,7,3,6,6,6,10,1,1,13,306,4572,0.78202,0.59691,0.59691,0.33,767657,abhd12,ENSDARG00000071004,,85.0347,85.0347,85.0347,,85.0347,,33.1646,33.1646,33.1646,,33.1646,,218.031,218.031,218.031,,218.031,,,,,,85.0347,33.1646,218.031,0,1,0,,,,,,,,,,,,,,,1,767657,ENSDARG00000071004,85.0347,85.0347,,33.1646,33.1646,,218.031,218.031,,85.0347,33.1646,218.031,0,,,,,,"Linear,1(1)",2.230941772,2.230941772,2.230941772,2.230941772,0,2.230941772,85.0347,85.0347,33.1646,33.1646,218.031,218.031,DOWN,0,1,0
R-DRE-114608,Platelet degranulation ,27,69,4,3,1,3,3,3,4,0,0,14,69,4809,0.81944,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
R-DRE-168249,Innate Immune System,215,502,18,12,5,13,13,10,18,0,0,14,502,4376,0.21916,1,0.38634,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
R-DRE-168256,Immune System,298,839,22,15,7,16,16,12,22,0,0,14,839,4039,0.071513,1,0.14767,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
R-DRE-6798695,Neutrophil degranulation,129,300,12,9,3,9,9,8,12,0,0,14,300,4578,0.4118,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
R-DRE-76002,"Platelet activation, signaling and aggregation",56,141,6,5,3,4,4,4,6,1,1,13,140,4738,0.94015,0.33635,0.33635,0.71,767657,abhd12,ENSDARG00000071004,,85.0347,85.0347,85.0347,,85.0347,,33.1646,33.1646,33.1646,,33.1646,,218.031,218.031,218.031,,218.031,,,,,,85.0347,33.1646,218.031,0,1,0,,,,,,,,,,,,,,,1,767657,ENSDARG00000071004,85.0347,85.0347,,33.1646,33.1646,,218.031,218.031,,85.0347,33.1646,218.031,0,,,,,,"Linear,1(1)",2.230941772,2.230941772,2.230941772,2.230941772,0,2.230941772,85.0347,85.0347,33.1646,33.1646,218.031,218.031,DOWN,0,1,0
R-DRE-76005,Response to elevated platelet cytosolic Ca2+,28,71,4,3,1,3,3,3,4,0,0,14,71,4807,0.81469,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
R-DRE-1430728,Metabolism,447,1029,30,20,9,22,22,21,30,5,5,9,1024,3854,0.94561,0.15276,0.18923,0.49,569581;561810;554095;553384;402943,mut;dnph1;fabp1b.1;cox10;stard10,ENSDARG00000060554;ENSDARG00000075730;ENSDARG00000059227;ENSDARG00000034309;ENSDARG00000097718,,61.06664,57.3633,43.9064,18.1396145,59.38411644,15.33067511,29.371,29.5208,25.501,2.939195991,29.26084701,2.482257073,130.86032,111.466,75.596,68.5964508,123.3446948,58.08534437,,,,,52.5384;91.6264;59.8987;57.3633;43.9064,28.2291;33.5954;30.0087;29.5208;25.501,97.7816;249.897;119.561;111.466;75.596,3,2,3,569581;554095;402943,ENSDARG00000060554;ENSDARG00000059227;ENSDARG00000097718,52.1145,52.5384,8.004572645,27.91293333,28.2291,2.270420852,97.6462,97.7816,21.98281274,52.5384;59.8987;43.9064,28.2291;30.0087;25.501,97.7816;119.561;75.596,2,561810;553384,ENSDARG00000075730;ENSDARG00000034309,74.49485,74.49485,24.22767035,31.5581,31.5581,2.881177291,180.6815,180.6815,97.88549883,91.6264;57.3633,33.5954;29.5208,249.897;111.466,0,,,,,,"Linear,5(1)",2.255059246,11.63831484,1.601469636,3.159320831,0.654812938,2.087209225,45.16656685,76.96671315,26.79468112,31.94731888,70.73287982,190.9877602,UP,0.6,0.4,0
R-DRE-156580,Phase II - Conjugation of compounds,26,48,3,2,1,3,3,2,3,0,0,14,48,4830,0.8709,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
R-DRE-211859,Biological oxidations,54,112,6,4,1,5,5,4,6,0,0,14,112,4766,0.72275,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
