Signaling Pathway Analyses
Organism Code: dre
Signaling Pathway File Creation Date: 03/16/22
Pathway DB Name: REACTOME
Deduplicate Gene Sets: false
Data Source: SANT_ds_DESeq_normData
Work Source: SANT_ds_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0020 BETA
Timestamp (Start Time): 10/10/2022 17:46.07
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 478
Total Run Time: 14 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-109582	Hemostasis	283	307	6	5	4	5	5	5	6	3	3	39	304	4546	0.73133	0.49627	0.74557	0.98	797250;60658;100004856	slc7a5;nos1;si:ch211-137i24.12	ENSDARG00000099265;ENSDARG00000068910;ENSDARG00000094537		1.3539876466666667	1.70288	0.00401294	1.2137387406294708	0.5145576280352128	1.0799047032397062	0.5968085653333334	0.848687	7.48696E-4	0.5182619866674603	0.2295976764717626	0.4764613881820855	3.110829666666667	3.41682	0.021509	2.9482588090295487	1.1726090007439272	2.511060547860628					0.00401294;2.35507;1.70288	7.48696E-4;0.94099;0.848687	0.021509;5.89416;3.41682	1	2	1	100004856	ENSDARG00000094537	1.70288	1.70288		0.848687	0.848687		3.41682	3.41682		1.70288	0.848687	3.41682	2	797250;60658	ENSDARG00000099265;ENSDARG00000068910	1.17954147	1.17954147	1.6624483900825078	0.470869348	0.470869348	0.6648510020100821	2.9578345	2.9578345	4.15259134564196	0.00401294;2.35507	7.48696E-4;0.94099	0.021509;5.89416	0						Hill,1(0.34);Linear,2(0.67)	1.7681183049030125	5.374467611312866	1.5663057565689087	2.214689016342163	0.3667534234387699	1.5934728384017944	-0.0194870350448062	2.72746232837814	0.010339918207444732	1.1832772124592217	-0.22543924671976878	6.447098580053102	DOWN	0.3333333333333333	0.6666666666666666	0.0	
R-DRE-168249	Innate Immune System	464	502	11	10	9	10	10	8	11	7	7	35	495	4355	0.93974	0.13324	0.19395	1.39	792196;60658;369197;108181672;100537438;100535437;100004856	dnase1l1;nos1;stat5a;cr339041.1;si:ch73-364h19.2;ano6;si:ch211-137i24.12	ENSDARG00000005464;ENSDARG00000068910;ENSDARG00000019392;ENSDARG00000051710;ENSDARG00000100480;ENSDARG00000061544;ENSDARG00000094537		1.2683193428571429	1.40991	0.0199854	0.7283884841042517	0.8927295588027265	0.7072042052715862	0.6505225157142858	0.771136	0.00432161	0.31174658654647974	0.49264444067569124	0.35732261149787586	2.5417389999999997	2.57782	0.092423	1.8275033640726912	1.6601513606279863	1.5037684552084147					1.44882;2.35507;1.0835;0.0199854;1.40991;0.85807;1.70288	0.782836;0.94099;0.654314;0.00432161;0.771136;0.551373;0.848687	2.68139;5.89416;1.7942;0.092423;2.57782;1.33536;3.41682	3	4	3	792196;108181672;100004856	ENSDARG00000005464;ENSDARG00000051710;ENSDARG00000094537	1.0572284666666667	1.44882	0.9072163498367154	0.5452815366666667	0.782836	0.46964062882661034	2.063544333333333	2.68139	1.7461969546034413	1.44882;0.0199854;1.70288	0.782836;0.00432161;0.848687	2.68139;0.092423;3.41682	4	60658;369197;100537438;100535437	ENSDARG00000068910;ENSDARG00000019392;ENSDARG00000100480;ENSDARG00000061544	1.4266375	1.246705	0.6591102746063567	0.7294532499999999	0.712725	0.16717628478021862	2.900385	2.18601	2.0607187609100537	2.35507;1.0835;1.40991;0.85807	0.94099;0.654314;0.771136;0.551373	5.89416;1.7942;2.57782;1.33536	0						Hill,1(0.15);Linear,6(0.86)	1.9894373872110844	14.413373589515686	1.5934728384017944	3.347517490386963	0.6337298609108684	1.7066079378128052	0.7287216025578541	1.8079170831564313	0.419577412493213	0.8814676189353583	1.1879055619883245	3.895572438011676	CONFLICT	0.42857142857142855	0.5714285714285714	0.0	
R-DRE-168256	Immune System	749	839	17	15	13	14	14	11	17	9	9	33	830	4020	0.82925	0.28623	0.41611	1.07	792196;60658;503595;393785;369197;108181672;100537438;100535437;100004856	dnase1l1;nos1;tnfsf10l4;fkbp1b;stat5a;cr339041.1;si:ch73-364h19.2;ano6;si:ch211-137i24.12	ENSDARG00000005464;ENSDARG00000068910;ENSDARG00000058068;ENSDARG00000052625;ENSDARG00000019392;ENSDARG00000051710;ENSDARG00000100480;ENSDARG00000061544;ENSDARG00000094537		1.2021234888888888	1.35954	0.0199854	0.6730647261374284	0.9397920259599039	0.653639870258824	0.634279178888889	0.756045	0.00432161	0.28618944265038915	0.5236113437023384	0.3313256018575447	2.342703777777778	2.44476	0.092423	1.6793697583357556	1.7236609334385637	1.3766131401087862					1.44882;2.35507;1.35954;0.581336;1.0835;0.0199854;1.40991;0.85807;1.70288	0.782836;0.94099;0.756045;0.39881;0.654314;0.00432161;0.771136;0.551373;0.848687	2.68139;5.89416;2.44476;0.847401;1.7942;0.092423;2.57782;1.33536;3.41682	5	4	5	792196;503595;393785;108181672;100004856	ENSDARG00000005464;ENSDARG00000058068;ENSDARG00000052625;ENSDARG00000051710;ENSDARG00000094537	1.0225122800000002	1.35954	0.699628981274212	0.558139922	0.756045	0.35572921536337226	1.8965588	2.44476	1.3768911320927664	1.44882;1.35954;0.581336;0.0199854;1.70288	0.782836;0.756045;0.39881;0.00432161;0.848687	2.68139;2.44476;0.847401;0.092423;3.41682	4	60658;369197;100537438;100535437	ENSDARG00000068910;ENSDARG00000019392;ENSDARG00000100480;ENSDARG00000061544	1.4266375	1.246705	0.6591102746063567	0.7294532499999999	0.712725	0.16717628478021862	2.900385	2.18601	2.0607187609100537	2.35507;1.0835;1.40991;0.85807	0.94099;0.654314;0.771136;0.551373	5.89416;1.7942;2.57782;1.33536	0						Hill,1(0.12);Linear,8(0.89)	2.020771406602156	18.933329224586487	1.5170583724975586	3.347517490386963	0.6686122369074828	1.7066079378128052	0.7623878678124358	1.6418591099653421	0.4473020763573011	0.8212562814204766	1.2455155356650842	3.439892019890472	CONFLICT	0.5555555555555556	0.4444444444444444	0.0	
R-DRE-6798695	Neutrophil degranulation	272	300	5	5	4	5	5	4	5	3	3	39	297	4553	0.7448	0.48061	0.74171	1.0	792196;108181672;100535437	dnase1l1;cr339041.1;ano6	ENSDARG00000005464;ENSDARG00000051710;ENSDARG00000061544		0.7756251333333334	0.85807	0.0199854	0.7179762848235681	0.6249685882802593	0.6990545055969841	0.44617686999999995	0.551373	0.00432161	0.39977597874872467	0.36547782047605004	0.39983888016777036	1.3697243333333333	1.33536	0.092423	1.2948255528550296	1.0925130395033065	1.2282096782754417					1.44882;0.0199854;0.85807	0.782836;0.00432161;0.551373	2.68139;0.092423;1.33536	2	1	2	792196;108181672	ENSDARG00000005464;ENSDARG00000051710	0.7344027	0.7344027	1.0103386348539685	0.393578805	0.393578805	0.5504928044203086	1.3869065	1.3869065	1.8306761219681924	1.44882;0.0199854	0.782836;0.00432161	2.68139;0.092423	1	100535437	ENSDARG00000061544	0.85807	0.85807		0.551373	0.551373		1.33536	1.33536		0.85807	0.551373	1.33536	0						Hill,1(0.34);Linear,2(0.67)	2.084494704171965	6.637511134147644	1.6272424459457397	3.347517490386963	0.9831110958392439	1.6627511978149414	-0.03684151724338958	1.5880917839100561	-0.006212237134399612	0.8985659771343997	-0.09550871439580333	2.8349573810624698	UP	0.6666666666666666	0.3333333333333333	0.0	
R-DRE-1430728	Metabolism	995	1029	29	27	20	22	22	17	29	10	10	32	1019	3831	0.74365	0.38719	0.70321	0.97	797250;795332;768298;751638;64607;565194;562402;544666;493602;30733	slc7a5;slc25a1b;faah2b;cox5b2;alas2;stab2;phka1b;ptges;asah2;rrm2	ENSDARG00000099265;ENSDARG00000076381;ENSDARG00000054786;ENSDARG00000068738;ENSDARG00000038643;ENSDARG00000045748;ENSDARG00000105039;ENSDARG00000020136;ENSDARG00000012829;ENSDARG00000078069		1.292413694	1.396385	0.00401294	0.6000474341639059	1.0614658038443718	0.7207231795030798	0.6797024696	0.7671574999999999	7.48696E-4	0.2671464298582978	0.5648558849141354	0.35635747211670055	2.4943489	2.541805	0.021509	1.3918932364536563	2.021634306993126	1.5071575015395415					0.00401294;1.65558;0.973716;1.41473;1.37804;1.83832;0.847158;2.10777;1.63215;1.07266	7.48696E-4;0.836958;0.606547;0.772895;0.76142;0.874925;0.545964;0.916149;0.831634;0.649784	0.021509;3.2749;1.56315;2.58958;2.49403;3.86253;1.31451;4.84931;3.20323;1.77074	5	5	5	751638;64607;565194;562402;30733	ENSDARG00000068738;ENSDARG00000038643;ENSDARG00000045748;ENSDARG00000105039;ENSDARG00000078069	1.3101816	1.37804	0.3759230854081717	0.7209975999999999	0.76142	0.1262231089907868	2.406278	2.49403	0.9692569111798995	1.41473;1.37804;1.83832;0.847158;1.07266	0.772895;0.76142;0.874925;0.545964;0.649784	2.58958;2.49403;3.86253;1.31451;1.77074	5	797250;795332;768298;544666;493602	ENSDARG00000099265;ENSDARG00000076381;ENSDARG00000054786;ENSDARG00000020136;ENSDARG00000012829	1.2746457880000002	1.63215	0.8173253115823493	0.6384073391999999	0.831634	0.3746741797727665	2.5824198000000003	3.20323	1.84396992664067	0.00401294;1.65558;0.973716;2.10777;1.63215	7.48696E-4;0.836958;0.606547;0.916149;0.831634	0.021509;3.2749;1.56315;4.84931;3.20323	0						Hill,1(0.1);Linear,9(0.9)	1.6633248337493316	16.670571327209473	1.528559684753418	1.8388921022415161	0.11829300267972626	1.620547115802765	0.9205004411648159	1.6643269468351836	0.5141233969216116	0.8452815422783885	1.6316445341525352	3.3570532658474646	CONFLICT	0.5	0.5	0.0	
R-DRE-211859	Biological oxidations	110	112	3	3	1	2	2	2	3	0	0	42	112	4738	0.37648	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-15869	Metabolism of nucleotides	54	54	1	1	1	1	1	1	1	1	1	41	53	4797	0.92219	0.37385	0.37385	1.85	30733	rrm2	ENSDARG00000078069		1.07266	1.07266	1.07266		1.07266		0.649784	0.649784	0.649784		0.6497840000000001		1.77074	1.77074	1.77074		1.7707400000000002						1.07266	0.649784	1.77074	1	0	1	30733	ENSDARG00000078069	1.07266	1.07266		0.649784	0.649784		1.77074	1.77074		1.07266	0.649784	1.77074	0															0						Linear,1(1)	1.6095683574676514	1.6095683574676514	1.6095683574676514	1.6095683574676514	0.0	1.6095683574676514	1.07266	1.07266	0.649784	0.649784	1.77074	1.77074	UP	1.0	0.0	0.0	
R-DRE-1266738	Developmental Biology	200	204	4	4	3	4	4	1	4	0	0	42	204	4646	0.16585	1.0	0.42044	0.0																														0	0	0															0															0																							
R-DRE-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	64	73	2	2	2	1	1	1	2	1	1	41	72	4778	0.87074	0.46961	0.46961	1.37	570510	notum1a	ENSDARG00000031126		2.13288	2.13288	2.13288		2.13288		0.920771	0.920771	0.920771		0.920771		4.9406	4.9406	4.9406		4.9406						2.13288	0.920771	4.9406	0	1	0															1	570510	ENSDARG00000031126	2.13288	2.13288		0.920771	0.920771		4.9406	4.9406		2.13288	0.920771	4.9406	0						Linear,1(1)	1.6310369968414307	1.6310369968414307	1.6310369968414307	1.6310369968414307	0.0	1.6310369968414307	2.13288	2.13288	0.920771	0.920771	4.9406	4.9406	DOWN	0.0	1.0	0.0	
R-DRE-392499	Metabolism of proteins	928	976	18	17	16	11	11	8	18	7	7	35	969	3881	0.37998	0.76106	0.70093	0.72	570510;562062;560768;556471;541544;492815;446213	notum1a;socs2;neurl2;sema5ba;rnf152;cdca8;large1	ENSDARG00000031126;ENSDARG00000045557;ENSDARG00000062446;ENSDARG00000061471;ENSDARG00000087782;ENSDARG00000043137;ENSDARG00000005126		1.5614695714285713	1.55956	0.914077	0.3821523256825986	1.3810697745905116	0.43583289170857503	0.7959154285714286	0.813418	0.578864	0.11028865701853681	0.7369710150740924	0.13940482968287943	3.0982228571428574	2.99015	1.44341	1.0989000417647066	2.626631465739396	1.1640909970628728					2.13288;1.53075;1.82626;1.55956;1.3295;0.914077;1.63726	0.920771;0.806111;0.873377;0.813418;0.745921;0.578864;0.832946	4.9406;2.9068;3.81875;2.99015;2.36963;1.44341;3.21822	2	5	2	560768;492815	ENSDARG00000062446;ENSDARG00000043137	1.3701685000000001	1.3701685000000001	0.6450107849830881	0.7261205	0.7261205	0.20825213944759446	2.63108	2.63108	1.6796190216236544	1.82626;0.914077	0.873377;0.578864	3.81875;1.44341	5	570510;562062;556471;541544;446213	ENSDARG00000031126;ENSDARG00000045557;ENSDARG00000061471;ENSDARG00000087782;ENSDARG00000005126	1.6379899999999998	1.55956	0.2990545132580349	0.8238334	0.813418	0.06319185838618689	3.28508	2.99015	0.97638938131772	2.13288;1.53075;1.55956;1.3295;1.63726	0.920771;0.806111;0.813418;0.745921;0.832946	4.9406;2.9068;2.99015;2.36963;3.21822	0						Linear,7(1)	1.7029605668118664	11.961238026618958	1.5386282205581665	1.927517294883728	0.15324664983713973	1.6844671964645386	1.2783671667522585	1.8445719761048847	0.7142124480787717	0.8776184090640853	2.2841463137990425	3.9122994004866714	DOWN	0.2857142857142857	0.7142857142857143	0.0	
