Signaling Pathway Analyses
Organism Code: dre
Signaling Pathway File Creation Date: 03/16/22
Pathway DB Name: REACTOME
Deduplicate Gene Sets: false
Data Source: DEHP_ds_DESeq_normData
Work Source: DEHP_ds_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0020 BETA
Timestamp (Start Time): 10/10/2022 17:45.35
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 223
Total Run Time: 11 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-109582	Hemostasis	282	307	3	1	1	1	1	0	3	0	0	15	307	4570	0.37772	1.0	0.61947	0.0																														0	0	0															0															0																							
R-DRE-114608	Platelet degranulation 	59	69	1	0	0	0	0	0	1	0	0	15	69	4808	0.80785	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-168249	Innate Immune System	464	502	5	4	4	2	2	2	5	2	2	13	500	4377	0.80599	0.46508	0.66169	0.4	796425;768128	card9;cst14b.1	ENSDARG00000067672;ENSDARG00000117133		1.725865	1.725865	1.69803	0.039364634508647085	1.73634518587234	0.03646787433019029	0.8620734999999999	0.8620734999999999	0.855865	0.008780144902008034	0.8644110690313787	0.008134032612853562	3.45545	3.45545	3.36888	0.12242846809463426	3.488044564072875	0.11341921612231341					1.69803;1.7537	0.855865;0.868282	3.36888;3.54202	2	0	2	796425;768128	ENSDARG00000067672;ENSDARG00000117133	1.725865	1.725865	0.039364634508647085	0.8620734999999999	0.8620734999999999	0.008780144902008034	3.45545	3.45545	0.12242846809463426	1.69803;1.7537	0.855865;0.868282	3.36888;3.54202	0															0						Linear,2(1)	2.405000447645501	5.132639288902283	1.6707922220230103	3.4618470668792725	1.2664670262748827	2.5663196444511414	1.6713083999999998	1.7804216000000002	0.8499048399999999	0.87424216	3.2857727999999997	3.6251272	UP	1.0	0.0	0.0	
R-DRE-168256	Immune System	751	839	7	5	4	4	4	2	7	2	2	13	837	4040	0.51161	0.75629	1.0	0.24	796425;768128	card9;cst14b.1	ENSDARG00000067672;ENSDARG00000117133		1.725865	1.725865	1.69803	0.039364634508647085	1.73634518587234	0.03646787433019029	0.8620734999999999	0.8620734999999999	0.855865	0.008780144902008034	0.8644110690313787	0.008134032612853562	3.45545	3.45545	3.36888	0.12242846809463426	3.488044564072875	0.11341921612231341					1.69803;1.7537	0.855865;0.868282	3.36888;3.54202	2	0	2	796425;768128	ENSDARG00000067672;ENSDARG00000117133	1.725865	1.725865	0.039364634508647085	0.8620734999999999	0.8620734999999999	0.008780144902008034	3.45545	3.45545	0.12242846809463426	1.69803;1.7537	0.855865;0.868282	3.36888;3.54202	0															0						Linear,2(1)	2.405000447645501	5.132639288902283	1.6707922220230103	3.4618470668792725	1.2664670262748827	2.5663196444511414	1.6713083999999998	1.7804216000000002	0.8499048399999999	0.87424216	3.2857727999999997	3.6251272	UP	1.0	0.0	0.0	
R-DRE-6798695	Neutrophil degranulation	272	300	3	2	2	1	1	1	3	1	1	14	299	4578	0.76636	0.61353	0.61353	0.33	768128	cst14b.1	ENSDARG00000117133		1.7537	1.7537	1.7537		1.7537		0.868282	0.868282	0.868282		0.868282		3.54202	3.54202	3.54202		3.54202						1.7537	0.868282	3.54202	1	0	1	768128	ENSDARG00000117133	1.7537	1.7537		0.868282	0.868282		3.54202	3.54202		1.7537	0.868282	3.54202	0															0						Linear,1(1)	1.6707922220230103	1.6707922220230103	1.6707922220230103	1.6707922220230103	0.0	1.6707922220230103	1.7537	1.7537	0.868282	0.868282	3.54202	3.54202	UP	1.0	0.0	0.0	
R-DRE-76002	Platelet activation, signaling and aggregation	128	141	1	0	0	0	0	0	1	0	0	15	141	4736	0.64447	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-76005	Response to elevated platelet cytosolic Ca2+	61	71	1	0	0	0	0	0	1	0	0	15	71	4806	0.80283	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1430728	Metabolism	994	1029	9	8	4	8	8	7	9	3	3	12	1026	3851	0.60919	0.6401	1.0	0.29	566487;561683;559020	gbgt1l2;nt5c1bb;ptgs2b	ENSDARG00000092718;ENSDARG00000033742;ENSDARG00000010276		1.4933500000000002	1.63877	1.09032	0.35351313228789644	1.3801047750878432	0.35132344064595056	0.7921493333333333	0.842515	0.664201	0.11163903114204103	0.7575014218385364	0.11281550759565166	2.8341499999999997	3.18755	1.78983	0.9200180076498502	2.533446272630129	0.9035845144454144					1.75096;1.09032;1.63877	0.869732;0.664201;0.842515	3.52507;1.78983;3.18755	3	0	3	566487;561683;559020	ENSDARG00000092718;ENSDARG00000033742;ENSDARG00000010276	1.4933500000000002	1.63877	0.35351313228789644	0.7921493333333333	0.842515	0.11163903114204103	2.8341499999999997	3.18755	0.9200180076498502	1.75096;1.09032;1.63877	0.869732;0.664201;0.842515	3.52507;1.78983;3.18755	0															0						Linear,3(1)	2.229189531565041	6.9397873878479	1.5241694450378418	2.9614813327789307	0.7289379326924375	2.454136610031128	1.0933122319065696	1.8933877680934308	0.6658178769567591	0.9184807897099077	1.7930516170231492	3.8752483829768503	UP	1.0	0.0	0.0	
R-DRE-211859	Biological oxidations	109	112	1	1	0	1	1	1	1	0	0	15	112	4765	0.70616	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-15869	Metabolism of nucleotides	54	54	2	2	2	1	1	1	2	1	1	14	53	4824	0.98855	0.15358	0.15358	1.85	561683	nt5c1bb	ENSDARG00000033742		1.09032	1.09032	1.09032		1.09032		0.664201	0.664201	0.664201		0.664201		1.78983	1.78983	1.78983		1.78983						1.09032	0.664201	1.78983	1	0	1	561683	ENSDARG00000033742	1.09032	1.09032		0.664201	0.664201		1.78983	1.78983		1.09032	0.664201	1.78983	0															0						Linear,1(1)	1.5241694450378418	1.5241694450378418	1.5241694450378418	1.5241694450378418	0.0	1.5241694450378418	1.09032	1.09032	0.664201	0.664201	1.78983	1.78983	UP	1.0	0.0	0.0	
R-DRE-1266738	Developmental Biology	200	204	1	1	1	0	0	0	1	0	0	15	204	4673	0.52736	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1500931	Cell-Cell communication	37	39	1	1	1	1	1	1	1	1	1	14	38	4839	0.99391	0.11329	0.11329	2.56	557914	nphs2	ENSDARG00000042850		1.99582	1.99582	1.99582		1.99582		0.912416	0.912416	0.912416		0.9124159999999999		4.36564	4.36564	4.36564		4.36564						1.99582	0.912416	4.36564	1	0	1	557914	ENSDARG00000042850	1.99582	1.99582		0.912416	0.912416		4.36564	4.36564		1.99582	0.912416	4.36564	0															0						Linear,1(1)	3.1889030933380127	3.1889030933380127	3.1889030933380127	3.1889030933380127	0.0	3.1889030933380127	1.99582	1.99582	0.912416	0.912416	4.36564	4.36564	UP	1.0	0.0	0.0	
