Signaling Pathway Analyses
Organism Code: dre
Signaling Pathway File Creation Date: 03/16/22
Pathway DB Name: REACTOME
Deduplicate Gene Sets: false
Data Source: DEHP_DESeq_normData
Work Source: DEHP_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0020 BETA
Timestamp (Start Time): 10/10/2022 17:45.23
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 194
Total Run Time: 19 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-109582	Hemostasis	289	307	2	1	1	1	1	0	2	0	0	10	307	4575	0.52271	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-114608	Platelet degranulation 	62	69	1	0	0	0	0	0	1	0	0	10	69	4813	0.86746	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-168249	Innate Immune System	478	502	3	1	1	1	1	0	3	0	0	10	502	4380	0.33832	1.0	0.61234	0.0																														0	0	0															0															0																							
R-DRE-168256	Immune System	774	839	5	1	1	3	3	0	5	0	0	10	839	4043	0.15208	1.0	0.22807	0.0																														0	0	0															0															0																							
R-DRE-6798695	Neutrophil degranulation	281	300	2	1	1	1	1	0	2	0	0	10	300	4582	0.53075	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-76002	Platelet activation, signaling and aggregation	132	141	1	0	0	0	0	0	1	0	0	10	141	4741	0.74622	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-76005	Response to elevated platelet cytosolic Ca2+	64	71	1	0	0	0	0	0	1	0	0	10	71	4811	0.86387	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1430728	Metabolism	1007	1029	6	4	2	2	2	2	6	1	1	9	1028	3854	0.34513	0.90596	0.6987	0.097	559020	ptgs2b	ENSDARG00000010276		1.45656	1.45656	1.45656		1.45656		0.793582	0.793582	0.793582		0.793582		2.67341	2.67341	2.67341		2.67341						1.45656	0.793582	2.67341	1	0	1	559020	ENSDARG00000010276	1.45656	1.45656		0.793582	0.793582		2.67341	2.67341		1.45656	0.793582	2.67341	0															0						Linear,1(1)	2.949621438980103	2.9496214389801025	2.9496214389801025	2.9496214389801025	0.0	2.9496214389801025	1.45656	1.45656	0.793582	0.793582	2.67341	2.67341	UP	1.0	0.0	0.0	
R-DRE-211859	Biological oxidations	109	112	1	1	0	1	1	1	1	0	0	10	112	4770	0.79309	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-15869	Metabolism of nucleotides	54	54	1	1	1	0	0	0	1	0	0	10	54	4828	0.89485	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1266738	Developmental Biology	201	204	1	0	0	0	0	0	1	0	0	10	204	4678	0.65289	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-392499	Metabolism of proteins	947	976	5	4	4	4	4	2	5	2	2	8	974	3908	0.67934	0.62295	1.0	0.2	561829;555344	ftr66;si:dkey-202e17.1	ENSDARG00000005327;ENSDARG00000062278		1.50905	1.50905	1.30731	0.28530344407314856	1.4511165920086384	0.27328647181485644	0.801769	0.801769	0.745359	0.07977578705346883	0.7855698151839361	0.0764156333651058	2.851705	2.851705	2.29295	0.790198899043778	2.6912480683939064	0.7569157458060423					1.30731;1.71079	0.745359;0.858179	2.29295;3.41046	2	0	2	561829;555344	ENSDARG00000005327;ENSDARG00000062278	1.50905	1.50905	0.28530344407314856	0.801769	0.801769	0.07977578705346883	2.851705	2.851705	0.790198899043778	1.30731;1.71079	0.745359;0.858179	2.29295;3.41046	0															0						Linear,2(1)	2.014560098342275	4.184412717819214	1.5275161266326904	2.6568965911865234	0.7985925850256286	2.092206358909607	1.1136396	1.9044604	0.6912054	0.9123325999999999	1.7565452	3.9468648	UP	1.0	0.0	0.0	
R-DRE-597592	Post-translational protein modification	732	751	5	4	4	4	4	2	5	2	2	8	749	4133	0.81115	0.46871	0.65728	0.27	561829;555344	ftr66;si:dkey-202e17.1	ENSDARG00000005327;ENSDARG00000062278		1.50905	1.50905	1.30731	0.28530344407314856	1.4511165920086384	0.27328647181485644	0.801769	0.801769	0.745359	0.07977578705346883	0.7855698151839361	0.0764156333651058	2.851705	2.851705	2.29295	0.790198899043778	2.6912480683939064	0.7569157458060423					1.30731;1.71079	0.745359;0.858179	2.29295;3.41046	2	0	2	561829;555344	ENSDARG00000005327;ENSDARG00000062278	1.50905	1.50905	0.28530344407314856	0.801769	0.801769	0.07977578705346883	2.851705	2.851705	0.790198899043778	1.30731;1.71079	0.745359;0.858179	2.29295;3.41046	0															0						Linear,2(1)	2.014560098342275	4.184412717819214	1.5275161266326904	2.6568965911865234	0.7985925850256286	2.092206358909607	1.1136396	1.9044604	0.6912054	0.9123325999999999	1.7565452	3.9468648	UP	1.0	0.0	0.0	
R-DRE-1257604	PIP3 activates AKT signaling	155	159	1	1	1	1	1	1	1	1	1	9	158	4724	0.9602	0.2816	0.2816	0.63	561829	ftr66	ENSDARG00000005327		1.30731	1.30731	1.30731		1.3073100000000002		0.745359	0.745359	0.745359		0.745359		2.29295	2.29295	2.29295		2.29295						1.30731	0.745359	2.29295	1	0	1	561829	ENSDARG00000005327	1.30731	1.30731		0.745359	0.745359		2.29295	2.29295		1.30731	0.745359	2.29295	0															0						Linear,1(1)	2.6568965911865234	2.6568965911865234	2.6568965911865234	2.6568965911865234	0.0	2.6568965911865234	1.30731	1.30731	0.745359	0.745359	2.29295	2.29295	UP	1.0	0.0	0.0	
R-DRE-1280218	Adaptive Immune System	332	364	3	1	1	3	3	0	3	0	0	10	364	4518	0.46119	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-162582	Signal Transduction	1266	1352	9	7	6	6	6	5	9	4	4	6	1348	3534	0.88748	0.28852	0.47797	0.3	795372;654692;561829;100329657	gpr45;cxcr3.1;ftr66;ltb4r	ENSDARG00000063357;ENSDARG00000007358;ENSDARG00000005327;ENSDARG00000032631		1.7932299999999999	1.52432	1.30731	0.709930205724479	1.5265957726259358	0.47342859346944854	0.8320630000000001	0.8062085	0.745359	0.10669578211906833	0.7915939385705113	0.08187205947585512	4.0645975	2.89435	2.29295	2.795400050933379	3.030367573469252	1.795039077165297					2.81697;1.32034;1.30731;1.7283	0.970476;0.750804;0.745359;0.861613	8.17674;2.32191;2.29295;3.46679	3	1	3	654692;561829;100329657	ENSDARG00000007358;ENSDARG00000005327;ENSDARG00000032631	1.4519833333333334	1.32034	0.23938592363239133	0.7859253333333335	0.750804	0.06560395697161221	2.6938833333333334	2.32191	0.6695134105701933	1.32034;1.30731;1.7283	0.750804;0.745359;0.861613	2.32191;2.29295;3.46679	1	795372	ENSDARG00000063357	2.81697	2.81697		0.970476	0.970476		8.17674	8.17674		2.81697	0.970476	8.17674	0						Linear,4(1)	1.9271891402581809	7.908820271492004	1.5490632057189941	2.6568965911865234	0.5257664480200374	1.8514302372932434	1.097498398390011	2.4889616016099887	0.7275011335233117	0.9366248664766883	1.3251054500852892	6.804089549914712	UP	0.75	0.25	0.0	
R-DRE-1640170	Cell Cycle	375	392	3	1	1	1	1	0	3	0	0	10	392	4490	0.43342	1.0	1.0	0.0																														0	0	0															0															0																							
