.id,chemical,median_POD,POD_med,cil_POD,mean_POD,ciu_POD,hit_confidence,lowest_conc,highest_conc
fitted_z_score_neg_dir,1-Decanol,1,1,1,1,1,0,0.0001,1
fitted_z_score_neg_dir,1-Octanol,10,10,10,10,10,0,0.001,10
fitted_z_score_neg_dir,17betaestradiol,0.00292419538379582,0.00292494670597548,0.000897584402171576,0.00249038375437244,0.00554867177534372,1,0.00001,0.1
fitted_z_score_neg_dir,24-DMP,1,1,1,1,1,0,0.0001,1
fitted_z_score_neg_dir,24-DNP,10,10,10,10,10,0,0.0001,10
fitted_z_score_neg_dir,34-DCA,1,1,1,1,1,0,0.00001,1
fitted_z_score_neg_dir,4-TPP,1,1,1,1,1,0,0.0001,1
fitted_z_score_neg_dir,4C3MP,1,1,1,1,1,0,0.0001,1
fitted_z_score_neg_dir,4TOP,0.0579011407540693,0.0579127593069257,0.0459787757236046,0.0564300246640919,0.0669035413651912,1,0.00001,0.1
fitted_z_score_neg_dir,Aniline,10,10,10,10,10,0,0.001,10
fitted_z_score_neg_dir,BPA,1,1,1,1,1,0,0.0001,1
fitted_z_score_neg_dir,BPAF,1,1,1,1,1,0,0.0001,1
fitted_z_score_neg_dir,Clofibric-acid,10,10,1.62241128987935,5.53205047542337,10,0.146,0.001,10
fitted_z_score_neg_dir,DES,8.70782926661918E-05,0.1,1.04795581403198E-05,0.000120865484226608,0.0283178115508427,0.344,0.00001,0.1
fitted_z_score_neg_dir,DMSO,10,10,10,10,10,0,0.001,10
fitted_z_score_neg_dir,EE2,0.001,0.001,0.001,0.001,0.001,0,0.0000001,0.001
fitted_z_score_neg_dir,Fadrozole,1,1,1,1,1,0,0.0001,1
fitted_z_score_neg_dir,Fenitrothione,1,1,1,1,1,0,0.0001,1
fitted_z_score_neg_dir,Fluoxetine,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
fitted_z_score_neg_dir,Flutamide,1,1,1,1,1,0,0.0001,1
fitted_z_score_neg_dir,Glyphosate,1,1,1,1,1,0,0.0001,1
fitted_z_score_neg_dir,Malathion,1,1,1,1,1,0,0.0001,1
fitted_z_score_neg_dir,NN-Dimethylformamide,0.163369989348342,1000,0.018057806664079,0.726099081419173,187.619084639725,0.252,0.1,1000
fitted_z_score_neg_dir,Prochloraz,1,1,1,1,1,0,0.0001,1
fitted_z_score_neg_dir,SDS,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
fitted_z_score_neg_dir,TEG,1000,1000,1000,1000,1000,0,0.1,1000
fitted_z_score_neg_dir,TGSH,1,1,1,1,1,0,0.0001,1
fitted_z_score_neg_dir,Trenbolone,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
fitted_z_score_neg_dir,Vinclozolin,0.517035109703171,1,0.137544185007871,0.465079543242529,1,0.319,0.0001,1
