Chemical,Dose(mg/L),Dose,Animal,Group,Baseline_Fluorescence,Baseline_Blank,Norm_Baseline_Fluorescence,h24_Fluorescence,h24_Blank,Norm_h24_Fluorescence,Absolute_Delta_Fluorescence,Relative_Delta_Fluorescence,Note: Relative_Delta_Fluorescence = (24h Fluorescence - 24h Blank) / (Baseline Fluorescence - Baseline Blank)
1-Decanol,1,Dose_1,1,A,49.813,39.168125,10.644875,54.0055,38.546125,15.459375,4.8145,1.452,
1-Decanol,1,Dose_1,2,A,36.3775,39.168125,-2.79062500000001,39.3815,38.546125,0.835375000000006,3.62600000000001,-0.299,
1-Decanol,1,Dose_1,3,A,37.5605,39.168125,-1.607625,40.7055,38.546125,2.159375,3.767,-1.343,
1-Decanol,1,Dose_1,4,B,38.262,39.168125,-0.906125000000003,38.107,38.546125,-0.439124999999997,0.467000000000006,0.485,
1-Decanol,1,Dose_1,5,B,38.1865,39.168125,-0.981625000000001,48.1065,38.546125,9.560375,10.542,-9.739,
1-Decanol,1,Dose_1,6,B,36.969,39.168125,-2.199125,41.369,38.546125,2.822875,5.02200000000001,-1.284,
1-Decanol,1,Dose_1,7,C,36.8025,39.168125,-2.36562500000001,40.1035,38.546125,1.557375,3.92300000000001,-0.658,
1-Decanol,1,Dose_1,8,C,37.5555,39.168125,-1.612625,38.3865,38.546125,-0.159624999999998,1.453,0.099,
1-Decanol,1,Dose_1,9,C,37.876,39.168125,-1.292125,39.8365,38.546125,1.290375,2.5825,-0.999,
1-Decanol,0.1,Dose_2,10,A,38.0385,39.168125,-1.129625,42.5925,38.546125,4.04637500000001,5.17600000000001,-3.582,
1-Decanol,0.1,Dose_2,11,A,38.702,39.168125,-0.466125000000005,44.146,38.546125,5.599875,6.06600000000001,-12.014,
1-Decanol,0.1,Dose_2,12,A,37.5725,39.168125,-1.59562500000001,42.9425,38.546125,4.39637500000001,5.99200000000001,-2.755,
1-Decanol,0.1,Dose_2,13,B,36.2525,39.168125,-2.91562500000001,45.895,38.546125,7.348875,10.2645,-2.521,
1-Decanol,0.1,Dose_2,14,B,34.044,39.168125,-5.12412500000001,56.171,38.546125,17.624875,22.749,-3.44,
1-Decanol,0.1,Dose_2,15,B,34.8355,39.168125,-4.33262500000001,43.7085,38.546125,5.162375,9.49500000000001,-1.192,
1-Decanol,0.1,Dose_2,16,C,36.747,39.168125,-2.421125,48.4565,38.546125,9.910375,12.3315,-4.093,
1-Decanol,0.1,Dose_2,17,C,37.041,39.168125,-2.12712500000001,42.517,38.546125,3.970875,6.09800000000001,-1.867,
1-Decanol,0.1,Dose_2,18,C,36.8425,39.168125,-2.325625,39.8375,38.546125,1.291375,3.617,-0.555,
1-Decanol,0.01,Dose_3,19,A,37.961,39.168125,-1.207125,39.029,38.546125,0.482875,1.69,-0.4,
1-Decanol,0.01,Dose_3,20,A,38.3105,39.168125,-0.857624999999999,34.5015,38.546125,-4.044625,-3.187,4.716,
1-Decanol,0.01,Dose_3,21,A,37.109,39.168125,-2.059125,38.1575,38.546125,-0.388624999999998,1.6705,0.189,
1-Decanol,0.01,Dose_3,22,B,36.4305,39.168125,-2.737625,38.0905,38.546125,-0.455624999999998,2.282,0.166,
1-Decanol,0.01,Dose_3,23,B,36.1935,39.168125,-2.974625,42.5885,38.546125,4.042375,7.017,-1.359,
1-Decanol,0.01,Dose_3,24,B,36.3615,39.168125,-2.806625,42.3095,38.546125,3.763375,6.57000000000001,-1.341,
1-Decanol,0.01,Dose_3,25,C,38.1235,39.168125,-1.044625,50.905,38.546125,12.358875,13.4035,-11.831,
1-Decanol,0.01,Dose_3,26,C,37.096,39.168125,-2.072125,43.0775,38.546125,4.531375,6.6035,-2.187,
1-Decanol,0.01,Dose_3,27,C,35.5575,39.168125,-3.610625,39.861,38.546125,1.31487500000001,4.92550000000001,-0.364,
