Gene Ontology Analyses
GO Category: ALL
GO File Creation Date: 03/16/22
Deduplicate Gene Sets: false
Data Source: BPAF_DESeq_normData
Work Source: BPAF_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0020 BETA
Timestamp (Start Time): 10/24/2022 10:20.10
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 4359
Total Run Time: 2 seconds

GO/Pathway/Gene Set/Gene ID	GO Level	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
all	0	all	6749	18951	788	379	222	504	504	368	787	66	66	0	18885	0	1.0	1.0	1.0	0.35	100318854;100037367;100037338;100009657;100003615;799247;791793;768157;751661;641421;573653;566499;565173;563266;563011;562796;562474;561589;561082;560753;560386;560267;559560;558711;558214;557875;555391;555328;553212;550502;550442;550270;494133;447839;447830;447816;436946;436669;406800;406762;406594;406289;403079;402977;394133;393874;393376;393121;368477;368438;368215;336710;336681;334971;326716;325065;323919;323561;322229;322041;286832;81581;58004;30771;30769;30248	comp;leng8;inpp5ka;rps6ka3b;prdm2a;capn12;cxadr;cplx4a;zgc:153405;tubb2b;hbbe1.3;slc16a10;rps6ka5;paxbp1;myh14;cacna1bb;setx;ezrb;cavin1b;tpi1b;cnot6b;gabbr2;hykk.2;macroh2a2;slc12a7a;smarcad1a;trim3b;serpinh1a;st8sia6;adss2;coq10b;camk4;srsf6b;ehd1b;abhd3;rtn4a;sart1;tmem178b;lsm14ab;pgd;hnrnpabb;txndc5;igfbp3;tmem45b;aldh4a1;tmem38a;hif1al;dcp2;chsy3;cntfr;anxa11a;rpl7;tubb4b;calcoco1a;tmed10;mon1bb;alcamb;col4a5;adkb;ip6k2a;lamc1;cldnb;kif26ab;hic1l;robo1;calr3a	ENSDARG00000098431;ENSDARG00000076805;ENSDARG00000099563;ENSDARG00000057927;ENSDARG00000090721;ENSDARG00000010758;ENSDARG00000043658;ENSDARG00000059978;ENSDARG00000096992;ENSDARG00000098591;ENSDARG00000087390;ENSDARG00000020984;ENSDARG00000060551;ENSDARG00000062361;ENSDARG00000073732;ENSDARG00000079295;ENSDARG00000022996;ENSDARG00000025091;ENSDARG00000059362;ENSDARG00000040988;ENSDARG00000101072;ENSDARG00000061042;ENSDARG00000074341;ENSDARG00000087897;ENSDARG00000073756;ENSDARG00000014041;ENSDARG00000005397;ENSDARG00000075954;ENSDARG00000021195;ENSDARG00000002071;ENSDARG00000056141;ENSDARG00000005372;ENSDARG00000016783;ENSDARG00000014793;ENSDARG00000018809;ENSDARG00000044601;ENSDARG00000005945;ENSDARG00000006747;ENSDARG00000100553;ENSDARG00000015343;ENSDARG00000099865;ENSDARG00000009342;ENSDARG00000099144;ENSDARG00000056239;ENSDARG00000038207;ENSDARG00000024047;ENSDARG00000100826;ENSDARG00000104242;ENSDARG00000069472;ENSDARG00000028661;ENSDARG00000077383;ENSDARG00000007320;ENSDARG00000002344;ENSDARG00000036695;ENSDARG00000041391;ENSDARG00000077434;ENSDARG00000058538;ENSDARG00000052063;ENSDARG00000095947;ENSDARG00000008310;ENSDARG00000036279;ENSDARG00000009544;ENSDARG00000015016;ENSDARG00000045660;ENSDARG00000026784;ENSDARG00000103979		517.0531995	563.463	0.333452	254.90976056276997	436.4718132828827	261.1320545414654	250.18180855454546	292.2165	0.0575044	109.06108069805657	220.99949608179296	122.79815432350313	1092.8801983333335	1086.495	1.9336	654.6400822195225	879.9738760472411	603.0666969555834					573.399;560.998;459.536;477.341;537.539;615.982;603.252;928.926;732.967;817.062;20.8805;514.723;725.839;453.871;600.504;954.736;428.408;561.472;673.337;0.443895;887.479;728.685;10.203;1.01761;471.255;600.542;732.597;511.666;576.428;5.50052;687.054;543.114;951.084;485.981;12.2057;483.725;831.778;610.984;457.261;680.532;364.854;693.3;5.02074;4.61884;5.83291;0.333452;421.56;433.29;731.691;565.454;802.043;653.92;578.582;771.156;462.243;545.059;580.962;558.473;510.235;512.499;623.077;299.32;621.272;596.451;599.401;674.555	294.548;291.627;262.891;268.563;285.747;303.723;301.196;334.658;321.681;329.724;4.52074;279.52;321.063;261.089;300.479;334.972;252.158;291.759;313.704;0.0726822;333.474;321.298;4.67929;0.475195;266.616;300.55;321.711;278.675;295.188;1.16398;315.791;287.144;334.903;271.174;2.59548;270.532;330.841;302.705;262.142;314.757;227.186;316.676;0.947041;0.792222;1.07823;0.0575044;249.669;253.881;321.739;292.674;328.651;310.54;295.713;325.839;263.758;287.519;296.237;291.07;278.349;278.951;304.945;196.833;304.665;299.882;300.209;314.028	1116.24;1079.18;803.274;848.421;1011.2;1249.28;1208.23;2578.46;1670.1;2024.69;96.4436;947.839;1640.93;788.999;1200.1;2721.18;727.85;1080.52;1445.25;2.71101;2361.86;1652.61;22.2473;2.17918;832.964;1199.97;1668.26;939.454;1125.62;25.9934;1494.8;1027.26;2700.96;870.941;57.3994;864.922;2091.2;1233.22;797.61;1471.37;585.944;1517.85;26.6175;26.9289;31.5542;1.9336;711.795;739.481;1663.99;1092.47;1957.31;1376.99;1132.04;1825.08;810.092;1033.29;1139.34;1071.54;935.297;941.582;1273.1;455.17;1266.89;1186.31;1196.77;1448.99	54	12	54	100318854;100037338;100009657;799247;791793;751661;641421;573653;566499;563266;563011;562474;561589;561082;560753;560267;558711;558214;557875;555328;553212;550502;550442;550270;447839;447816;436946;406800;406762;406594;406289;403079;402977;394133;393874;393376;393121;368438;368215;336710;336681;334971;326716;325065;323919;323561;322229;322041;286832;81581;58004;30771;30769;30248	ENSDARG00000098431;ENSDARG00000099563;ENSDARG00000057927;ENSDARG00000010758;ENSDARG00000043658;ENSDARG00000096992;ENSDARG00000098591;ENSDARG00000087390;ENSDARG00000020984;ENSDARG00000062361;ENSDARG00000073732;ENSDARG00000022996;ENSDARG00000025091;ENSDARG00000059362;ENSDARG00000040988;ENSDARG00000061042;ENSDARG00000087897;ENSDARG00000073756;ENSDARG00000014041;ENSDARG00000075954;ENSDARG00000021195;ENSDARG00000002071;ENSDARG00000056141;ENSDARG00000005372;ENSDARG00000014793;ENSDARG00000044601;ENSDARG00000005945;ENSDARG00000100553;ENSDARG00000015343;ENSDARG00000099865;ENSDARG00000009342;ENSDARG00000099144;ENSDARG00000056239;ENSDARG00000038207;ENSDARG00000024047;ENSDARG00000100826;ENSDARG00000104242;ENSDARG00000028661;ENSDARG00000077383;ENSDARG00000007320;ENSDARG00000002344;ENSDARG00000036695;ENSDARG00000041391;ENSDARG00000077434;ENSDARG00000058538;ENSDARG00000052063;ENSDARG00000095947;ENSDARG00000008310;ENSDARG00000036279;ENSDARG00000009544;ENSDARG00000015016;ENSDARG00000045660;ENSDARG00000026784;ENSDARG00000103979	490.3931382777778	551.766	231.45918214962185	246.70602952962966	289.29449999999997	106.52883015451984	988.7260442592592	1052.415	532.2262765143574	573.399;459.536;477.341;615.982;603.252;732.967;817.062;20.8805;514.723;453.871;600.504;428.408;561.472;673.337;0.443895;728.685;1.01761;471.255;600.542;511.666;576.428;5.50052;687.054;543.114;485.981;483.725;831.778;457.261;680.532;364.854;693.3;5.02074;4.61884;5.83291;0.333452;421.56;433.29;565.454;802.043;653.92;578.582;771.156;462.243;545.059;580.962;558.473;510.235;512.499;623.077;299.32;621.272;596.451;599.401;674.555	294.548;262.891;268.563;303.723;301.196;321.681;329.724;4.52074;279.52;261.089;300.479;252.158;291.759;313.704;0.0726822;321.298;0.475195;266.616;300.55;278.675;295.188;1.16398;315.791;287.144;271.174;270.532;330.841;262.142;314.757;227.186;316.676;0.947041;0.792222;1.07823;0.0575044;249.669;253.881;292.674;328.651;310.54;295.713;325.839;263.758;287.519;296.237;291.07;278.349;278.951;304.945;196.833;304.665;299.882;300.209;314.028	1116.24;803.274;848.421;1249.28;1208.23;1670.1;2024.69;96.4436;947.839;788.999;1200.1;727.85;1080.52;1445.25;2.71101;1652.61;2.17918;832.964;1199.97;939.454;1125.62;25.9934;1494.8;1027.26;870.941;864.922;2091.2;797.61;1471.37;585.944;1517.85;26.6175;26.9289;31.5542;1.9336;711.795;739.481;1092.47;1957.31;1376.99;1132.04;1825.08;810.092;1033.29;1139.34;1071.54;935.297;941.582;1273.1;455.17;1266.89;1186.31;1196.77;1448.99	12	100037367;100003615;768157;565173;562796;560386;559560;555391;494133;447830;436669;368477	ENSDARG00000076805;ENSDARG00000090721;ENSDARG00000059978;ENSDARG00000060551;ENSDARG00000079295;ENSDARG00000101072;ENSDARG00000074341;ENSDARG00000005397;ENSDARG00000016783;ENSDARG00000018809;ENSDARG00000006747;ENSDARG00000069472	637.0234750000001	728.7650000000001	326.57325506616024	265.8228141666666	321.387	123.61153575930031	1561.5738916666667	1652.46	935.2233297919184	560.998;537.539;928.926;725.839;954.736;887.479;10.203;732.597;951.084;12.2057;610.984;731.691	291.627;285.747;334.658;321.063;334.972;333.474;4.67929;321.711;334.903;2.59548;302.705;321.739	1079.18;1011.2;2578.46;1640.93;2721.18;2361.86;22.2473;1668.26;2700.96;57.3994;1233.22;1663.99	0						Exp 3,1(0.02);Exp 5,5(0.08);Hill,4(0.07);Linear,56(0.85)	2.6346993916064863	189.03275752067566	1.5113025903701782	7.689901351928711	1.3296965865329216	2.6155420541763306	455.55384341400213	578.5525555859979	223.86980613390097	276.4938109751901	934.9421757338744	1250.8182209327917	UP	0.8181818181818182	0.18181818181818182	0.0	
GO:0000015	4	phosphopyruvate hydratase complex	3	5	1	0	0	0	0	0	1	0	0	66	5	18880	0.98271	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000018	7	regulation of DNA recombination	17	40	5	3	3	3	3	3	5	1	1	65	39	18846	0.99144	0.13038	0.13038	2.5	751661	zgc:153405	ENSDARG00000096992		732.967	732.967	732.967		732.967		321.681	321.681	321.681		321.681		1670.1	1670.1	1670.1		1670.1						732.967	321.681	1670.1	1	0	1	751661	ENSDARG00000096992	732.967	732.967		321.681	321.681		1670.1	1670.1		732.967	321.681	1670.1	0															0						Linear,1(1)	2.9029510021209717	2.9029510021209717	2.9029510021209717	2.9029510021209717	0.0	2.9029510021209717	732.967	732.967	321.681	321.681	1670.1	1670.1	UP	1.0	0.0	0.0	
GO:0000019	8	regulation of mitotic recombination	1	4	1	1	1	0	0	0	1	0	0	66	4	18881	0.98614	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000027	8	ribosomal large subunit assembly	10	16	1	1	0	1	1	1	1	0	0	66	16	18869	0.94569	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000028	8	ribosomal small subunit assembly	7	14	3	0	0	3	3	2	3	0	0	66	14	18871	0.95232	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000030	6	mannosyltransferase activity	3	20	1	1	0	1	1	1	1	0	0	66	20	18865	0.93257	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000041	8	transition metal ion transport	20	69	2	1	0	1	1	1	2	0	0	66	69	18816	0.78572	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000045	7	autophagosome assembly	12	42	2	0	0	2	2	2	2	0	0	66	42	18843	0.86356	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000049	6	tRNA binding	11	40	1	0	0	0	0	0	1	0	0	66	40	18845	0.86962	1.0	1.0	0.0																														0	0	0															0															0																							
