Signaling Pathway Analyses
Organism Code: dre
Signaling Pathway File Creation Date: 03/16/22
Pathway DB Name: REACTOME
Deduplicate Gene Sets: false
Data Source: BPA_DeSeq_normDataF2
Work Source: BPA_DeSeq_normDataF2_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0020 BETA
Timestamp (Start Time): 04/27/2022 18:44.39
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 517
Total Run Time: 11 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-109582	Hemostasis	138	307	2	2	0	2	2	2	2	0	0	13	307	4572	0.43015	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-168249	Innate Immune System	264	502	14	11	8	8	8	6	14	3	3	10	499	4380	0.96307	0.14156	0.14156	0.6	324944;321947;100000085	magt1;psmc3;si:ch211-212k18.7	ENSDARG00000058062;ENSDARG00000007141;ENSDARG00000055504		542.3056666666666	534.307	530.492	17.26368936042908	540.4103121342723	15.049402495049339	282.98900000000003	282.733	280.591	2.5357105513008467	281.88080264440356	2.242807609247024	1040.0796666666668	1017.44	985.219	69.0237238949998	1036.582045066963	57.50341851268767					562.118;530.492;534.307	282.733;285.643;280.591	1117.58;985.219;1017.44	3	0	3	324944;321947;100000085	ENSDARG00000058062;ENSDARG00000007141;ENSDARG00000055504	542.3056666666666	534.307	17.26368936042908	282.98900000000003	282.733	2.5357105513008467	1040.0796666666668	1017.44	69.0237238949998	562.118;530.492;534.307	282.733;285.643;280.591	1117.58;985.219;1017.44	0															0						Linear,3(1)	Infinity	Infinity	7.522697925567627	Infinity	NaN	NaN	522.769963095747	561.8413702375865	280.11957338800937	285.8584266119906	961.9719701470183	1118.1873631863152	UP	1.0	0.0	0.0	
R-DRE-168256	Immune System	380	839	19	13	8	11	11	9	19	3	3	10	836	4043	0.82955	0.39056	0.47693	0.36	324944;321947;100000085	magt1;psmc3;si:ch211-212k18.7	ENSDARG00000058062;ENSDARG00000007141;ENSDARG00000055504		542.3056666666666	534.307	530.492	17.26368936042908	540.4103121342723	15.049402495049339	282.98900000000003	282.733	280.591	2.5357105513008467	281.88080264440356	2.242807609247024	1040.0796666666668	1017.44	985.219	69.0237238949998	1036.582045066963	57.50341851268767					562.118;530.492;534.307	282.733;285.643;280.591	1117.58;985.219;1017.44	3	0	3	324944;321947;100000085	ENSDARG00000058062;ENSDARG00000007141;ENSDARG00000055504	542.3056666666666	534.307	17.26368936042908	282.98900000000003	282.733	2.5357105513008467	1040.0796666666668	1017.44	69.0237238949998	562.118;530.492;534.307	282.733;285.643;280.591	1117.58;985.219;1017.44	0															0						Linear,3(1)	Infinity	Infinity	7.522697925567627	Infinity	NaN	NaN	522.769963095747	561.8413702375865	280.11957338800937	285.8584266119906	961.9719701470183	1118.1873631863152	UP	1.0	0.0	0.0	
R-DRE-6798695	Neutrophil degranulation	154	300	9	8	6	5	5	5	9	3	3	10	297	4582	0.99363	0.041264	0.041264	1.0	324944;321947;100000085	magt1;psmc3;si:ch211-212k18.7	ENSDARG00000058062;ENSDARG00000007141;ENSDARG00000055504		542.3056666666666	534.307	530.492	17.26368936042908	540.4103121342723	15.049402495049339	282.98900000000003	282.733	280.591	2.5357105513008467	281.88080264440356	2.242807609247024	1040.0796666666668	1017.44	985.219	69.0237238949998	1036.582045066963	57.50341851268767					562.118;530.492;534.307	282.733;285.643;280.591	1117.58;985.219;1017.44	3	0	3	324944;321947;100000085	ENSDARG00000058062;ENSDARG00000007141;ENSDARG00000055504	542.3056666666666	534.307	17.26368936042908	282.98900000000003	282.733	2.5357105513008467	1040.0796666666668	1017.44	69.0237238949998	562.118;530.492;534.307	282.733;285.643;280.591	1117.58;985.219;1017.44	0															0						Linear,3(1)	Infinity	Infinity	7.522697925567627	Infinity	NaN	NaN	522.769963095747	561.8413702375865	280.11957338800937	285.8584266119906	961.9719701470183	1118.1873631863152	UP	1.0	0.0	0.0	
R-DRE-76002	Platelet activation, signaling and aggregation	69	141	2	2	0	2	2	2	2	0	0	13	141	4738	0.6834	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1430728	Metabolism	548	1029	33	23	20	13	13	10	33	4	4	9	1025	3854	0.88237	0.28486	0.49164	0.39	415166;321947;266799;100151256	fabp6;psmc3;gatm;cmbl	ENSDARG00000044566;ENSDARG00000007141;ENSDARG00000036239;ENSDARG00000073786		428.82325	421.29999999999995	342.201	79.93659151842395	381.1708089689756	67.85896998741431	250.13225	249.25599999999997	216.374	29.23461696203089	231.8349906647536	25.860030693406866	737.8315	712.454	541.199	189.5627167869951	628.5745542528571	156.73021466508368					445.962;530.492;396.638;342.201	258.251;285.643;240.261;216.374	770.113;985.219;654.795;541.199	4	0	4	415166;321947;266799;100151256	ENSDARG00000044566;ENSDARG00000007141;ENSDARG00000036239;ENSDARG00000073786	428.82325	421.29999999999995	79.93659151842395	250.13225	249.25599999999997	29.23461696203089	737.8315	712.454	189.5627167869951	445.962;530.492;396.638;342.201	258.251;285.643;240.261;216.374	770.113;985.219;654.795;541.199	0															0						Linear,4(1)	Infinity	Infinity	1.6338356733322144	Infinity	NaN	3.1219544410705566	350.48539031194474	507.1611096880552	221.4823253772097	278.7821746227903	552.0600375487444	923.6029624512556	UP	1.0	0.0	0.0	
R-DRE-156580	Phase II - Conjugation of compounds	31	48	2	2	2	0	0	0	2	0	0	13	48	4831	0.87955	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-211859	Biological oxidations	67	112	7	5	5	3	3	3	7	1	1	12	111	4768	0.96563	0.26026	0.26026	0.89	100151256	cmbl	ENSDARG00000073786		342.201	342.201	342.201		342.201		216.374	216.374	216.374		216.374		541.199	541.199	541.199		541.199						342.201	216.374	541.199	1	0	1	100151256	ENSDARG00000073786	342.201	342.201		216.374	216.374		541.199	541.199		342.201	216.374	541.199	0															0						Linear,1(1)	3.2105505466461186	3.210550546646118	3.210550546646118	3.210550546646118	0.0	3.210550546646118	342.201	342.201	216.374	216.374	541.199	541.199	UP	1.0	0.0	0.0	
R-DRE-15869	Metabolism of nucleotides	25	54	2	2	2	0	0	0	2	0	0	13	54	4825	0.86548	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-74217	Purine salvage	4	9	1	1	1	0	0	0	1	0	0	13	9	4870	0.97632	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8956321	Nucleotide salvage	5	14	1	1	1	0	0	0	1	0	0	13	14	4865	0.96338	1.0	1.0	0.0																														0	0	0															0															0																							
