Dose (mg/L),Replicate,Alive,Dead,Total Dead (to date),Deformities,Total Deform (to date),Hatched,Notes,Survival Rate,Deformity Rate,Hatch Rate
1000,A,19,0,1,3,3,19,2 stunted 1 curved spine,0.95,0.15,1
1000,B,18,0,2,0,0,18,,0.9,0,1
1000,C,18,0,2,1,1,18,1 stunted and curved spine,0.9,0.05,1
100,A,18,0,2,1,1,18,1 curved spine,0.9,0.05,1
100,B,17,0,3,0,0,17,,0.85,0,1
100,C,17,0,3,0,0,17,,0.85,0,1
10,A,14,0,6,0,0,14,,0.7,0,1
10,B,16,0,4,0,0,16,,0.8,0,1
10,C,18,0,2,0,0,18,,0.9,0,1
1,A,18,0,2,2,2,18,"1 no eyes, 1 stunted w/ curved spine",0.9,0.1,1
1,B,15,0,5,0,0,15,,0.75,0,1
1,C,17,0,3,0,0,17,,0.85,0,1
0.1,A,17,0,3,0,0,17,,0.85,0,1
0.1,B,17,0,3,0,0,17,,0.85,0,1
0.1,C,16,0,4,0,0,16,,0.8,0,1
0,A,19,0,1,0,0,19,,0.95,0,1
0,B,19,0,1,1,1,19,stunted,0.95,0.05,1
0,C,16,0,4,0,0,16,,0.8,0,1
