Dose (mg/L),Replicate,Survival Rate,Deformity Rate,Hatch Rate,Affected Rate,
1,A,0.75,0,1,0.25,0.001
1,B,0.85,0,1,0.15,0.001
1,C,0.8,0,1,0.2,0.001
0.1,A,0.5,0,1,0.5,0.0001
0.1,B,0.7,0.05,1,0.35,0.0001
0.1,C,0.9,0.1,1,0.2,0.0001
0.01,A,1,0.05,1,0.05,0.00001
0.01,B,0.75,0,0,0.25,0.00001
0.01,C,0.8,0.1,1,0.3,0.00001
0.001,A,0.85,0.05,1,0.2,0.000001
0.001,B,0.9,0,1,0.1,0.000001
0.001,C,0.85,0.05,1,0.2,0.000001
0.0001,A,0.85,0.1,0.941176470588235,0.25,0.0000001
0.0001,B,0.9,0.1,0.944444444444444,0.2,0.0000001
0.0001,C,0.8,0,1,0.2,0.0000001
0,A,0.75,0,1,0.25,
0,B,0.9,0.05,1,0.15,
0,C,0.9,0,1,0.1,
