A3,Counts
ENSDARG00000000001,4
ENSDARG00000000002,73
ENSDARG00000000018,40
ENSDARG00000000019,132
ENSDARG00000000068,30
ENSDARG00000000069,294
ENSDARG00000000086,169
ENSDARG00000000103,381
ENSDARG00000000142,6
ENSDARG00000000151,75
ENSDARG00000000161,30
ENSDARG00000000175,23
ENSDARG00000000183,169
ENSDARG00000000189,170
ENSDARG00000000212,1069
ENSDARG00000000229,59
ENSDARG00000000241,107
ENSDARG00000000349,3
ENSDARG00000000369,11
ENSDARG00000000370,152
ENSDARG00000000380,42
ENSDARG00000000394,166
ENSDARG00000000423,31
ENSDARG00000000442,22
ENSDARG00000000460,1
ENSDARG00000000472,13
ENSDARG00000000474,0
ENSDARG00000000476,29
ENSDARG00000000489,43
ENSDARG00000000503,657
ENSDARG00000000516,5
ENSDARG00000000529,22
ENSDARG00000000540,90
ENSDARG00000000542,10
ENSDARG00000000551,26
ENSDARG00000000563,17418
ENSDARG00000000567,65
ENSDARG00000000568,65
ENSDARG00000000588,18
ENSDARG00000000606,13
ENSDARG00000000631,71
ENSDARG00000000638,0
ENSDARG00000000651,7
ENSDARG00000000656,0
ENSDARG00000000666,20
ENSDARG00000000690,10
ENSDARG00000000729,107
ENSDARG00000000730,18
ENSDARG00000000747,5
ENSDARG00000000760,24
ENSDARG00000000767,15
ENSDARG00000000779,132
ENSDARG00000000796,16
ENSDARG00000000804,2
ENSDARG00000000830,34
ENSDARG00000000837,68
ENSDARG00000000853,44
ENSDARG00000000857,35
ENSDARG00000000861,332
ENSDARG00000000887,8
ENSDARG00000000906,8
ENSDARG00000000935,19
ENSDARG00000000943,95
ENSDARG00000000966,520
ENSDARG00000001014,712
ENSDARG00000001015,71
ENSDARG00000001057,68
ENSDARG00000001127,31
ENSDARG00000001129,151
ENSDARG00000001154,36
ENSDARG00000001162,104
ENSDARG00000001169,8
ENSDARG00000001210,10
ENSDARG00000001220,182
ENSDARG00000001234,58
ENSDARG00000001241,93
ENSDARG00000001244,400
ENSDARG00000001249,14
ENSDARG00000001259,18
ENSDARG00000001303,0
ENSDARG00000001313,15
ENSDARG00000001354,5
ENSDARG00000001414,12
ENSDARG00000001431,1196
ENSDARG00000001437,68
ENSDARG00000001442,38
ENSDARG00000001447,16
ENSDARG00000001452,2
ENSDARG00000001463,27
ENSDARG00000001470,119
ENSDARG00000001498,0
ENSDARG00000001549,191
ENSDARG00000001557,23
ENSDARG00000001558,33
ENSDARG00000001559,88
ENSDARG00000001572,0
ENSDARG00000001578,63
ENSDARG00000001621,7
ENSDARG00000001634,66
ENSDARG00000001656,0
ENSDARG00000001676,71
ENSDARG00000001686,10
ENSDARG00000001710,109
ENSDARG00000001712,9
ENSDARG00000001721,3
ENSDARG00000001729,203
ENSDARG00000001733,61
ENSDARG00000001734,9
ENSDARG00000001754,99
ENSDARG00000001760,48
ENSDARG00000001767,6
ENSDARG00000001769,76
ENSDARG00000001771,0
ENSDARG00000001776,17
ENSDARG00000001777,68
ENSDARG00000001781,0
ENSDARG00000001782,4
ENSDARG00000001785,21
ENSDARG00000001788,246
ENSDARG00000001803,18
ENSDARG00000001804,2
ENSDARG00000001807,30
ENSDARG00000001817,10
ENSDARG00000001818,258
ENSDARG00000001825,5
ENSDARG00000001829,174
ENSDARG00000001835,45
ENSDARG00000001857,233
ENSDARG00000001859,2
ENSDARG00000001870,2340
ENSDARG00000001873,39
ENSDARG00000001879,87
ENSDARG00000001880,18
ENSDARG00000001881,16
ENSDARG00000001882,33
ENSDARG00000001888,88
ENSDARG00000001889,145
ENSDARG00000001890,154
ENSDARG00000001891,7
ENSDARG00000001897,66
ENSDARG00000001898,13
ENSDARG00000001906,0
ENSDARG00000001909,12
ENSDARG00000001910,189
ENSDARG00000001912,3
ENSDARG00000001913,61
ENSDARG00000001929,15
ENSDARG00000001930,17
ENSDARG00000001933,7
ENSDARG00000001937,9
ENSDARG00000001939,42
ENSDARG00000001940,66
ENSDARG00000001950,1085
ENSDARG00000001953,45
ENSDARG00000001968,233
ENSDARG00000001969,35
ENSDARG00000001971,2
ENSDARG00000001975,29
ENSDARG00000001976,30
ENSDARG00000001993,782
ENSDARG00000001994,261
ENSDARG00000001999,23
ENSDARG00000002002,13
ENSDARG00000002006,54
ENSDARG00000002013,79
ENSDARG00000002016,20
ENSDARG00000002020,45
ENSDARG00000002021,22
ENSDARG00000002026,96
ENSDARG00000002031,0
ENSDARG00000002037,47
ENSDARG00000002060,4
ENSDARG00000002071,139
ENSDARG00000002077,22
ENSDARG00000002082,94
ENSDARG00000002084,167
ENSDARG00000002097,2
ENSDARG00000002127,93
ENSDARG00000002128,27
ENSDARG00000002131,142
ENSDARG00000002165,14
ENSDARG00000002167,73
ENSDARG00000002168,54
ENSDARG00000002172,36
ENSDARG00000002174,10
ENSDARG00000002184,50
ENSDARG00000002190,133
ENSDARG00000002192,59
ENSDARG00000002193,979
ENSDARG00000002194,0
ENSDARG00000002196,65
ENSDARG00000002197,115
ENSDARG00000002204,28
ENSDARG00000002210,26
ENSDARG00000002213,11
ENSDARG00000002215,48
ENSDARG00000002216,21
ENSDARG00000002217,83
ENSDARG00000002219,37
ENSDARG00000002220,6
ENSDARG00000002230,111
ENSDARG00000002231,38
ENSDARG00000002235,191
ENSDARG00000002240,72
ENSDARG00000002241,0
ENSDARG00000002249,47
ENSDARG00000002255,61
ENSDARG00000002259,0
ENSDARG00000002264,23
ENSDARG00000002267,52
ENSDARG00000002271,154
ENSDARG00000002285,44
ENSDARG00000002293,0
ENSDARG00000002295,2
ENSDARG00000002298,1
ENSDARG00000002299,7
ENSDARG00000002300,57
ENSDARG00000002304,4
ENSDARG00000002305,202
ENSDARG00000002311,1
ENSDARG00000002330,11
ENSDARG00000002332,106
ENSDARG00000002333,38
ENSDARG00000002336,46
ENSDARG00000002339,11
ENSDARG00000002344,588
ENSDARG00000002347,0
ENSDARG00000002353,4
ENSDARG00000002355,1
ENSDARG00000002362,57
ENSDARG00000002365,52
ENSDARG00000002369,192
ENSDARG00000002377,17
ENSDARG00000002385,36
ENSDARG00000002391,0
ENSDARG00000002394,26
ENSDARG00000002396,164
ENSDARG00000002401,17
ENSDARG00000002402,52
ENSDARG00000002403,44
ENSDARG00000002405,42
ENSDARG00000002406,0
ENSDARG00000002411,16
ENSDARG00000002445,24
ENSDARG00000002463,17
ENSDARG00000002467,27
ENSDARG00000002479,42
ENSDARG00000002483,12
ENSDARG00000002487,45
ENSDARG00000002494,83
ENSDARG00000002506,17
ENSDARG00000002507,28
ENSDARG00000002508,5
ENSDARG00000002509,0
ENSDARG00000002510,4
ENSDARG00000002523,178
ENSDARG00000002533,17
ENSDARG00000002536,64
ENSDARG00000002538,31
ENSDARG00000002546,24
ENSDARG00000002549,14
ENSDARG00000002552,124
ENSDARG00000002564,33
ENSDARG00000002571,116
ENSDARG00000002576,22
ENSDARG00000002582,50
ENSDARG00000002587,284
ENSDARG00000002589,649
ENSDARG00000002591,42
ENSDARG00000002593,4
ENSDARG00000002597,0
ENSDARG00000002600,82
ENSDARG00000002601,2
ENSDARG00000002607,13
ENSDARG00000002609,22
ENSDARG00000002613,0
ENSDARG00000002632,109
ENSDARG00000002634,22
ENSDARG00000002635,77
ENSDARG00000002642,44
ENSDARG00000002644,42
ENSDARG00000002656,252
ENSDARG00000002659,74
ENSDARG00000002663,16
ENSDARG00000002666,5
ENSDARG00000002670,51
ENSDARG00000002682,68
ENSDARG00000002685,0
ENSDARG00000002690,47
ENSDARG00000002696,281
ENSDARG00000002701,3
ENSDARG00000002707,0
ENSDARG00000002710,570
ENSDARG00000002720,19
ENSDARG00000002722,0
ENSDARG00000002728,0
ENSDARG00000002731,203
ENSDARG00000002732,9
ENSDARG00000002745,317
ENSDARG00000002748,32
ENSDARG00000002750,32
ENSDARG00000002754,3
ENSDARG00000002758,637
ENSDARG00000002760,19
ENSDARG00000002764,18
ENSDARG00000002768,3211
ENSDARG00000002771,15
ENSDARG00000002779,5
ENSDARG00000002787,95
ENSDARG00000002790,358
ENSDARG00000002791,941
ENSDARG00000002792,80
ENSDARG00000002795,42
ENSDARG00000002797,0
ENSDARG00000002798,12
ENSDARG00000002816,35
ENSDARG00000002826,8
ENSDARG00000002830,13
ENSDARG00000002831,6
ENSDARG00000002840,101
ENSDARG00000002847,36
ENSDARG00000002872,10
ENSDARG00000002877,108
ENSDARG00000002880,56
ENSDARG00000002894,8
ENSDARG00000002897,27
ENSDARG00000002909,78
ENSDARG00000002912,65
ENSDARG00000002916,94
ENSDARG00000002917,8
ENSDARG00000002933,7
ENSDARG00000002937,142
ENSDARG00000002945,26
ENSDARG00000002947,47
ENSDARG00000002949,136
ENSDARG00000002952,64
ENSDARG00000002956,8
ENSDARG00000002959,1
ENSDARG00000002967,104
ENSDARG00000002968,204
ENSDARG00000002970,98
ENSDARG00000002971,50
ENSDARG00000002986,43
ENSDARG00000002988,178
ENSDARG00000002991,11
ENSDARG00000002994,49
ENSDARG00000003008,92
ENSDARG00000003017,24
ENSDARG00000003020,22
ENSDARG00000003021,7
ENSDARG00000003022,18
ENSDARG00000003027,3
ENSDARG00000003032,828
ENSDARG00000003035,348
ENSDARG00000003041,12
ENSDARG00000003046,47
ENSDARG00000003054,3
ENSDARG00000003058,92
ENSDARG00000003061,14
ENSDARG00000003068,75
ENSDARG00000003069,19
ENSDARG00000003077,7
ENSDARG00000003081,5691
ENSDARG00000003084,6
ENSDARG00000003085,29
ENSDARG00000003087,131
ENSDARG00000003090,0
ENSDARG00000003091,47
ENSDARG00000003098,335
ENSDARG00000003109,31
ENSDARG00000003113,242
ENSDARG00000003127,96
ENSDARG00000003132,27
ENSDARG00000003142,24
ENSDARG00000003144,6
ENSDARG00000003146,11
ENSDARG00000003151,268
ENSDARG00000003153,20
ENSDARG00000003157,32
ENSDARG00000003165,34
ENSDARG00000003167,24
ENSDARG00000003169,208
ENSDARG00000003175,54
ENSDARG00000003181,4
ENSDARG00000003189,144
