GO/Pathway/Gene Set/Gene ID,GO/Pathway/Gene Set/Gene Name,All Genes (Expression Data),All Genes (Platform),Input Genes,Genes with BMD <= Highest Dose,Genes with BMD p-Value >= ,Genes with BMD/BMDL <= ,Genes with BMDU/BMD <= ,Genes with BMDU/BMDL <= ,Genes with BMD <= N-Fold Lowest Positive Dose ,Genes That Passed All Filters,Fisher's A Parameter,Fisher's B Parameter,Fisher's C Parameter,Fisher's D Parameter,Fisher's Exact Left P-Value,Fisher's Exact Right P-Value,Fisher's Exact Two Tail,Percentage,Entrez Gene IDs,Gene Symbols,Probe IDs,Genes with Conflicting Probesets,BMD Mean,BMD Median,BMD Minimum,BMD Standard Deviation,BMD wMean,BMD wSD,BMDL Mean,BMDL Median,BMDL Minimum,BMDL Standard Deviation,BMDL wMean,BMDL wSD,BMDU Mean,BMDU Median,BMDU Minimum,BMDU Standard Deviation,BMDU wMean,BMDU wSD,5th Percentile Index,BMD at 5th Percentile of Total Genes,10th Percentile Index,BMD at 10th Percentile of Total Genes,BMD List,BMDL List,BMDU List,Probes with Adverse Direction Up,Probes with Adverse Direction Down,Genes with Adverse Direction Up,Genes Up List,Genes Up Probes List,Genes Up BMD Mean,Genes Up BMD Median,Genes Up SD,Genes Up BMDL Mean,Genes Up BMDL Median,Genes Up BMDL SD,Genes Up BMDU Mean,Genes Up BMDU Median,Genes Up BMDU SD,BMD list (up),BMDL List (up),BMDU List (up),Genes with Adverse Direction Down,Genes Down List,Genes Down Probes List,Genes Down BMD Mean,Genes Down BMD Median,Genes Down SD,Genes Down BMDL Mean,Genes Down BMDL Median,Genes Down BMDL SD,Genes Down BMDU Mean,Genes Down BMDU Median,Genes Down BMDU SD,BMD list (down),BMDL List (down),BMDU List (down),Genes with Adverse Conflict Count,Genes Conflict List,Genes Conflict Probes List,BMD list (Conflict),BMDL list (Conflict),BMDU list (Conflict),Model Counts,Mean Fold Change,Total Fold Change,Min Fold Change,Max Fold Change,Standard Deviation Fold Change,Median Fold Change,Lower bound of the 95% confidence interval -  BMD,Upper bound of the 95% confidence interval -  BMD,Lower bound of the 95% confidence interval -  BMDL,Upper bound of the 95% confidence interval -  BMDL,Lower bound of the 95% confidence interval -  BMDU,Upper bound of the 95% confidence interval -  BMDU,Overall Direction,Percent Genes With Overall Direction Up,Percent Genes With Overall Direction Down,Percent Genes With Overall Direction Conflict
R-DRE-109582,Hemostasis,172,307,23,19,17,11,11,8,23,7,7,56,300,4529,0.95826,0.09772,0.11413,2.28,567448;393153;359833;335656;334571;323695;107988037,mfn2;serpine2;tfpia;gngt1;prkcda;cav1;ino80e,ENSDARG00000079504;ENSDARG00000029353;ENSDARG00000034718;ENSDARG00000035798;ENSDARG00000009208;ENSDARG00000103747;ENSDARG00000101892,,241.4520969,28.5323,0.640374,299.9372888,112.5814633,234.2074254,123.6637317,7.80706,0.115912,152.7238391,56.99086826,120.7238428,478.8174029,104.276,1.87989,596.8412846,229.9734595,460.7507832,,,,,1.00779;418.891;0.865214;0.640374;655.465;28.5323;584.763,0.540269;248.971;0.167881;0.115912;310.725;7.80706;297.319,1.87989;704.779;4.45907;3.53786;1382.68;104.276;1150.11,4,3,4,393153;359833;323695;107988037,ENSDARG00000029353;ENSDARG00000034718;ENSDARG00000103747;ENSDARG00000101892,258.2628785,223.71165,289.5015366,138.5662353,128.38903,156.6777146,490.9060175,404.5275,537.4026877,418.891;0.865214;28.5323;584.763,248.971;0.167881;7.80706;297.319,704.779;4.45907;104.276;1150.11,3,567448;335656;334571,ENSDARG00000079504;ENSDARG00000035798;ENSDARG00000009208,219.0377213,1.00779,377.9571549,103.793727,0.540269,179.2078649,462.69925,3.53786,796.7271318,1.00779;0.640374;655.465,0.540269;0.115912;310.725,1.87989;3.53786;1382.68,0,,,,,,"Hill,4(0.58);Linear,3(0.43)",1.926253753,13.6565249,1.543120384,2.364569187,0.331606287,2.012150526,19.25544385,463.6487499,10.52432842,236.803135,36.67119168,920.963614,CONFLICT,0.571428571,0.428571429,0
R-DRE-114608,Platelet degranulation ,31,69,6,4,4,3,3,1,6,1,1,62,68,4761,0.77726,0.59371,0.59371,1.45,107988037,ino80e,ENSDARG00000101892,,584.763,584.763,584.763,,584.763,,297.319,297.319,297.319,,297.319,,1150.11,1150.11,1150.11,,1150.11,,,,,,584.763,297.319,1150.11,1,0,1,107988037,ENSDARG00000101892,584.763,584.763,,297.319,297.319,,1150.11,1150.11,,584.763,297.319,1150.11,0,,,,,,,,,,,,,,,0,,,,,,"Linear,1(1)",2.012150526,2.012150526,2.012150526,2.012150526,0,2.012150526,584.763,584.763,297.319,297.319,1150.11,1150.11,UP,1,0,0
R-DRE-168249,Innate Immune System,292,502,33,31,25,20,20,11,33,8,8,55,494,4335,0.80714,0.31698,0.52782,1.59,797351;431762;431724;415202;405783;386701;336334;334571,krt5;mgst1.2;impdh1a;psmd4a;ostf1;tubb5;eef1a1a;prkcda,ENSDARG00000058371;ENSDARG00000022165;ENSDARG00000042336;ENSDARG00000101295;ENSDARG00000091555;ENSDARG00000037997;ENSDARG00000039502;ENSDARG00000009208,,277.9814156,236.4885,0.498845,287.6877636,228.7431661,267.3090678,144.1217584,133.30205,0.102108,150.664369,122.1391081,144.0060703,547.5123488,431.389,2.43709,551.1415077,440.1828671,501.6108673,,,,,0.498845;35.605;527.945;544.262;437.372;19.6498;3.05368;655.465,0.102108;11.1171;283.637;287.5;255.487;3.57732;0.828539;310.725,2.43709;114.033;982.684;1030.33;748.745;107.935;11.2547;1382.68,5,3,5,797351;431762;431724;415202;405783,ENSDARG00000058371;ENSDARG00000022165;ENSDARG00000042336;ENSDARG00000101295;ENSDARG00000091555,309.136569,437.372,269.1106591,167.5686416,255.487,148.4142488,575.645818,748.745,485.8075116,0.498845;35.605;527.945;544.262;437.372,0.102108;11.1171;283.637;287.5;255.487,2.43709;114.033;982.684;1030.33;748.745,3,386701;336334;334571,ENSDARG00000037997;ENSDARG00000039502;ENSDARG00000009208,226.05616,19.6498,371.9715335,105.0436197,3.57732,178.1306027,500.6232333,107.935,765.4115722,19.6498;3.05368;655.465,3.57732;0.828539;310.725,107.935;11.2547;1382.68,0,,,,,,"Exp 5,1(0.13);Hill,3(0.38);Linear,4(0.5)",1.880954648,15.13751054,1.516110182,2.164217472,0.215547297,1.946132541,78.62396649,477.3388648,39.71667728,248.5268395,165.5907692,929.4339283,UP,0.625,0.375,0
R-DRE-168256,Immune System,452,839,42,40,31,26,26,15,42,10,10,53,829,4000,0.47358,0.65859,1,1.19,797939;797351;559776;431762;431724;415202;405783;386701;336334;334571,fbxl16;krt5;zgc:175088;mgst1.2;impdh1a;psmd4a;ostf1;tubb5;eef1a1a;prkcda,ENSDARG00000060915;ENSDARG00000058371;ENSDARG00000099306;ENSDARG00000022165;ENSDARG00000042336;ENSDARG00000101295;ENSDARG00000091555;ENSDARG00000037997;ENSDARG00000039502;ENSDARG00000009208,,341.6533325,473.8505,0.498845,289.8870266,257.724899,272.3938771,174.6359067,266.8655,0.102108,147.8826445,136.5104661,144.6942386,679.354679,842.3715,2.43709,574.280213,498.1312339,519.6812582,,,,,510.329;0.498845;682.353;35.605;527.945;544.262;437.372;19.6498;3.05368;655.465,278.244;0.102108;315.141;11.1171;283.637;287.5;255.487;3.57732;0.828539;310.725,935.998;2.43709;1477.45;114.033;982.684;1030.33;748.745;107.935;11.2547;1382.68,6,4,6,797351;559776;431762;431724;415202;405783,ENSDARG00000058371;ENSDARG00000099306;ENSDARG00000022165;ENSDARG00000042336;ENSDARG00000101295;ENSDARG00000091555,371.3393075,482.6585,284.8710613,192.1640347,269.562,145.7773356,725.946515,865.7145,569.5164157,0.498845;682.353;35.605;527.945;544.262;437.372,0.102108;315.141;11.1171;283.637;287.5;255.487,2.43709;1477.45;114.033;982.684;1030.33;748.745,4,797939;386701;336334;334571,ENSDARG00000060915;ENSDARG00000037997;ENSDARG00000039502;ENSDARG00000009208,297.12437,264.9894,335.3276652,148.3437148,140.91066,169.2727602,609.466925,521.9665,661.7837361,510.329;19.6498;3.05368;655.465,278.244;3.57732;0.828539;310.725,935.998;107.935;11.2547;1382.68,0,,,,,,"Exp 5,1(0.1);Hill,3(0.3);Linear,6(0.6)",1.865252006,18.78257692,1.516110182,2.164217472,0.22834566,1.946132541,161.979492,521.327173,82.97729402,266.2945194,323.4121153,1035.297243,UP,0.6,0.4,0
R-DRE-6798695,Neutrophil degranulation,164,300,24,22,18,16,16,9,24,7,7,56,293,4536,0.96283,0.088987,0.10706,2.33,797351;431762;431724;405783;386701;336334;334571,krt5;mgst1.2;impdh1a;ostf1;tubb5;eef1a1a;prkcda,ENSDARG00000058371;ENSDARG00000022165;ENSDARG00000042336;ENSDARG00000091555;ENSDARG00000037997;ENSDARG00000039502;ENSDARG00000009208,,239.9413321,35.605,0.498845,288.1883238,213.5579575,265.6963641,123.6391524,11.1171,0.102108,150.2243791,114.180662,143.4551983,478.5383986,114.033,2.43709,556.7590751,411.780419,498.7192634,,,,,0.498845;35.605;527.945;437.372;19.6498;3.05368;655.465,0.102108;11.1171;283.637;255.487;3.57732;0.828539;310.725,2.43709;114.033;982.684;748.745;107.935;11.2547;1382.68,4,3,4,797351;431762;431724;405783,ENSDARG00000058371;ENSDARG00000022165;ENSDARG00000042336;ENSDARG00000091555,250.3552113,236.4885,271.1563061,137.585802,133.30205,152.8918394,461.9747725,431.389,478.0563501,0.498845;35.605;527.945;437.372,0.102108;11.1171;283.637;255.487,2.43709;114.033;982.684;748.745,3,386701;336334;334571,ENSDARG00000037997;ENSDARG00000039502;ENSDARG00000009208,226.05616,19.6498,371.9715335,105.0436197,3.57732,178.1306027,500.6232333,107.935,765.4115722,19.6498;3.05368;655.465,3.57732;0.828539;310.725,107.935;11.2547;1382.68,0,,,,,,"Exp 5,1(0.15);Hill,3(0.43);Linear,3(0.43)",1.939798178,13.62140036,1.699784279,2.164217472,0.165118291,2.02453661,26.44843416,453.4342301,12.35137498,234.9269299,66.0855038,890.9912933,CONFLICT,0.571428571,0.428571429,0
R-DRE-76002,"Platelet activation, signaling and aggregation",77,141,12,10,8,6,6,4,12,3,3,60,138,4691,0.89285,0.27249,0.42903,2.13,335656;334571;107988037,gngt1;prkcda;ino80e,ENSDARG00000035798;ENSDARG00000009208;ENSDARG00000101892,,413.6227913,584.763,0.640374,359.396092,218.149481,365.0151902,202.7199707,297.319,0.115912,175.5882503,106.3580068,177.9253917,845.44262,1150.11,3.53786,738.3257546,448.8845664,750.2101759,,,,,0.640374;655.465;584.763,0.115912;310.725;297.319,3.53786;1382.68;1150.11,1,2,1,107988037,ENSDARG00000101892,584.763,584.763,,297.319,297.319,,1150.11,1150.11,,584.763,297.319,1150.11,2,335656;334571,ENSDARG00000035798;ENSDARG00000009208,328.052687,328.052687,463.0309335,155.420456,155.420456,219.6337924,693.10893,693.10893,975.2007594,0.640374;655.465,0.115912;310.725,3.53786;1382.68,0,,,,,,"Hill,1(0.34);Linear,2(0.67)",1.887065861,5.719488382,1.543120384,2.164217472,0.323747644,2.012150526,6.927827587,820.3177551,4.023160434,401.4167809,9.948376589,1680.936863,DOWN,0.333333333,0.666666667,0
R-DRE-76005,Response to elevated platelet cytosolic Ca2+,33,71,6,4,4,3,3,1,6,1,1,62,70,4759,0.76771,0.60425,0.60425,1.41,107988037,ino80e,ENSDARG00000101892,,584.763,584.763,584.763,,584.763,,297.319,297.319,297.319,,297.319,,1150.11,1150.11,1150.11,,1150.11,,,,,,584.763,297.319,1150.11,1,0,1,107988037,ENSDARG00000101892,584.763,584.763,,297.319,297.319,,1150.11,1150.11,,584.763,297.319,1150.11,0,,,,,,,,,,,,,,,0,,,,,,"Linear,1(1)",2.012150526,2.012150526,2.012150526,2.012150526,0,2.012150526,584.763,584.763,297.319,297.319,1150.11,1150.11,UP,1,0,0
R-DRE-1430728,Metabolism,610,1029,56,50,34,32,32,23,56,14,14,49,1015,3814,0.66017,0.45759,0.75794,1.36,80939;560837;503713;449790;431762;431724;415202;406409;394009;393528;335656;323695;323424;114426,papss2b;sin3b;ppm1k;cyp2k16;mgst1.2;impdh1a;psmd4a;cyb5a;srm;lias;gngt1;cav1;sult1st1;odc1,ENSDARG00000056600;ENSDARG00000062472;ENSDARG00000010655;ENSDARG00000102981;ENSDARG00000022165;ENSDARG00000042336;ENSDARG00000101295;ENSDARG00000098589;ENSDARG00000055760;ENSDARG00000022845;ENSDARG00000035798;ENSDARG00000103747;ENSDARG00000028275;ENSDARG00000007377,,277.358456,355.0275,0.640374,244.3166722,162.145958,215.4544304,153.356861,222.4275,0.115912,134.7809871,90.65761119,122.6294463,510.6515686,566.773,3.53786,444.0187372,302.6683364,381.0510755,,,,,10.0114;429.748;596.001;532.327;35.605;527.945;544.262;3.39631;370.518;446.847;0.640374;28.5323;17.648;339.537,9.02617;252.722;299.656;286.028;11.1171;283.637;287.5;0.811292;229.236;259.828;0.115912;7.80706;3.89252;215.619,11.1043;730.777;1185.41;990.713;114.033;982.684;1030.33;14.218;598.874;768.48;3.53786;104.276;80.0128;534.672,12,2,12,80939;560837;449790;431762;431724;415202;406409;394009;393528;323695;323424;114426,ENSDARG00000056600;ENSDARG00000062472;ENSDARG00000102981;ENSDARG00000022165;ENSDARG00000042336;ENSDARG00000101295;ENSDARG00000098589;ENSDARG00000055760;ENSDARG00000022845;ENSDARG00000103747;ENSDARG00000028275;ENSDARG00000007377,273.8647508,355.0275,233.1066538,153.9353452,222.4275,131.8630992,496.681175,566.773,409.8978797,10.0114;429.748;532.327;35.605;527.945;544.262;3.39631;370.518;446.847;28.5323;17.648;339.537,9.02617;252.722;286.028;11.1171;283.637;287.5;0.811292;229.236;259.828;7.80706;3.89252;215.619,11.1043;730.777;990.713;114.033;982.684;1030.33;14.218;598.874;768.48;104.276;80.0128;534.672,2,503713;335656,ENSDARG00000010655;ENSDARG00000035798,298.320687,298.320687,420.9835359,149.885956,149.885956,211.8068275,594.47393,594.47393,835.7098047,596.001;0.640374,299.656;0.115912,1185.41;3.53786,0,,,,,,"Exp 5,2(0.15);Hill,4(0.29);Linear,8(0.58)",1.856861818,26.57928312,1.516110182,3.232631445,0.460323626,1.745398879,149.3775566,405.3393554,82.75426235,223.9594597,278.0603303,743.2428069,UP,0.857142857,0.142857143,0
R-DRE-156580,Phase II - Conjugation of compounds,29,48,6,5,5,3,3,3,6,3,3,60,45,4784,0.99682,0.023336,0.023336,6.25,80939;431762;323424,papss2b;mgst1.2;sult1st1,ENSDARG00000056600;ENSDARG00000022165;ENSDARG00000028275,,21.08813333,17.648,10.0114,13.13902501,20.74098113,12.0845512,8.01193,9.02617,3.89252,3.717546385,7.294287849,3.908129108,68.38336667,80.0128,11.1043,52.44055788,71.56006975,47.5234827,1.5,26.6265,,,10.0114;35.605;17.648,9.02617;11.1171;3.89252,11.1043;114.033;80.0128,3,0,3,80939;431762;323424,ENSDARG00000056600;ENSDARG00000022165;ENSDARG00000028275,21.08813333,17.648,13.13902501,8.01193,9.02617,3.717546385,68.38336667,80.0128,52.44055788,10.0114;35.605;17.648,9.02617;11.1171;3.89252,11.1043;114.033;80.0128,0,,,,,,,,,,,,,,,0,,,,,,"Exp 5,1(0.34);Hill,2(0.67)",2.195219334,6.857650757,1.699784279,3.232631445,0.82762047,1.925235033,6.219926864,35.9563398,3.805130244,12.21872976,9.041289059,127.7254443,UP,1,0,0
R-DRE-211859,Biological oxidations,62,112,8,7,6,4,4,4,8,4,4,59,108,4721,0.98592,0.055291,0.055291,3.57,80939;449790;431762;323424,papss2b;cyp2k16;mgst1.2;sult1st1,ENSDARG00000056600;ENSDARG00000102981;ENSDARG00000022165;ENSDARG00000028275,,148.89785,26.6265,10.0114,255.8444528,65.60518733,167.4432175,77.5159475,10.071635,3.89252,139.041171,31.73820593,91.10527433,298.965775,97.0229,11.1043,463.1482803,152.1663902,303.2397747,,,,,10.0114;532.327;35.605;17.648,9.02617;286.028;11.1171;3.89252,11.1043;990.713;114.033;80.0128,4,0,4,80939;449790;431762;323424,ENSDARG00000056600;ENSDARG00000102981;ENSDARG00000022165;ENSDARG00000028275,148.89785,26.6265,255.8444528,77.5159475,10.071635,139.041171,298.965775,97.0229,463.1482803,10.0114;532.327;35.605;17.648,9.02617;286.028;11.1171;3.89252,11.1043;990.713;114.033;80.0128,0,,,,,,,,,,,,,,,0,,,,,,"Exp 5,1(0.25);Hill,2(0.5);Linear,1(0.25)",2.251783253,9.288021803,1.699784279,3.232631445,0.679600067,2.17780304,-101.8297137,399.6254137,-58.74440006,213.7762951,-154.9195397,752.8510897,UP,1,0,0
