GO/Pathway/Gene Set/Gene ID,GO/Pathway/Gene Set/Gene Name,All Genes (Expression Data),All Genes (Platform),Input Genes,Genes with BMD <= Highest Dose,Genes with BMD p-Value >= ,Genes with BMD/BMDL <= ,Genes with BMDU/BMD <= ,Genes with BMDU/BMDL <= ,Genes with BMD <= N-Fold Lowest Positive Dose ,Genes That Passed All Filters,Fisher's A Parameter,Fisher's B Parameter,Fisher's C Parameter,Fisher's D Parameter,Fisher's Exact Left P-Value,Fisher's Exact Right P-Value,Fisher's Exact Two Tail,Percentage,Entrez Gene IDs,Gene Symbols,Probe IDs,Genes with Conflicting Probesets,BMD Mean,BMD Median,BMD Minimum,BMD Standard Deviation,BMD wMean,BMD wSD,BMDL Mean,BMDL Median,BMDL Minimum,BMDL Standard Deviation,BMDL wMean,BMDL wSD,BMDU Mean,BMDU Median,BMDU Minimum,BMDU Standard Deviation,BMDU wMean,BMDU wSD,5th Percentile Index,BMD at 5th Percentile of Total Genes,10th Percentile Index,BMD at 10th Percentile of Total Genes,BMD List,BMDL List,BMDU List,Probes with Adverse Direction Up,Probes with Adverse Direction Down,Genes with Adverse Direction Up,Genes Up List,Genes Up Probes List,Genes Up BMD Mean,Genes Up BMD Median,Genes Up SD,Genes Up BMDL Mean,Genes Up BMDL Median,Genes Up BMDL SD,Genes Up BMDU Mean,Genes Up BMDU Median,Genes Up BMDU SD,BMD list (up),BMDL List (up),BMDU List (up),Genes with Adverse Direction Down,Genes Down List,Genes Down Probes List,Genes Down BMD Mean,Genes Down BMD Median,Genes Down SD,Genes Down BMDL Mean,Genes Down BMDL Median,Genes Down BMDL SD,Genes Down BMDU Mean,Genes Down BMDU Median,Genes Down BMDU SD,BMD list (down),BMDL List (down),BMDU List (down),Genes with Adverse Conflict Count,Genes Conflict List,Genes Conflict Probes List,BMD list (Conflict),BMDL list (Conflict),BMDU list (Conflict),Model Counts,Mean Fold Change,Total Fold Change,Min Fold Change,Max Fold Change,Standard Deviation Fold Change,Median Fold Change,Lower bound of the 95% confidence interval -  BMD,Upper bound of the 95% confidence interval -  BMD,Lower bound of the 95% confidence interval -  BMDL,Upper bound of the 95% confidence interval -  BMDL,Lower bound of the 95% confidence interval -  BMDU,Upper bound of the 95% confidence interval -  BMDU,Overall Direction,Percent Genes With Overall Direction Up,Percent Genes With Overall Direction Down,Percent Genes With Overall Direction Conflict
R-DRE-109582,Hemostasis,136,307,3,2,2,2,2,1,3,0,0,41,307,4544,0.069353,1,0.11014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
R-DRE-168249,Innate Immune System,239,502,11,10,6,6,6,4,11,2,2,39,500,4351,0.19256,0.93363,0.43258,0.4,393922;322811,psmd13;atp6v0d1,ENSDARG00000016239;ENSDARG00000069090,,0.20241635,0.20241635,0.0100417,0.272058839,0.276439367,0.251111923,0.123551945,0.123551945,0.00760789,0.163969655,0.168165561,0.151344965,0.332019,0.332019,0.013254,0.450801786,0.454675218,0.416092724,,,,,0.394791;0.0100417,0.239496;0.00760789,0.650784;0.013254,1,1,1,393922,ENSDARG00000016239,0.394791,0.394791,,0.239496,0.239496,,0.650784,0.650784,,0.394791,0.239496,0.650784,1,322811,ENSDARG00000069090,0.0100417,0.0100417,,0.00760789,0.00760789,,0.013254,0.013254,,0.0100417,0.00760789,0.013254,0,,,,,,"Exp 5,1(0.5);Linear,1(0.5)",1.518922192,3.037994504,1.503896713,1.534097791,0.021355387,1.518997252,-0.174637964,0.579470664,-0.103698403,0.350802293,-0.2927604,0.9567984,CONFLICT,0.5,0.5,0
R-DRE-168256,Immune System,360,839,23,19,12,15,15,10,23,4,4,37,835,4016,0.14412,0.93861,0.29613,0.48,795038;406757;393922;322811,ubac1;canx;psmd13;atp6v0d1,ENSDARG00000059722;ENSDARG00000037488;ENSDARG00000016239;ENSDARG00000069090,,0.306646425,0.3781645,0.0100417,0.201940768,0.349926552,0.133127505,0.183886223,0.2326665,0.00760789,0.11849452,0.213488887,0.078439887,0.512337,0.614782,0.013254,0.346032564,0.574319819,0.228621723,,,,,0.460215;0.361538;0.394791;0.0100417,0.262604;0.225837;0.239496;0.00760789,0.80653;0.57878;0.650784;0.013254,2,2,2,406757;393922,ENSDARG00000037488;ENSDARG00000016239,0.3781645,0.3781645,0.023513422,0.2326665,0.2326665,0.009658372,0.614782,0.614782,0.050914517,0.361538;0.394791,0.225837;0.239496,0.57878;0.650784,2,795038;322811,ENSDARG00000059722;ENSDARG00000069090,0.23512835,0.23512835,0.318320593,0.135105945,0.135105945,0.180309479,0.409892,0.409892,0.560930839,0.460215;0.0100417,0.262604;0.00760789,0.80653;0.013254,0,,,,,,"Exp 5,1(0.25);Linear,3(0.75)",1.55213075,6.211020589,1.503896713,1.624200225,0.051169919,1.541461825,0.108744472,0.504548378,0.067761593,0.300010852,0.173225087,0.851448913,CONFLICT,0.5,0.5,0
R-DRE-6798695,Neutrophil degranulation,141,300,4,3,2,2,2,1,4,1,1,40,299,4552,0.2734,0.92615,0.51495,0.33,393922,psmd13,ENSDARG00000016239,,0.394791,0.394791,0.394791,,0.394791,,0.239496,0.239496,0.239496,,0.239496,,0.650784,0.650784,0.650784,,0.650784,,,,,,0.394791,0.239496,0.650784,1,0,1,393922,ENSDARG00000016239,0.394791,0.394791,,0.239496,0.239496,,0.650784,0.650784,,0.394791,0.239496,0.650784,0,,,,,,,,,,,,,,,0,,,,,,"Linear,1(1)",1.503896713,1.503896713,1.503896713,1.503896713,0,1.503896713,0.394791,0.394791,0.239496,0.239496,0.650784,0.650784,UP,1,0,0
R-DRE-76002,"Platelet activation, signaling and aggregation",65,141,2,2,2,1,1,0,2,0,0,41,141,4710,0.29996,1,0.63191,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
R-DRE-1430728,Metabolism,492,1029,31,26,19,23,23,15,31,8,8,33,1021,3830,0.4958,0.65581,1,0.78,790916;567547;556229;553734;445488;394060;393922;322605,ipmkb;mthfr;aass;scdb;morc2;hmgcs1;psmd13;chpt1,ENSDARG00000029291;ENSDARG00000053087;ENSDARG00000051816;ENSDARG00000030265;ENSDARG00000028539;ENSDARG00000103025;ENSDARG00000016239;ENSDARG00000014572,,0.400959971,0.415133,0.00102277,0.177818087,0.416833362,0.123214835,0.227452135,0.247338,2.81E-04,0.094377541,0.241078796,0.062322933,0.710936195,0.696906,0.00372156,0.348590001,0.724299959,0.256351827,,,,,0.485329;0.396601;0.432298;0.00102277;0.483159;0.397968;0.394791;0.616511,0.270508;0.240033;0.253998;2.8108E-4;0.270878;0.240678;0.239496;0.303745,0.870749;0.655295;0.735762;0.00372156;0.861798;0.65805;0.650784;1.25133,4,4,4,567547;394060;393922;322605,ENSDARG00000053087;ENSDARG00000103025;ENSDARG00000016239;ENSDARG00000014572,0.45146775,0.3972845,0.110036527,0.255988,0.2403555,0.031841667,0.80386475,0.6566725,0.298325202,0.396601;0.397968;0.394791;0.616511,0.240033;0.240678;0.239496;0.303745,0.655295;0.65805;0.650784;1.25133,4,790916;556229;553734;445488,ENSDARG00000029291;ENSDARG00000051816;ENSDARG00000030265;ENSDARG00000028539,0.350452193,0.4577285,0.234238132,0.19891627,0.262253,0.132657205,0.61800764,0.79878,0.414135812,0.485329;0.432298;0.00102277;0.483159,0.270508;0.253998;2.8108E-4;0.270878,0.870749;0.735762;0.00372156;0.861798,0,,,,,,"Hill,1(0.13);Linear,7(0.88)",2.171046702,18.01251996,1.503896713,3.928982019,0.724180431,2.058210611,0.277738323,0.524181619,0.162051836,0.292852434,0.469375649,0.952496741,CONFLICT,0.5,0.5,0
R-DRE-156580,Phase II - Conjugation of compounds,24,48,1,0,0,0,0,0,1,0,0,41,48,4803,0.66635,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
R-DRE-211859,Biological oxidations,53,112,3,2,1,2,2,1,3,0,0,41,112,4739,0.38538,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
R-DRE-15869,Metabolism of nucleotides,24,54,2,2,1,1,1,0,2,0,0,41,54,4797,0.6332,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
R-DRE-74217,Purine salvage,4,9,1,1,1,1,1,0,1,0,0,41,9,4842,0.92699,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
R-DRE-8956321,Nucleotide salvage,5,14,1,1,1,1,1,0,1,0,0,41,14,4837,0.88871,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
R-DRE-1266738,Developmental Biology,119,204,12,8,5,9,9,7,12,2,2,39,202,4649,0.75673,0.51534,0.68846,0.98,664718;140815,krt1-19d;cebpa,ENSDARG00000023082;ENSDARG00000036074,,0.570229,0.570229,0.483818,0.122203608,0.535677656,0.112009513,0.29094,0.29094,0.270818,0.028456805,0.28289424,0.026082969,1.1252405,1.1252405,0.864341,0.368967611,1.020920119,0.338188726,,,,,0.65664;0.483818,0.311062;0.270818,1.38614;0.864341,2,0,2,664718;140815,ENSDARG00000023082;ENSDARG00000036074,0.570229,0.570229,0.122203608,0.29094,0.29094,0.028456805,1.1252405,1.1252405,0.368967611,0.65664;0.483818,0.311062;0.270818,1.38614;0.864341,0,,,,,,,,,,,,,,,0,,,,,,"Linear,2(1)",1.952508837,3.910409212,1.852567911,2.057841301,0.145150206,1.955204606,0.40086344,0.73959456,0.25150088,0.33037912,0.61387748,1.63660352,UP,1,0,0
R-DRE-1500931,Cell-Cell communication,20,39,3,3,3,1,1,1,3,1,1,40,38,4813,0.95822,0.28073,0.28073,2.56,117507,prkci,ENSDARG00000021225,,0.334561,0.334561,0.334561,,0.334561,,0.213639,0.213639,0.213639,,0.213639,,0.523925,0.523925,0.523925,,0.523925,,,,,,0.334561,0.213639,0.523925,0,1,0,,,,,,,,,,,,,,,1,117507,ENSDARG00000021225,0.334561,0.334561,,0.213639,0.213639,,0.523925,0.523925,,0.334561,0.213639,0.523925,0,,,,,,"Linear,1(1)",3.626229286,3.626229286,3.626229286,3.626229286,0,3.626229286,0.334561,0.334561,0.213639,0.213639,0.523925,0.523925,DOWN,0,1,0
R-DRE-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),44,73,6,3,2,4,4,3,6,2,2,39,71,4780,0.97734,0.12426,0.12426,2.74,565942;403079,meltf;igfbp3,ENSDARG00000075159;ENSDARG00000099144,,0.4757765,0.4757765,0.448453,0.038641264,0.463754469,0.034699983,0.267429,0.267429,0.25872,0.012316386,0.263597138,0.011060155,0.8469665,0.8469665,0.777328,0.098483711,0.816326347,0.088438698,,,,,0.5031;0.448453,0.276138;0.25872,0.916605;0.777328,2,0,2,565942;403079,ENSDARG00000075159;ENSDARG00000099144,0.4757765,0.4757765,0.038641264,0.267429,0.267429,0.012316386,0.8469665,0.8469665,0.098483711,0.5031;0.448453,0.276138;0.25872,0.916605;0.777328,0,,,,,,,,,,,,,,,0,,,,,,"Linear,2(1)",2.505117708,5.072388411,2.140383244,2.932005167,0.55976123,2.536194205,0.42222244,0.52933056,0.25035936,0.28449864,0.71047504,0.98345796,UP,1,0,0
