Identifier,EE2-100ng/L-C
ENSDARG00000099104,204
ENSDARG00000102407,2
ENSDARG00000102097,0
ENSDARG00000099319,0
ENSDARG00000099640,2
ENSDARG00000104071,1
ENSDARG00000102746,1
ENSDARG00000103929,1
ENSDARG00000101073,0
ENSDARG00000100223,7
ENSDARG00000096573,0
ENSDARG00000100782,2
ENSDARG00000034862,7
ENSDARG00000075827,5
ENSDARG00000088581,5
ENSDARG00000076900,0
ENSDARG00000013802,2
ENSDARG00000096578,0
ENSDARG00000109848,0
ENSDARG00000100181,0
ENSDARG00000029936,3
ENSDARG00000041589,1
ENSDARG00000041592,3
ENSDARG00000075108,0
ENSDARG00000016304,1
ENSDARG00000058803,2
ENSDARG00000063385,3
ENSDARG00000007804,1
ENSDARG00000068261,2
ENSDARG00000063371,0
ENSDARG00000078751,2
ENSDARG00000078878,0
ENSDARG00000016343,3
ENSDARG00000023678,3
ENSDARG00000011299,1
ENSDARG00000041575,1
ENSDARG00000058962,0
ENSDARG00000089799,0
ENSDARG00000075325,10
ENSDARG00000041570,6
ENSDARG00000113329,0
ENSDARG00000081781,0
ENSDARG00000058996,1
ENSDARG00000014313,63
ENSDARG00000104279,43
ENSDARG00000103783,6
ENSDARG00000103519,0
ENSDARG00000100307,0
ENSDARG00000101089,0
ENSDARG00000115421,0
ENSDARG00000115673,0
ENSDARG00000116514,0
ENSDARG00000103469,0
ENSDARG00000117321,0
ENSDARG00000087646,0
ENSDARG00000080051,0
ENSDARG00000067781,3
ENSDARG00000099108,0
ENSDARG00000001870,36
ENSDARG00000002791,48
ENSDARG00000007739,8
ENSDARG00000039131,4
ENSDARG00000040252,1
ENSDARG00000089477,1
ENSDARG00000093102,0
ENSDARG00000095102,0
ENSDARG00000040250,0
ENSDARG00000075505,0
ENSDARG00000010376,0
ENSDARG00000033684,0
ENSDARG00000040247,0
ENSDARG00000078743,0
ENSDARG00000018460,20
ENSDARG00000040246,0
ENSDARG00000040245,10
ENSDARG00000082290,0
ENSDARG00000074381,0
ENSDARG00000095179,0
ENSDARG00000084484,0
ENSDARG00000070579,0
ENSDARG00000038248,1
ENSDARG00000070581,2
ENSDARG00000096559,0
ENSDARG00000103156,0
ENSDARG00000103647,0
ENSDARG00000104805,0
ENSDARG00000100273,0
ENSDARG00000104910,0
ENSDARG00000099103,0
ENSDARG00000098078,0
ENSDARG00000104155,0
ENSDARG00000117575,0
ENSDARG00000088916,0
ENSDARG00000098769,6
ENSDARG00000104115,0
ENSDARG00000102013,0
ENSDARG00000117775,0
ENSDARG00000082581,0
ENSDARG00000078308,8
ENSDARG00000033928,10
ENSDARG00000031164,22
ENSDARG00000037777,1
ENSDARG00000016706,3
ENSDARG00000030350,0
ENSDARG00000006526,42
ENSDARG00000077688,1
ENSDARG00000096546,2
ENSDARG00000092671,1
ENSDARG00000113935,0
ENSDARG00000063297,0
ENSDARG00000027078,9
ENSDARG00000017537,0
ENSDARG00000063270,2
ENSDARG00000018008,0
ENSDARG00000074031,1
ENSDARG00000043247,3
ENSDARG00000113848,0
ENSDARG00000063253,0
ENSDARG00000073857,0
ENSDARG00000107682,0
ENSDARG00000070558,0
ENSDARG00000025754,3
ENSDARG00000096530,0
ENSDARG00000116636,0
ENSDARG00000063207,0
ENSDARG00000095087,0
ENSDARG00000096610,0
ENSDARG00000117465,0
ENSDARG00000102217,0
ENSDARG00000090408,1
ENSDARG00000013741,3
ENSDARG00000017441,1308
ENSDARG00000037713,2
ENSDARG00000021688,0
ENSDARG00000004953,0
ENSDARG00000074050,1
ENSDARG00000018319,1
ENSDARG00000098730,1
ENSDARG00000096630,0
ENSDARG00000117359,0
ENSDARG00000106375,0
ENSDARG00000079779,1
ENSDARG00000089090,0
ENSDARG00000109652,0
ENSDARG00000115102,0
ENSDARG00000115288,0
ENSDARG00000093857,0
ENSDARG00000095309,0
ENSDARG00000095673,0
ENSDARG00000099359,0
ENSDARG00000092361,1
ENSDARG00000103767,0
ENSDARG00000075791,0
ENSDARG00000107486,0
ENSDARG00000029720,1
ENSDARG00000100166,2
ENSDARG00000074212,0
ENSDARG00000062929,1
ENSDARG00000022668,0
ENSDARG00000099708,0
ENSDARG00000025034,6
ENSDARG00000078474,0
ENSDARG00000096583,0
ENSDARG00000063003,1
ENSDARG00000002377,1
ENSDARG00000015803,0
ENSDARG00000037739,2
ENSDARG00000076176,2
ENSDARG00000096526,0
ENSDARG00000113858,0
ENSDARG00000096599,0
ENSDARG00000100771,0
ENSDARG00000079873,2
ENSDARG00000079332,0
ENSDARG00000007443,2
ENSDARG00000037746,188
ENSDARG00000037747,3
ENSDARG00000079361,2
ENSDARG00000012458,10
ENSDARG00000070543,3
ENSDARG00000094298,0
ENSDARG00000089873,0
ENSDARG00000093438,1
ENSDARG00000094206,0
ENSDARG00000037758,0
ENSDARG00000008723,0
ENSDARG00000110570,0
ENSDARG00000058460,0
ENSDARG00000088975,0
ENSDARG00000100949,0
ENSDARG00000093053,0
ENSDARG00000058463,17
ENSDARG00000076716,0
ENSDARG00000058464,1
ENSDARG00000058471,2
ENSDARG00000096584,0
ENSDARG00000058475,0
ENSDARG00000080404,0
ENSDARG00000058480,1
ENSDARG00000024740,3
ENSDARG00000101597,5
ENSDARG00000058445,1
ENSDARG00000063169,0
ENSDARG00000092791,0
ENSDARG00000037760,4
ENSDARG00000117314,0
ENSDARG00000017834,1
ENSDARG00000074282,3
ENSDARG00000074372,0
ENSDARG00000104203,0
ENSDARG00000101495,1
ENSDARG00000091916,6
ENSDARG00000099276,3
ENSDARG00000104995,1
ENSDARG00000033852,1
ENSDARG00000037654,3
ENSDARG00000037652,1
ENSDARG00000037646,0
ENSDARG00000032795,0
ENSDARG00000018263,8
ENSDARG00000077542,0
ENSDARG00000070490,1
ENSDARG00000015678,0
ENSDARG00000079043,0
ENSDARG00000076174,1
ENSDARG00000037647,3
ENSDARG00000008969,37
ENSDARG00000020741,31
ENSDARG00000104660,1
ENSDARG00000096594,1
ENSDARG00000077652,9
ENSDARG00000079452,0
ENSDARG00000089943,0
ENSDARG00000096536,0
ENSDARG00000077533,38
ENSDARG00000030563,1
ENSDARG00000026387,1
ENSDARG00000070495,0
ENSDARG00000084766,0
ENSDARG00000034785,0
ENSDARG00000070512,2
ENSDARG00000070504,0
ENSDARG00000062057,0
ENSDARG00000067992,0
ENSDARG00000103508,0
ENSDARG00000070502,0
ENSDARG00000037679,3
ENSDARG00000076833,24
ENSDARG00000012297,0
ENSDARG00000087107,0
ENSDARG00000099342,0
ENSDARG00000008487,3
ENSDARG00000084839,0
ENSDARG00000100507,0
ENSDARG00000070239,2
ENSDARG00000074379,1
ENSDARG00000062854,0
ENSDARG00000112849,0
ENSDARG00000113410,0
ENSDARG00000092242,0
ENSDARG00000092200,0
ENSDARG00000093636,0
ENSDARG00000095482,0
ENSDARG00000094981,0
ENSDARG00000037619,0
ENSDARG00000062585,1
ENSDARG00000074213,0
ENSDARG00000062606,1
ENSDARG00000077198,0
ENSDARG00000007678,14
ENSDARG00000089930,1
ENSDARG00000078057,4
ENSDARG00000070448,7
ENSDARG00000070449,0
ENSDARG00000042988,12
ENSDARG00000096506,0
ENSDARG00000070452,6
ENSDARG00000070454,1
ENSDARG00000096515,0
ENSDARG00000038114,0
ENSDARG00000008637,25
ENSDARG00000091609,6
ENSDARG00000002634,0
ENSDARG00000062467,0
ENSDARG00000032808,0
ENSDARG00000078318,1
ENSDARG00000018997,17
ENSDARG00000099771,8
ENSDARG00000045620,4
ENSDARG00000045618,23
ENSDARG00000057248,0
ENSDARG00000017985,5
ENSDARG00000113585,0
ENSDARG00000106508,0
ENSDARG00000117227,0
ENSDARG00000104707,0
ENSDARG00000102049,0
ENSDARG00000116228,0
ENSDARG00000099729,3
ENSDARG00000105122,0
ENSDARG00000098668,0
ENSDARG00000098053,0
ENSDARG00000102604,0
ENSDARG00000102339,0
ENSDARG00000089805,1
ENSDARG00000117726,0
ENSDARG00000117541,1
ENSDARG00000112668,0
ENSDARG00000110084,0
ENSDARG00000078525,0
ENSDARG00000079626,5
ENSDARG00000057114,3
ENSDARG00000009026,4
ENSDARG00000085400,0
ENSDARG00000014273,7
ENSDARG00000104795,0
ENSDARG00000056806,0
ENSDARG00000056797,2
ENSDARG00000062341,0
ENSDARG00000107022,0
ENSDARG00000056742,0
ENSDARG00000037576,0
ENSDARG00000070431,1
ENSDARG00000022690,2
ENSDARG00000056677,1
ENSDARG00000012903,5
ENSDARG00000003398,5
ENSDARG00000074867,0
ENSDARG00000109597,0
ENSDARG00000111274,0
ENSDARG00000110922,0
ENSDARG00000116310,0
ENSDARG00000109592,0
ENSDARG00000117482,0
ENSDARG00000103921,0
ENSDARG00000114198,0
ENSDARG00000106947,0
ENSDARG00000039063,0
ENSDARG00000113383,0
ENSDARG00000109748,0
ENSDARG00000116279,0
ENSDARG00000109910,0
ENSDARG00000116174,0
ENSDARG00000116266,0
ENSDARG00000111171,0
ENSDARG00000111710,0
ENSDARG00000111723,0
ENSDARG00000115042,0
ENSDARG00000114262,0
ENSDARG00000078898,10
ENSDARG00000007534,0
ENSDARG00000077804,2
ENSDARG00000013881,2
ENSDARG00000079317,0
ENSDARG00000117428,0
ENSDARG00000106258,0
ENSDARG00000078854,5
ENSDARG00000108223,0
ENSDARG00000007356,0
ENSDARG00000078599,1
ENSDARG00000115704,0
ENSDARG00000109375,0
ENSDARG00000017119,6
ENSDARG00000070412,0
ENSDARG00000034105,2
ENSDARG00000062198,4
ENSDARG00000034817,2
ENSDARG00000056504,4
ENSDARG00000108673,0
ENSDARG00000110937,0
ENSDARG00000117129,0
ENSDARG00000116147,0
ENSDARG00000116406,0
ENSDARG00000111254,0
ENSDARG00000113731,0
ENSDARG00000115569,0
ENSDARG00000113149,0
ENSDARG00000116958,0
ENSDARG00000092109,0
ENSDARG00000017591,22
ENSDARG00000092708,0
ENSDARG00000017905,2
ENSDARG00000030514,4
ENSDARG00000056400,1
ENSDARG00000042937,0
ENSDARG00000092600,0
ENSDARG00000027355,68
ENSDARG00000092022,0
ENSDARG00000056381,2
ENSDARG00000056376,0
ENSDARG00000056369,5
ENSDARG00000011023,0
ENSDARG00000003046,0
ENSDARG00000095697,0
ENSDARG00000016065,0
ENSDARG00000062132,12
ENSDARG00000117687,1
ENSDARG00000117295,0
ENSDARG00000094943,0
ENSDARG00000115616,0
ENSDARG00000037545,0
ENSDARG00000062122,0
ENSDARG00000095111,0
ENSDARG00000008287,2
ENSDARG00000015495,9
ENSDARG00000062081,1
ENSDARG00000018178,2
ENSDARG00000093886,0
ENSDARG00000056163,0
ENSDARG00000079488,0
ENSDARG00000062055,3
ENSDARG00000074275,4
ENSDARG00000075330,1
ENSDARG00000006392,1
ENSDARG00000073902,1
ENSDARG00000019945,0
ENSDARG00000086957,0
ENSDARG00000056151,42
ENSDARG00000061985,3
ENSDARG00000061981,0
ENSDARG00000003631,1
ENSDARG00000056133,0
ENSDARG00000070321,0
ENSDARG00000017744,6
ENSDARG00000070320,0
ENSDARG00000061952,1
ENSDARG00000061936,0
ENSDARG00000006434,3
ENSDARG00000037484,1
ENSDARG00000094729,0
ENSDARG00000095388,2
ENSDARG00000085360,0
ENSDARG00000037487,0
ENSDARG00000008068,2
ENSDARG00000077648,0
ENSDARG00000096580,0
ENSDARG00000079250,0
ENSDARG00000019986,16
ENSDARG00000080019,2
ENSDARG00000099995,1
ENSDARG00000070278,0
ENSDARG00000061830,3
ENSDARG00000041776,0
ENSDARG00000095632,0
ENSDARG00000037455,5
ENSDARG00000093816,0
ENSDARG00000070266,19
ENSDARG00000037429,0
ENSDARG00000055874,25
ENSDARG00000055876,6
ENSDARG00000092321,0
ENSDARG00000061786,0
ENSDARG00000094202,5
ENSDARG00000109806,0
ENSDARG00000112850,0
ENSDARG00000110242,0
ENSDARG00000115895,0
ENSDARG00000061459,2
ENSDARG00000037411,0
ENSDARG00000084908,0
ENSDARG00000037410,4
ENSDARG00000037409,0
ENSDARG00000070173,1
ENSDARG00000052782,2
ENSDARG00000037406,1
ENSDARG00000034773,4
ENSDARG00000033273,1
ENSDARG00000055439,0
ENSDARG00000055443,2
ENSDARG00000112783,0
ENSDARG00000095593,0
ENSDARG00000037383,0
ENSDARG00000030759,1
ENSDARG00000079074,0
ENSDARG00000061504,2
ENSDARG00000000606,0
ENSDARG00000107258,0
ENSDARG00000087224,1
ENSDARG00000052764,0
ENSDARG00000092275,0
ENSDARG00000055559,0
ENSDARG00000114954,0
ENSDARG00000115778,0
ENSDARG00000026871,3
ENSDARG00000016470,8
ENSDARG00000103166,0
ENSDARG00000091660,0
ENSDARG00000038056,8
ENSDARG00000002406,0
ENSDARG00000034007,1
ENSDARG00000061143,5
ENSDARG00000034896,4
ENSDARG00000116099,0
ENSDARG00000037378,0
ENSDARG00000012672,1
ENSDARG00000093064,3
ENSDARG00000061121,3
ENSDARG00000094677,0
ENSDARG00000054799,0
ENSDARG00000116939,0
ENSDARG00000037350,239
ENSDARG00000022845,3
ENSDARG00000019838,5
ENSDARG00000005799,2
ENSDARG00000013505,3
ENSDARG00000055022,10
ENSDARG00000061451,3
ENSDARG00000070121,0
ENSDARG00000054680,0
ENSDARG00000092290,0
ENSDARG00000055099,4
ENSDARG00000070109,3
ENSDARG00000070098,9
ENSDARG00000094046,0
ENSDARG00000114096,0
ENSDARG00000004246,7
ENSDARG00000083023,0
ENSDARG00000031108,19
ENSDARG00000015266,10
ENSDARG00000100600,0
ENSDARG00000092542,1
ENSDARG00000035692,217
ENSDARG00000094885,0
ENSDARG00000090822,0
ENSDARG00000088202,0
ENSDARG00000086859,0
ENSDARG00000090118,0
ENSDARG00000061021,2
ENSDARG00000037309,3
ENSDARG00000054334,0
ENSDARG00000116715,0
ENSDARG00000060994,1
ENSDARG00000106456,0
ENSDARG00000074776,1
ENSDARG00000074451,0
ENSDARG00000079434,10
ENSDARG00000031817,0
ENSDARG00000074812,0
ENSDARG00000070055,1
ENSDARG00000070050,3
ENSDARG00000095408,0
ENSDARG00000037286,0
ENSDARG00000037283,5
ENSDARG00000037281,17
ENSDARG00000037278,0
ENSDARG00000070039,0
ENSDARG00000091184,0
ENSDARG00000094763,1
ENSDARG00000037276,0
ENSDARG00000013787,1
ENSDARG00000086790,1
ENSDARG00000006427,177
ENSDARG00000104824,0
ENSDARG00000076499,0
ENSDARG00000037266,2
ENSDARG00000077157,2
ENSDARG00000037256,1
ENSDARG00000116236,0
ENSDARG00000069998,2
ENSDARG00000053995,4
ENSDARG00000021702,10
ENSDARG00000054031,16
ENSDARG00000037259,16
ENSDARG00000037260,2
ENSDARG00000037261,7
ENSDARG00000037262,0
ENSDARG00000104309,0
ENSDARG00000077817,3
ENSDARG00000107180,0
ENSDARG00000076928,11
ENSDARG00000009685,4
ENSDARG00000079377,0
ENSDARG00000091678,0
ENSDARG00000014790,13
ENSDARG00000019581,11
ENSDARG00000096665,0
ENSDARG00000079925,0
ENSDARG00000053731,0
ENSDARG00000094127,0
ENSDARG00000005210,0
ENSDARG00000023330,15
ENSDARG00000096667,1
ENSDARG00000037245,0
ENSDARG00000096554,1
ENSDARG00000079266,0
ENSDARG00000023600,10
ENSDARG00000033345,0
ENSDARG00000069989,3
ENSDARG00000095189,1
ENSDARG00000104096,0
ENSDARG00000102639,0
ENSDARG00000006621,5
ENSDARG00000069996,1
ENSDARG00000100083,8
ENSDARG00000031632,1
ENSDARG00000101474,3
ENSDARG00000104710,3
ENSDARG00000095954,0
ENSDARG00000095895,0
ENSDARG00000089138,5
ENSDARG00000112052,0
ENSDARG00000089334,0
ENSDARG00000053456,0
ENSDARG00000053466,7
ENSDARG00000053463,0
ENSDARG00000037109,7
ENSDARG00000096538,0
ENSDARG00000005739,6
ENSDARG00000053496,4
ENSDARG00000053500,6
ENSDARG00000053502,1
ENSDARG00000035080,0
ENSDARG00000037100,0
ENSDARG00000096627,0
ENSDARG00000096648,0
ENSDARG00000075193,0
ENSDARG00000069804,0
ENSDARG00000078546,2
ENSDARG00000037099,1
ENSDARG00000060620,1
ENSDARG00000075858,0
ENSDARG00000096592,0
ENSDARG00000096643,0
ENSDARG00000093663,0
ENSDARG00000096555,0
ENSDARG00000096544,0
ENSDARG00000069799,0
ENSDARG00000074117,0
ENSDARG00000092653,0
ENSDARG00000061732,3
ENSDARG00000095590,0
ENSDARG00000031202,1
ENSDARG00000037144,2
ENSDARG00000037177,13
ENSDARG00000003866,10
ENSDARG00000037178,0
ENSDARG00000028982,4
ENSDARG00000055839,0
ENSDARG00000060477,1
ENSDARG00000082429,0
ENSDARG00000113839,0
ENSDARG00000110947,0
ENSDARG00000096572,0
ENSDARG00000091513,3
ENSDARG00000026771,2
ENSDARG00000096632,12
ENSDARG00000099758,4
ENSDARG00000093065,1
ENSDARG00000074302,0
ENSDARG00000003142,0
ENSDARG00000096668,3
ENSDARG00000042688,0
ENSDARG00000060559,1
ENSDARG00000114316,0
ENSDARG00000114817,0
ENSDARG00000096527,3
ENSDARG00000092278,0
ENSDARG00000019715,2
ENSDARG00000017174,0
ENSDARG00000069946,3
ENSDARG00000074575,5
ENSDARG00000069951,2
ENSDARG00000069953,3
ENSDARG00000093358,0
ENSDARG00000094957,0
ENSDARG00000078902,1
ENSDARG00000039616,5
ENSDARG00000095941,0
ENSDARG00000018611,0
ENSDARG00000053269,2
ENSDARG00000039615,0
ENSDARG00000060501,1
ENSDARG00000039613,1
ENSDARG00000029751,0
ENSDARG00000027572,1
ENSDARG00000078733,2
ENSDARG00000058231,4
ENSDARG00000053248,5
ENSDARG00000012896,8
ENSDARG00000100996,0
ENSDARG00000096540,1
ENSDARG00000053241,0
ENSDARG00000069834,1
ENSDARG00000096548,0
ENSDARG00000027826,1
ENSDARG00000107292,0
ENSDARG00000079455,4
ENSDARG00000089053,0
ENSDARG00000078810,0
ENSDARG00000115601,0
ENSDARG00000094318,0
ENSDARG00000060716,1
ENSDARG00000074815,2
ENSDARG00000033380,0
ENSDARG00000051975,11
ENSDARG00000079280,6
ENSDARG00000053586,8
ENSDARG00000002190,6
ENSDARG00000053580,0
ENSDARG00000003701,0
ENSDARG00000079350,8
ENSDARG00000012763,1
ENSDARG00000013023,2
ENSDARG00000106311,0
ENSDARG00000115905,0
ENSDARG00000022971,2
ENSDARG00000081597,0
ENSDARG00000032056,6
ENSDARG00000074860,4
ENSDARG00000053542,2
ENSDARG00000094556,0
ENSDARG00000053535,0
ENSDARG00000111052,0
ENSDARG00000015312,1
ENSDARG00000015506,3
ENSDARG00000013006,2
ENSDARG00000108956,0
ENSDARG00000058287,6
ENSDARG00000069910,6
ENSDARG00000109513,0
ENSDARG00000092693,221
ENSDARG00000084532,0
ENSDARG00000085301,0
ENSDARG00000081849,0
ENSDARG00000082811,0
ENSDARG00000095892,0
ENSDARG00000095934,0
ENSDARG00000079191,0
ENSDARG00000105033,0
ENSDARG00000102858,0
ENSDARG00000093282,0
ENSDARG00000101520,0
ENSDARG00000075798,1
ENSDARG00000037018,4
ENSDARG00000074677,1
ENSDARG00000094485,0
ENSDARG00000060397,8
ENSDARG00000094648,0
ENSDARG00000027199,2
ENSDARG00000115856,0
ENSDARG00000060383,4
ENSDARG00000037002,0
ENSDARG00000076171,18
ENSDARG00000112614,0
ENSDARG00000113986,0
ENSDARG00000036995,7
ENSDARG00000069737,5
ENSDARG00000095555,0
ENSDARG00000011876,2
ENSDARG00000078789,1
ENSDARG00000036755,1
ENSDARG00000078326,6
ENSDARG00000102082,0
ENSDARG00000081340,0
ENSDARG00000034093,4
ENSDARG00000102787,9
ENSDARG00000082897,0
ENSDARG00000074501,0
ENSDARG00000090416,0
ENSDARG00000074989,2
ENSDARG00000076343,0
ENSDARG00000077519,0
ENSDARG00000040048,0
ENSDARG00000082660,0
ENSDARG00000057303,9
ENSDARG00000113575,0
ENSDARG00000029722,62
ENSDARG00000008305,1
ENSDARG00000117649,0
ENSDARG00000007477,0
ENSDARG00000053106,0
ENSDARG00000012016,3
ENSDARG00000011066,1
ENSDARG00000004621,49
ENSDARG00000095811,0
ENSDARG00000075098,1
ENSDARG00000053222,3
ENSDARG00000089976,5
ENSDARG00000069640,0
ENSDARG00000104657,0
ENSDARG00000117532,0
ENSDARG00000085733,0
ENSDARG00000005479,20
ENSDARG00000110757,0
ENSDARG00000085080,0
ENSDARG00000093919,0
ENSDARG00000036990,1
ENSDARG00000085746,0
