"plate_id" "embryo_id" "is_VC" "endpoint" "dose" "control_median" "endpoint_value_norm"
"1" "BPAF" "1" 1 "a" "Control" 3.62504994251124 13.5044434190056
"2" "BPAF" "2" 1 "a" "Control" 3.62504994251124 30.0004177800606
"3" "BPAF" "3" 1 "a" "Control" 3.62504994251124 3.64030474819934
"4" "BPAF" "4" 1 "a" "Control" 3.62504994251124 0
"5" "BPAF" "5" 1 "a" "Control" 3.62504994251124 1.91325248150016
"6" "BPAF" "6" 1 "a" "Control" 3.62504994251124 -2.7299924885392
"7" "BPAF" "7" 1 "a" "Control" 3.62504994251124 -2.87058008679906
"8" "BPAF" "8" 1 "a" "Control" 3.62504994251124 -8.40763874652946
"9" "BPAF" "9" 1 "a" "Control" 3.62504994251124 -10.0219094407452
"10" "BPAF" "1" 0 "a" "Dose1" 3.62504994251124 20.903998643686
"11" "BPAF" "2" 0 "a" "Dose1" 3.62504994251124 3.976590403441
"12" "BPAF" "3" 0 "a" "Dose1" 3.62504994251124 22.0454283046759
"13" "BPAF" "4" 0 "a" "Dose1" 3.62504994251124 8.4864196353585
"14" "BPAF" "5" 0 "a" "Dose1" 3.62504994251124 -2.60243021485542
"15" "BPAF" "6" 0 "a" "Dose1" 3.62504994251124 2.76797535580111
"16" "BPAF" "7" 0 "a" "Dose1" 3.62504994251124 3.21445945877255
"17" "BPAF" "8" 0 "a" "Dose1" 3.62504994251124 7.21575977694031
"18" "BPAF" "9" 0 "a" "Dose1" 3.62504994251124 -7.97366395583943
"19" "BPAF" "1" 0 "a" "Dose2" 3.62504994251124 8.4300592973598
"20" "BPAF" "2" 0 "a" "Dose2" 3.62504994251124 -7.374025895952
"21" "BPAF" "3" 0 "a" "Dose2" 3.62504994251124 1.93000063844191
"22" "BPAF" "4" 0 "a" "Dose2" 3.62504994251124 -7.7059988676814
"23" "BPAF" "5" 0 "a" "Dose2" 3.62504994251124 -13.5035247374473
"24" "BPAF" "6" 0 "a" "Dose2" 3.62504994251124 7.60212986715643
"25" "BPAF" "7" 0 "a" "Dose2" 3.62504994251124 6.94587358125554
"26" "BPAF" "8" 0 "a" "Dose2" 3.62504994251124 7.58440611995699
"27" "BPAF" "9" 0 "a" "Dose2" 3.62504994251124 2.27338802507457
"28" "BPAF" "1" 0 "a" "Dose3" 3.62504994251124 24.0551437988304
"29" "BPAF" "2" 0 "a" "Dose3" 3.62504994251124 2.73656339646724
"30" "BPAF" "3" 0 "a" "Dose3" 3.62504994251124 6.83516032435683
"31" "BPAF" "4" 0 "a" "Dose3" 3.62504994251124 25.6708354910952
"32" "BPAF" "5" 0 "a" "Dose3" 3.62504994251124 -13.1815021432665
"33" "BPAF" "6" 0 "a" "Dose3" 3.62504994251124 -5.55999502312057
"34" "BPAF" "7" 0 "a" "Dose3" 3.62504994251124 0.497090860217364
"35" "BPAF" "8" 0 "a" "Dose3" 3.62504994251124 6.39301849532155
"36" "BPAF" "9" 0 "a" "Dose3" 3.62504994251124 -0.863745053226506
"37" "BPAF" "1" 0 "a" "Dose4" 3.62504994251124 -1.47571690779928
"38" "BPAF" "2" 0 "a" "Dose4" 3.62504994251124 2.70174206842104
"39" "BPAF" "3" 0 "a" "Dose4" 3.62504994251124 13.5986603119215
"40" "BPAF" "4" 0 "a" "Dose4" 3.62504994251124 13.0729662698782
"41" "BPAF" "5" 0 "a" "Dose4" 3.62504994251124 7.3163731227663
"42" "BPAF" "6" 0 "a" "Dose4" 3.62504994251124 3.5037280787634
"43" "BPAF" "7" 0 "a" "Dose4" 3.62504994251124 5.46912962582762
"44" "BPAF" "8" 0 "a" "Dose4" 3.62504994251124 -2.74534710950487
"45" "BPAF" "9" 0 "a" "Dose4" 3.62504994251124 -6.52151076202419
"46" "BPAF" "1" 0 "a" "Dose5" 3.62504994251124 8.47583116740092
"47" "BPAF" "2" 0 "a" "Dose5" 3.62504994251124 8.15697071963326
"48" "BPAF" "3" 0 "a" "Dose5" 3.62504994251124 -4.8507043498609
"49" "BPAF" "4" 0 "a" "Dose5" 3.62504994251124 9.72548443630914
"50" "BPAF" "5" 0 "a" "Dose5" 3.62504994251124 8.90072496597063
"51" "BPAF" "6" 0 "a" "Dose5" 3.62504994251124 -10.0173700370136
"52" "BPAF" "7" 0 "a" "Dose5" 3.62504994251124 -3.86483215428783
"53" "BPAF" "8" 0 "a" "Dose5" 3.62504994251124 3.1512983890464
"54" "BPAF" "9" 0 "a" "Dose5" 3.62504994251124 26.7203315718096
"55" "BPAF" "1" 1 "b" "Control" 3.58769413157323 8.71945533956597
"56" "BPAF" "2" 1 "b" "Control" 3.58769413157323 21.8652063953202
"57" "BPAF" "3" 1 "b" "Control" 3.58769413157323 -23.8164067776963
"58" "BPAF" "4" 1 "b" "Control" 3.58769413157323 12.3176035076581
"59" "BPAF" "5" 1 "b" "Control" 3.58769413157323 0
"60" "BPAF" "6" 1 "b" "Control" 3.58769413157323 -24.2575366508612
"61" "BPAF" "7" 1 "b" "Control" 3.58769413157323 -39.4708752480064
"62" "BPAF" "8" 1 "b" "Control" 3.58769413157323 4.30590881486523
"63" "BPAF" "9" 1 "b" "Control" 3.58769413157323 -3.94152975417703
"64" "BPAF" "1" 0 "b" "Dose1" 3.58769413157323 40.1036458096351
"65" "BPAF" "2" 0 "b" "Dose1" 3.58769413157323 -7.68141468171084
"66" "BPAF" "3" 0 "b" "Dose1" 3.58769413157323 -12.6218115453856
"67" "BPAF" "4" 0 "b" "Dose1" 3.58769413157323 21.9136796040256
"68" "BPAF" "5" 0 "b" "Dose1" 3.58769413157323 -5.20519557542265
"69" "BPAF" "6" 0 "b" "Dose1" 3.58769413157323 11.9334968400495
"70" "BPAF" "7" 0 "b" "Dose1" 3.58769413157323 -25.6428839897
"71" "BPAF" "8" 0 "b" "Dose1" 3.58769413157323 21.4932524231393
"72" "BPAF" "9" 0 "b" "Dose1" 3.58769413157323 -0.487538976154189
"73" "BPAF" "1" 0 "b" "Dose2" 3.58769413157323 9.86337327458457
"74" "BPAF" "2" 0 "b" "Dose2" 3.58769413157323 14.6545472862229
"75" "BPAF" "3" 0 "b" "Dose2" 3.58769413157323 -31.8519882293216
"76" "BPAF" "4" 0 "b" "Dose2" 3.58769413157323 -1.5455853210522
"77" "BPAF" "5" 0 "b" "Dose2" 3.58769413157323 -29.4099573088314
"78" "BPAF" "6" 0 "b" "Dose2" 3.58769413157323 0.245080251340113
"79" "BPAF" "7" 0 "b" "Dose2" 3.58769413157323 2.3285248349771
"80" "BPAF" "8" 0 "b" "Dose2" 3.58769413157323 25.6624581657313
"81" "BPAF" "9" 0 "b" "Dose2" 3.58769413157323 -2.78234001262825
"82" "BPAF" "1" 0 "b" "Dose3" 3.58769413157323 17.5475454789851
"83" "BPAF" "2" 0 "b" "Dose3" 3.58769413157323 -63.308986077862
"84" "BPAF" "3" 0 "b" "Dose3" 3.58769413157323 28.5780509905701
"85" "BPAF" "4" 0 "b" "Dose3" 3.58769413157323 8.01975639389609
"86" "BPAF" "5" 0 "b" "Dose3" 3.58769413157323 -0.553414320462675
"87" "BPAF" "6" 0 "b" "Dose3" 3.58769413157323 0.117117219312313
"88" "BPAF" "7" 0 "b" "Dose3" 3.58769413157323 -2.12566393781559
"89" "BPAF" "8" 0 "b" "Dose3" 3.58769413157323 -31.8683484779993
"90" "BPAF" "9" 0 "b" "Dose3" 3.58769413157323 -3.98333140043654
"91" "BPAF" "1" 0 "b" "Dose4" 3.58769413157323 9.44328864425539
"92" "BPAF" "2" 0 "b" "Dose4" 3.58769413157323 10.1605846181834
"93" "BPAF" "3" 0 "b" "Dose4" 3.58769413157323 -21.6617029091664
"94" "BPAF" "4" 0 "b" "Dose4" 3.58769413157323 -26.4627755209322
"95" "BPAF" "5" 0 "b" "Dose4" 3.58769413157323 4.88388969654259
"96" "BPAF" "6" 0 "b" "Dose4" 3.58769413157323 -2.9958413754954
