.id,GO.Pathway.Gene.Set.Gene.ID,GO.Pathway.Gene.Set.Gene.Name,All.Genes..Expression.Data.,Genes.That.Passed.All.Filters,Fisher.s.Exact.Two.Tail,Percentage,BMD.Mean,BMD.Median,BMD.List,logBMD,count,rank,rank_count
Analine,R-DRE-211897,Cytochrome P450 - arranged by substrate type,32,3,6.3196e-4,8.11,1.213928,0.451483,0.451483;0.347031;2.84327,-0.34535859783151485,1,1,1
Analine,R-DRE-211859,Biological oxidations,101,4,0.001635,3.57,1.859671,1.6473765,0.451483;0.347031;2.84327;3.7969,0.21679286643513732,2,2,1
Analine,R-DRE-211945,Phase I - Functionalization of compounds,55,4,1.6105e-4,6.56,1.859671,1.6473765,0.451483;0.347031;2.84327;3.7969,0.21679286643513732,3,2,2
Decanol,R-DRE-397014,Muscle contraction,87,4,0.016888,4.35,0.031868875,0.02949375,0.0300479;0.0411451;0.0289396;0.0273429,-1.5302700053129754,1,1,1
Decanol,R-DRE-390522,Striated Muscle Contraction,25,4,1.3025e-4,16,0.031868875,0.02949375,0.0300479;0.0411451;0.0289396;0.0273429,-1.5302700053129754,2,1,2
Decanol,R-DRE-5668541,TNFR2 non-canonical NF-kB pathway,50,3,0.025354,5.08,0.19109490000000004,0.0591637,0.041098;0.0591637;0.473023,-1.2279446737668307,3,3,1
Decanol,R-DRE-5669034,TNFs bind their physiological receptors,8,3,2.4515e-4,25,0.19109490000000004,0.0591637,0.041098;0.0591637;0.473023,-1.2279446737668307,4,3,2
EE2,R-DRE-2187338,Visual phototransduction,46,5,9.1552e-4,10.64,2.711798e-5,2.40662e-5,2.63401E-5;2.38989E-5;2.40662E-5;2.12587E-5;4.0026E-5,-4.618592478454311,1,1,1
EE2,R-DRE-9709957,Sensory Perception,51,5,0.0057311,7.04,2.711798e-5,2.40662e-5,2.63401E-5;2.38989E-5;2.40662E-5;2.12587E-5;4.0026E-5,-4.618592478454311,2,1,2
EE2,R-DRE-2453902,The canonical retinoid cycle in rods (twilight vision),13,5,1.1861e-6,38.46,2.711798e-5,2.40662e-5,2.63401E-5;2.38989E-5;2.40662E-5;2.12587E-5;4.0026E-5,-4.618592478454311,3,1,3
EE2,R-DRE-1650814,Collagen biosynthesis and modifying enzymes,27,3,0.012377,10,1.4665673333333332e-4,3.29443e-5,3.84656E-4;3.29443E-5;2.23699E-5,-4.482219715901149,4,4,1
EE2,R-DRE-156580,Phase II - Conjugation of compounds,45,3,0.042815,6.25,2.1676796666666664e-4,3.65054e-5,5.79959E-4;3.65054E-5;3.38395E-5,-4.437642888509565,5,5,1
EE2,R-DRE-211859,Biological oxidations,100,7,0.0021645,6.25,1.7941332857142857e-4,3.65054e-5,5.79959E-4;3.65054E-5;4.93011E-4;3.38395E-5;2.73119E-5;2.55552E-5;5.97113E-5,-4.437642888509565,6,5,2
EE2,R-DRE-1296071,Potassium Channels,53,4,0.020987,6.15,2.9451919e-5,3.65352e-5,4.37584E-5;9.78876E-7;3.57905E-5;3.72799E-5,-4.437288510909194,7,7,1
EE2,R-DRE-9748784,Drug ADME,55,4,0.023188,5.97,4.0080975e-5,3.665035e-5,3.38395E-5;2.73119E-5;3.94612E-5;5.97113E-5,-4.435921873619228,8,8,1
