.id,GO.Pathway.Gene.Set.Gene.ID,GO.Level,GO.Pathway.Gene.Set.Gene.Name,All.Genes..Expression.Data.,Genes.That.Passed.All.Filters,Fisher.s.Exact.Two.Tail,Percentage,BMD.Mean,BMD.Median,BMD.List,logBMD,rank
Decanol,GO:0004725,6,protein tyrosine phosphatase activity,3,3,0.038891,2.68,0.00983091866666666,0.00174757,0.00174757;0.026805;9.40186E-4,-2.757565419299095,1
Decanol,GO:0008138,6,protein tyrosine/serine/threonine phosphatase activity,3,3,0.0055814,5.56,0.00983091866666666,0.00174757,0.00174757;0.026805;9.40186E-4,-2.757565419299095,1
Decanol,GO:0050730,9,regulation of peptidyl-tyrosine phosphorylation,3,3,0.0035501,6.52,0.00714851666666666,0.00443272,0.00443272;0.00285693;0.0141559,-2.353329700754683,3
Decanol,GO:0008284,6,positive regulation of cell population proliferation,4,4,0.010322,3.15,0.00810375,0.008315415,0.00162827;0.0137739;0.00285693;0.0141559,-2.0801160714339435,4
Decanol,GO:0002684,5,positive regulation of immune system process,4,4,0.034676,2.17,0.0195418625,0.00929431,0.00443272;0.0567219;0.00285693;0.0141559,-2.0317828462703056,5
Decanol,GO:0001756,5,somitogenesis,5,4,0.0026115,4.65,0.0110301225,0.00980398,0.00545206;0.0216556;0.00285693;0.0141559,-2.008597583374519,6
Decanol,GO:0009952,5,anterior/posterior pattern specification,6,4,0.028048,2.33,0.0110301225,0.00980398,0.00545206;0.0216556;0.00285693;0.0141559,-2.008597583374519,6
Decanol,GO:0035282,5,segmentation,5,4,0.0033328,4.35,0.0110301225,0.00980398,0.00545206;0.0216556;0.00285693;0.0141559,-2.008597583374519,6
Decanol,GO:0043408,7,regulation of MAPK cascade,4,4,0.042801,2.03,0.01414928249999999,0.0134676,0.0127793;0.026805;0.00285693;0.0141559,-1.8707097910345076,9
Decanol,GO:0045893,8,"positive regulation of transcription, DNA-templated",11,7,0.035726,1.51,0.01228045042857142,0.0137739,0.0218363;4.92343E-4;0.00239828;0.0137739;0.00285693;0.0141559;0.0304495,-1.8609430743640456,10
Decanol,GO:0045944,9,positive regulation of transcription by RNA polymerase II,11,7,0.0056388,2.19,0.01228045042857142,0.0137739,0.0218363;4.92343E-4;0.00239828;0.0137739;0.00285693;0.0141559;0.0304495,-1.8609430743640456,10
Decanol,GO:1902680,8,positive regulation of RNA biosynthetic process,11,7,0.035726,1.51,0.01228045042857142,0.0137739,0.0218363;4.92343E-4;0.00239828;0.0137739;0.00285693;0.0141559;0.0304495,-1.8609430743640456,10
Decanol,GO:1903508,9,positive regulation of nucleic acid-templated transcription,11,7,0.035726,1.51,0.01228045042857142,0.0137739,0.0218363;4.92343E-4;0.00239828;0.0137739;0.00285693;0.0141559;0.0304495,-1.8609430743640456,10
Decanol,GO:0002040,5,sprouting angiogenesis,4,3,0.027731,3.06,0.01279381,0.0141559,0.0213686;0.00285693;0.0141559,-1.8490625139634282,14
Decanol,GO:0048568,5,embryonic organ development,5,5,0.0050931,3.01,0.01121423,0.0141559,0.00443272;0.00285693;0.0158766;0.0141559;0.018749,-1.8490625139634282,14
Decanol,GO:0045595,5,regulation of cell differentiation,12,7,0.02507,1.63,0.01378901614285714,0.0146322,0.0193266;0.0146322;0.00285693;0.0274636;6.74683E-4;0.0174132;0.0141559,-1.834690371343643,16
Decanol,GO:0048523,5,negative regulation of cellular process,33,18,0.036588,1.1,0.03686751844444444,0.0155585,0.0148896;0.00129272;4.92343E-4;0.388239;0.0342468;0.00239828;0.00443272;0.0193266;0.0146322;0.026805;0.0137739;0.0641048;0.0162274;9.40186E-4;6.74683E-4;0.0174132;0.0249769;0.018749,-1.808032275799074,17
Decanol,GO:0035162,6,embryonic hemopoiesis,3,3,0.011853,4.23,0.01301944,0.0158766,0.00443272;0.0158766;0.018749,-1.7992424968292926,18
Decanol,GO:0045596,6,negative regulation of cell differentiation,5,4,0.0080217,3.39,0.01301167074999999,0.0160227,0.0193266;0.0146322;6.74683E-4;0.0174132,-1.7952642987200678,19
Decanol,GO:0032102,6,negative regulation of response to external stimulus,3,3,0.020364,3.45,0.01313637333333333,0.0162274,0.00443272;0.0162274;0.018749,-1.7897510584921401,20
Decanol,GO:0051093,5,negative regulation of developmental process,8,5,0.0076304,2.73,0.0136548166,0.0162274,0.0193266;0.0146322;0.0162274;6.74683E-4;0.0174132,-1.7897510584921401,20
Decanol,GO:0080134,5,regulation of response to stress,5,5,0.028837,1.95,0.015798684,0.0162274,0.0127793;0.00443272;0.026805;0.0162274;0.018749,-1.7897510584921401,20
Decanol,GO:0010556,6,regulation of macromolecule biosynthetic process,50,25,0.020072,1.06,0.03531108324,0.0164665,0.0218363;0.0554614;0.338932;0.0272275;0.183192;0.0265155;4.92343E-4;0.00162827;0.00485435;0.00239828;0.0146322;0.00158747;0.0137739;0.0181731;0.00285693;0.0164665;0.027072;0.0274636;0.0158766;6.74683E-4;0.0174132;8.94555E-4;0.0141559;0.0304495;0.018749,-1.783398701511398,23
Decanol,GO:0031326,6,regulation of cellular biosynthetic process,50,25,0.021201,1.05,0.03531108324,0.0164665,0.0218363;0.0554614;0.338932;0.0272275;0.183192;0.0265155;4.92343E-4;0.00162827;0.00485435;0.00239828;0.0146322;0.00158747;0.0137739;0.0181731;0.00285693;0.0164665;0.027072;0.0274636;0.0158766;6.74683E-4;0.0174132;8.94555E-4;0.0141559;0.0304495;0.018749,-1.783398701511398,23
Decanol,GO:0051252,6,regulation of RNA metabolic process,50,25,0.014453,1.07,0.03531108324,0.0164665,0.0218363;0.0554614;0.338932;0.0272275;0.183192;0.0265155;4.92343E-4;0.00162827;0.00485435;0.00239828;0.0146322;0.00158747;0.0137739;0.0181731;0.00285693;0.0164665;0.027072;0.0274636;0.0158766;6.74683E-4;0.0174132;8.94555E-4;0.0141559;0.0304495;0.018749,-1.783398701511398,23
Decanol,GO:0006355,7,"regulation of transcription, DNA-templated",47,24,0.010482,1.12,0.03674510525,0.01693985,0.0218363;0.0554614;0.338932;0.0272275;0.183192;0.0265155;4.92343E-4;0.00162827;0.00485435;0.00239828;0.0146322;0.00158747;0.0137739;0.0181731;0.00285693;0.0164665;0.027072;0.0274636;0.0158766;6.74683E-4;0.0174132;0.0141559;0.0304495;0.018749,-1.7710904396051175,26
