Signaling Pathway Analyses
Organism Code: dre
Signaling Pathway File Creation Date: 03/16/22
Pathway DB Name: REACTOME
Deduplicate Gene Sets: false
Data Source: DES_DESeq_normData
Work Source: DES_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0020 BETA
Timestamp (Start Time): 10/24/2022 10:21.05
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 609
Total Run Time: 14 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-109582	Hemostasis	229	307	9	7	4	9	9	8	9	4	4	63	303	4522	0.58749	0.61419	1.0	1.3	64272;561717;321107;192302	atp1b3b;rab27b;rap1b;hdac1	ENSDARG00000042837;ENSDARG00000087762;ENSDARG00000008867;ENSDARG00000015427		65.16665	67.2473	43.4416	18.356269130100117	61.04534044979295	17.46807575123005	30.101300000000002	30.9788	25.4353	3.5306628036862033	29.40139810165875	3.4101525865571385	144.137975	147.5155	74.1949	62.598757726245346	129.57232911769043	59.38100343138847					56.7179;82.7304;43.4416;77.7767	29.3038;33.0123;25.4353;32.6538	109.778;207.326;74.1949;185.253	0	4	0															4	64272;561717;321107;192302	ENSDARG00000042837;ENSDARG00000087762;ENSDARG00000008867;ENSDARG00000015427	65.16665	67.2473	18.356269130100117	30.101300000000002	30.9788	3.5306628036862033	144.137975	147.5155	62.598757726245346	56.7179;82.7304;43.4416;77.7767	29.3038;33.0123;25.4353;32.6538	109.778;207.326;74.1949;185.253	0						Linear,4(1)	2.2666705437310832	10.021402597427368	1.591921329498291	4.605274200439453	1.42114614842926	1.912103533744812	47.177506252501885	83.15579374749812	26.64125045238752	33.56134954761248	82.79119242827952	205.48475757172045	DOWN	0.0	1.0	0.0	
R-DRE-114608	Platelet degranulation 	41	69	2	2	1	2	2	2	2	1	1	66	68	4757	0.75631	0.61644	0.61644	1.45	561717	rab27b	ENSDARG00000087762		82.7304	82.7304	82.7304		82.7304		33.0123	33.0123	33.0123		33.0123		207.326	207.326	207.326		207.326						82.7304	33.0123	207.326	0	1	0															1	561717	ENSDARG00000087762	82.7304	82.7304		33.0123	33.0123		207.326	207.326		82.7304	33.0123	207.326	0						Linear,1(1)	4.605274200439453	4.605274200439453	4.605274200439453	4.605274200439453	0.0	4.605274200439453	82.7304	82.7304	33.0123	33.0123	207.326	207.326	DOWN	0.0	1.0	0.0	
R-DRE-168249	Innate Immune System	355	502	16	15	7	15	15	15	16	6	6	61	496	4329	0.46038	0.69824	1.0	1.2	792854;556823;322811;321947;321107;100331729	stbd1;cylda;atp6v0d1;psmc3;rap1b;tmem176l.4	ENSDARG00000098408;ENSDARG00000060058;ENSDARG00000069090;ENSDARG00000007141;ENSDARG00000008867;ENSDARG00000074390		47.73003333333333	48.557199999999995	43.4416	2.171078049878973	47.84595900266381	1.8138917425545897	26.84438333333333	27.11035	25.4353	0.7089167663885365	26.88952579122275	0.5940579612255846	84.89210000000001	86.97055	74.1949	5.436044324690378	85.15346059407418	4.535269200341896					48.6233;48.5428;49.4651;47.7358;43.4416;48.5716	27.15;27.1078;27.3842;26.8761;25.4353;27.1129	87.0804;86.9272;89.3507;84.7855;74.1949;87.0139	0	6	0															6	792854;556823;322811;321947;321107;100331729	ENSDARG00000098408;ENSDARG00000060058;ENSDARG00000069090;ENSDARG00000007141;ENSDARG00000008867;ENSDARG00000074390	47.73003333333333	48.557199999999995	2.171078049878973	26.84438333333333	27.11035	0.7089167663885365	84.89210000000001	86.97055	5.436044324690378	48.6233;48.5428;49.4651;47.7358;43.4416;48.5716	27.15;27.1078;27.3842;26.8761;25.4353;27.1129	87.0804;86.9272;89.3507;84.7855;74.1949;87.0139	0						Linear,6(1)	2.162275821562653	13.17950987815857	1.6757550239562988	2.568633794784546	0.407571806046531	2.411890983581543	45.992809084772915	49.46725758189375	26.27713177973319	27.411634886933477	80.54235862721625	89.24184137278375	DOWN	0.0	1.0	0.0	
R-DRE-168256	Immune System	571	839	25	23	11	22	22	22	25	8	8	59	831	3994	0.1646	0.90887	0.32694	0.95	792854;563633;556885;556823;322811;321947;321107;100331729	stbd1;smurf2;enc2;cylda;atp6v0d1;psmc3;rap1b;tmem176l.4	ENSDARG00000098408;ENSDARG00000038067;ENSDARG00000102418;ENSDARG00000060058;ENSDARG00000069090;ENSDARG00000007141;ENSDARG00000008867;ENSDARG00000074390		48.7334125	48.557199999999995	41.9532	5.848470859839601	47.88278390315088	4.555925544276396	27.0368875	27.11035	24.8873	1.6158302699386693	26.8297036643728	1.3045584707267686	88.10841250000001	86.97055	70.7217	16.291442178065346	85.6127084070438	12.480500019030204					48.6233;61.5339;41.9532;48.5428;49.4651;47.7358;43.4416;48.5716	27.15;30.3415;24.8873;27.1078;27.3842;26.8761;25.4353;27.1129	87.0804;124.793;70.7217;86.9272;89.3507;84.7855;74.1949;87.0139	0	8	0															8	792854;563633;556885;556823;322811;321947;321107;100331729	ENSDARG00000098408;ENSDARG00000038067;ENSDARG00000102418;ENSDARG00000060058;ENSDARG00000069090;ENSDARG00000007141;ENSDARG00000008867;ENSDARG00000074390	48.7334125	48.557199999999995	5.848470859839601	27.0368875	27.11035	1.6158302699386693	88.10841250000001	86.97055	16.291442178065346	48.6233;61.5339;41.9532;48.5428;49.4651;47.7358;43.4416;48.5716	27.15;30.3415;24.8873;27.1078;27.3842;26.8761;25.4353;27.1129	87.0804;124.793;70.7217;86.9272;89.3507;84.7855;74.1949;87.0139	0						Linear,8(1)	2.3484437398351097	19.313593864440918	1.6757550239562988	3.6621196269989014	0.6182176898664883	2.4337940216064453	44.68062896352679	52.78619603647321	25.917174249702295	28.156600750297702	76.81901904536977	99.39780595463026	DOWN	0.0	1.0	0.0	
R-DRE-6798695	Neutrophil degranulation	199	300	9	9	4	8	8	8	9	3	3	64	297	4528	0.40442	0.78857	0.7975	1.0	792854;321947;321107	stbd1;psmc3;rap1b	ENSDARG00000098408;ENSDARG00000007141;ENSDARG00000008867		46.600233333333335	47.7358	43.4416	2.7712158817625	47.35458702178012	2.268381276971784	26.487133333333333	26.8761	25.4353	0.9211516288502993	26.738129155084767	0.752739323768844	82.02026666666667	84.7855	74.1949	6.873420844334495	83.89005798603327	5.632175309585832					48.6233;47.7358;43.4416	27.15;26.8761;25.4353	87.0804;84.7855;74.1949	0	3	0															3	792854;321947;321107	ENSDARG00000098408;ENSDARG00000007141;ENSDARG00000008867	46.600233333333335	47.7358	2.7712158817625	26.487133333333333	26.8761	0.9211516288502993	82.02026666666667	84.7855	6.873420844334495	48.6233;47.7358;43.4416	27.15;26.8761;25.4353	87.0804;84.7855;74.1949	0						Linear,3(1)	2.149416210734106	6.544051170349121	1.6764631271362305	2.434875965118408	0.4372465343961554	2.4327120780944824	43.46430735210964	49.73615931455703	25.444752137206354	27.52951452946031	74.24225877219556	89.79827456113779	DOWN	0.0	1.0	0.0	
R-DRE-76002	Platelet activation, signaling and aggregation	101	141	6	5	2	6	6	5	6	2	2	65	139	4686	0.6958	0.58061	0.71964	1.42	561717;321107	rab27b;rap1b	ENSDARG00000087762;ENSDARG00000008867		63.086	63.086	43.4416	27.781376904682038	58.394550940127544	26.97750014655258	29.223800000000004	29.223800000000004	25.4353	5.357748081050455	28.31903554991108	5.202717278471948	140.76045	140.76045	74.1949	94.13790359682443	124.86335530800673	91.41394671663944					82.7304;43.4416	33.0123;25.4353	207.326;74.1949	0	2	0															2	561717;321107	ENSDARG00000087762;ENSDARG00000008867	63.086	63.086	27.781376904682038	29.223800000000004	29.223800000000004	5.357748081050455	140.76045	140.76045	94.13790359682443	82.7304;43.4416	33.0123;25.4353	207.326;74.1949	0						Linear,2(1)	2.7785917993452243	6.281737327575684	1.6764631271362305	4.605274200439453	2.070982170746959	3.140868663787842	24.582976000000002	101.589024	21.798340000000003	36.649260000000005	10.291971999999987	271.228928	DOWN	0.0	1.0	0.0	
R-DRE-76005	Response to elevated platelet cytosolic Ca2+	43	71	2	2	1	2	2	2	2	1	1	66	70	4755	0.7461	0.62703	1.0	1.41	561717	rab27b	ENSDARG00000087762		82.7304	82.7304	82.7304		82.7304		33.0123	33.0123	33.0123		33.0123		207.326	207.326	207.326		207.326						82.7304	33.0123	207.326	0	1	0															1	561717	ENSDARG00000087762	82.7304	82.7304		33.0123	33.0123		207.326	207.326		82.7304	33.0123	207.326	0						Linear,1(1)	4.605274200439453	4.605274200439453	4.605274200439453	4.605274200439453	0.0	4.605274200439453	82.7304	82.7304	33.0123	33.0123	207.326	207.326	DOWN	0.0	1.0	0.0	
R-DRE-1430728	Metabolism	763	1029	26	25	12	26	26	25	26	11	11	56	1018	3807	0.22026	0.86246	0.44995	1.07	565797;560826;557518;402799;393441;368213;326954;321947;100148828;100034487;100002007	lrp1ab;csgalnact2;tkta;degs2;hacd3;glo1;tecrb;psmc3;b4galt2;lrp12;oaz2a	ENSDARG00000029146;ENSDARG00000061400;ENSDARG00000029689;ENSDARG00000042544;ENSDARG00000016038;ENSDARG00000068978;ENSDARG00000025904;ENSDARG00000007141;ENSDARG00000077994;ENSDARG00000098845;ENSDARG00000045929		49.80625454545455	49.9699	37.4682	8.751104015421495	49.63346353507302	7.845214790488207	27.185745454545454	27.5388	23.1474	2.3192369621768316	27.196465490104703	2.0554293079558206	91.91944545454545	90.6716	60.6491	25.527423334499094	91.1277925859376	22.959218728583153					51.9545;37.4682;70.9387;40.4874;50.5394;45.2958;49.9699;47.7358;46.1599;51.7404;55.5788	28.1003;23.1474;31.8838;24.3471;27.6513;26.0579;27.5388;26.8761;26.372;28.0313;29.0372	96.0586;60.6491;157.833;67.3274;92.3729;78.7368;90.6716;84.7855;80.7953;95.5027;106.381	0	11	0															11	565797;560826;557518;402799;393441;368213;326954;321947;100148828;100034487;100002007	ENSDARG00000029146;ENSDARG00000061400;ENSDARG00000029689;ENSDARG00000042544;ENSDARG00000016038;ENSDARG00000068978;ENSDARG00000025904;ENSDARG00000007141;ENSDARG00000077994;ENSDARG00000098845;ENSDARG00000045929	49.80625454545455	49.9699	8.751104015421495	27.185745454545454	27.5388	2.3192369621768316	91.91944545454545	90.6716	25.527423334499094	51.9545;37.4682;70.9387;40.4874;50.5394;45.2958;49.9699;47.7358;46.1599;51.7404;55.5788	28.1003;23.1474;31.8838;24.3471;27.6513;26.0579;27.5388;26.8761;26.372;28.0313;29.0372	96.0586;60.6491;157.833;67.3274;92.3729;78.7368;90.6716;84.7855;80.7953;95.5027;106.381	0						Linear,11(1)	2.2678696916619354	25.887951612472534	1.5483983755111694	4.353892803192139	0.7528994959814092	2.1584317684173584	44.634682554524495	54.977826536384605	25.8151639950191	28.556326914071818	76.8337022974919	107.00518861159901	DOWN	0.0	1.0	0.0	
R-DRE-156580	Phase II - Conjugation of compounds	39	48	2	1	0	2	2	2	2	0	0	67	48	4777	0.51419	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-211859	Biological oxidations	85	112	3	2	0	3	3	3	3	0	0	67	112	4713	0.20962	1.0	0.40708	0.0																														0	0	0															0															0																							
