chemical,endpoint,lowerCI,median,upperCI,missingvalues
BPA,20th gene,2.5983943195509305,2.678951546957429,2.749827492383333,
BPAF,20th gene,-0.010171229988677227,0.01697904909533407,0.20887650782898715,
DES,20th gene,1.4745877329935377,1.5556276138363538,1.5789530719578562,
EE2,20th gene,-2.212146500376463,-2.007509223033723,-1.1929502727976382,
TGSH,20th gene,1.1700562572508002,1.6384193648626326,2.400553530467106,
BPA,10th pct,0.789254869096568,1.0228035838808631,2.538611497427809,
BPAF,10th pct,0.20887650782898715,0.36008764128812276,0.6119908104708854,
DES,10th pct,0.17883887147113844,1.4982634504677015,1.5663455506195108,
EE2,10th pct,-2.007509223033723,-1.6037579559834287,-0.514366576740871,
TGSH,10th pct,2.452946507197992,2.4903847429145967,2.5234380923697453,
BPA,1st Mode,0.008046100172227788,0.9895567681807045,2.735038578810889,
BPAF,1st Mode,0.023782902159253494,0.10994237590433487,0.9635774696614888,
DES,1st Mode,-0.9521387087196899,1.7014120427839061,1.7287943472894842,
EE2,1st Mode,-2.2098883290644107,-2.0603713528401215,-0.32474601224272304,
TGSH,1st Mode,2.6713936680601615,2.685256871858846,2.6942212844000486,
BPA,GO Term,2.5983943195509305,2.620830162878086,2.882264908223262,
BPAF,GO Term,0.13532350810667718,0.22177143831766782,0.3521805879093758,
DES,GO Term,1.4745877329935377,1.4882276956341132,1.7309420795470636,
EE2,GO Term,-2.342234932476499,-1.1982610597542038,-0.3137409979934252,
TGSH,GO Term,1.008127299834017,1.9895935204442903,2.84938562719768,
BPA,Reactome,0.008395749785018666,1.0245841732336087,2.8784189543412757,
BPAF,Reactome,-0.3065087241617776,-0.17746972360134636,0.9640870098146566,
DES,Reactome,1.4882276956341132,1.6314015412628302,1.9210775163600495,
EE2,Reactome,-3.0052144843468107,-0.5230133974418911,-0.36969012264260004,
TGSH,Reactome,2.5293854338794306,2.549365023381069,2.79528132078887,
BPA,NA,NA,NA,NA,ND
BPAF,NA,NA,NA,NA,ND
DES,NA,NA,NA,NA,ND
EE2,NA,NA,NA,NA,ND
TGSH,NA,NA,NA,NA,ND
BPA,NA,NA,NA,NA,ND
BPAF,NA,NA,NA,NA,ND
DES,NA,NA,NA,NA,ND
EE2,NA,NA,NA,NA,ND
TGSH,NA,NA,NA,NA,ND
BPA,Behaviour,NA,NA,NA,ND
BPAF,Behaviour,NA,NA,NA,ND
DES,Behaviour,NA,NA,NA,ND
EE2,Behaviour,NA,NA,NA,ND
TGSH,Behaviour,NA,NA,NA,ND
