GO Term,GO Level,Pathway Name,n-Genes,p-value,%,Median BMD
GO:0019218,7,regulation of steroid metabolic process,3,7.66E-04,33.33,97.6323
GO:0015485,5,cholesterol binding,3,0.024223,10.34,318.324
GO:0015850,6,organic hydroxy compound transport,5,0.0022642,11.63,318.324
GO:0015918,7,sterol transport,3,0.018073,11.54,318.324
GO:0030301,8,cholesterol transport,3,0.016243,12,318.324
GO:0032934,5,sterol binding,3,0.045426,8.11,318.324
GO:0008284,6,positive regulation of cell population proliferation,7,0.019053,5.6,338.369
GO:0045765,6,regulation of angiogenesis,5,0.040431,5.75,338.369
GO:0045766,7,positive regulation of angiogenesis,3,0.031363,9.38,338.369
GO:0050678,6,regulation of epithelial cell proliferation,3,0.031363,9.38,338.369
GO:0050679,7,positive regulation of epithelial cell proliferation,3,0.011406,13.64,338.369
GO:1904018,6,positive regulation of vasculature development,3,0.031363,9.38,338.369
GO:0055072,10,iron ion homeostasis,4,0.019872,8.33,350.8765
GO:0043627,5,response to estrogen,3,0.036667,8.82,369.578
GO:0071391,6,cellular response to estrogen stimulus,3,0.026493,10,369.578
GO:0016628,5,"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor",3,0.01291,13.04,372.875
GO:0050661,5,NADP binding,3,0.039481,8.57,375.516
GO:0061631,6,ubiquitin conjugating enzyme activity,3,0.042401,8.33,407.044
GO:0030178,7,negative regulation of Wnt signaling pathway,5,0.042138,5.68,425.462
GO:0090090,8,negative regulation of canonical Wnt signaling pathway,5,0.0088937,8.47,425.462
GO:0072527,5,pyrimidine-containing compound metabolic process,5,0.0052186,9.62,426.603
GO:0019905,5,syntaxin binding,4,0.034724,7.02,436.212
GO:0008202,5,steroid metabolic process,9,4.91E-04,8.49,441.772
GO:0060828,7,regulation of canonical Wnt signaling pathway,7,0.014299,5.93,447.4
GO:0016529,7,sarcoplasmic reticulum,3,0.020013,11.11,450.654
GO:0008203,6,cholesterol metabolic process,7,4.53E-04,10.94,451.404
GO:0016125,5,sterol metabolic process,7,0.001181,9.33,451.404
GO:0016126,6,sterol biosynthetic process,5,4.94E-04,16.13,451.404
GO:0048878,5,chemical homeostasis,18,0.013477,3.95,452.101
GO:0006220,6,pyrimidine nucleotide metabolic process,3,0.028873,9.68,453.396
GO:0006221,7,pyrimidine nucleotide biosynthetic process,3,0.024223,10.34,453.396
GO:0009218,7,pyrimidine ribonucleotide metabolic process,3,0.016243,12,453.396
GO:0009220,8,pyrimidine ribonucleotide biosynthetic process,3,0.014522,12.5,453.396
GO:0072528,6,pyrimidine-containing compound biosynthetic process,3,0.028873,9.68,453.396
GO:1901362,5,organic cyclic compound biosynthetic process,21,0.016303,3.78,453.396
GO:0006695,7,cholesterol biosynthetic process,4,7.95E-04,20,453.8035
GO:1902653,6,secondary alcohol biosynthetic process,4,7.95E-04,20,453.8035
GO:0005524,6,ATP binding,43,0.03823,2.96,455.333
GO:0030554,6,adenyl nucleotide binding,44,0.040798,2.94,456.9885
GO:0032559,6,adenyl ribonucleotide binding,44,0.032452,2.96,456.9885
