Name	pathBMD	pval	adj.pval	perc.path	num.hits
p53 signaling pathway	2.81519206032689	0.486559618390704	0.99999	0.0181818181818182	1
Progesterone-mediated oocyte maturation	2.81519206032689	0.510915616448472	0.99999	0.0169491525423729	1
Oocyte meiosis	2.81519206032689	0.51682310757437	0.99999	0.0166666666666667	1
Cell cycle	2.81519206032689	0.577308514092505	0.99999	0.0140845070422535	1
FoxO signaling pathway	2.81519206032689	0.647843915587448	0.99999	0.0116279069767442	1
Cellular senescence	2.81519206032689	0.692015958075899	0.99999	0.0103092783505155	1
Spliceosome	4.22364971338699	0.210048539401258	0.99999	0.028169014084507	2
Ubiquitin mediated proteolysis	4.68025351238969	0.660479664164089	0.99999	0.0112359550561798	1
Insulin signaling pathway	4.72108825728323	0.621154392800699	0.99999	0.0125	1
Ribosome	5.12519549981789	0.109379833374702	0.99999	0.0425531914893617	2
Oxidative phosphorylation	5.46359539252232	0.577308514092505	0.99999	0.0140845070422535	1
Neuroactive ligand-receptor interaction	5.46826028432508	0.253970887249367	0.99999	0.0187793427230047	4
Inositol phosphate metabolism	5.59180703671206	0.427265022343194	0.99999	0.0217391304347826	1
Phosphatidylinositol signaling system	5.59180703671206	0.467505476785755	0.99999	0.0192307692307692	1
Regulation of actin cytoskeleton	5.62348602973429	0.428517443804234	0.99999	0.0165289256198347	2
ABC transporters	5.63160717790814	0.233781832655371	0.99999	0.0454545454545455	1
Adipocytokine signaling pathway	5.653099010304	0.39143456293469	0.99999	0.024390243902439	1
Cytokine-cytokine receptor interaction	5.653099010304	0.572135838392629	0.99999	0.0142857142857143	1
Cell adhesion molecules (CAMs)	5.66587229980761	0.556237561470206	0.99999	0.0149253731343284	1
Sphingolipid metabolism	5.70371482186585	0.337502647725874	0.99999	0.0294117647058824	1
Cardiac muscle contraction	5.74594123709836	0.434175569929466	0.99999	0.0212765957446809	1
Adrenergic signaling in cardiomyocytes	5.74594123709836	0.668652260897698	0.99999	0.010989010989011	1
RNA polymerase	5.83174922101305	0.19574317281166	0.99999	0.0555555555555556	1
Peroxisome	5.95881243118396	0.00811764727714874	0.99999	0.0606060606060606	4
Gap junction	6.13756238567078	0.504936392198875	0.99999	0.0172413793103448	1
Vascular smooth muscle contraction	6.13756238567078	0.616514827234667	0.99999	0.0126582278481013	1
Purine metabolism	6.13756238567078	0.699434270361023	0.99999	0.0101010101010101	1
Homologous recombination	6.18096937909911	0.0594635765463818	0.99999	0.0606060606060606	2
Amino sugar and nucleotide sugar metabolism	6.37841512582632	0.454414194169463	0.99999	0.02	1
Metabolic pathways	6.37841512582632	0.582252480643252	0.99999	0.0117021276595745	11
Ether lipid metabolism	6.4272332658025	0.296098620863422	0.99999	0.0344827586206897	1
Glycerophospholipid metabolism	6.4272332658025	0.510915616448472	0.99999	0.0169491525423729	1
GnRH signaling pathway	6.4272332658025	0.51682310757437	0.99999	0.0166666666666667	1
Endocytosis	6.4272332658025	0.803956095783141	0.99999	0.00746268656716418	1
Steroid hormone biosynthesis	6.50652152405281	0.205425132338573	0.99999	0.0526315789473684	1
NOD-like receptor signaling pathway	6.55229363013874	0.625738201651704	0.99999	0.0123456790123457	1
Glycine, serine and threonine metabolism	6.69856194741897	0.321239581569674	0.99999	0.03125	1
Arginine and proline metabolism	6.69856194741897	0.376486746703946	0.99999	0.0256410256410256	1
Terpenoid backbone biosynthesis	6.92436700191317	0.176026339509739	0.99999	0.0625	1
Biosynthesis of unsaturated fatty acids	6.96977143716049	0.224443095212647	0.99999	0.0476190476190476	1
Fatty acid metabolism	6.96977143716049	0.376486746703946	0.99999	0.0256410256410256	1
PPAR signaling pathway	6.96977143716049	0.39143456293469	0.99999	0.024390243902439	1
