GO/Pathway/Gene Set/Gene ID	GO Level	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
all	0	all	17102	18951	157	122	54	138	99	83	155	33	33	0	18918	0	1	1	1	0.17	101886856;101885702;100331252;100322372;100150889;100034635;100004662;100004647;100002730;100002566;100002257;798606;798102;794081;790965;790940;777726;571467;566325;564886;562524;561751;555569;553601;553453;449833;415248;393342;369194;337599;266750;30617;30483	inka2;si:dkey-185m8.2;slitrk5b;si:ch73-222h13.1;tapbpl;sync;zgc:174357;rasl10a;si:ch73-208g10.1;oacyl;si:dkeyp-2e4.3;tecrl2a;nmba;ucp3;si:dkey-286h2.3;palm3;zgc:113443;kcnk13a;thbs2b;si:ch1073-296d18.1;rab38c;snorc;otogl;zgc:110249;samhd1;zdhhc15a;rcn3;zgc:64051;tgfb2;zgc:172121;adra2a;urod;gata4	ENSDARG00000073900;ENSDARG00000099026;ENSDARG00000074153;ENSDARG00000087107;ENSDARG00000058351;ENSDARG00000035944;ENSDARG00000110460;ENSDARG00000062314;ENSDARG00000079808;ENSDARG00000075191;ENSDARG00000095283;ENSDARG00000089485;ENSDARG00000068144;ENSDARG00000091209;ENSDARG00000068290;ENSDARG00000071215;ENSDARG00000100803;ENSDARG00000008212;ENSDARG00000073810;ENSDARG00000087145;ENSDARG00000074719;ENSDARG00000092383;ENSDARG00000088750;ENSDARG00000035221;ENSDARG00000071288;ENSDARG00000101039;ENSDARG00000037961;ENSDARG00000068233;ENSDARG00000027087;ENSDARG00000034430;ENSDARG00000040841;ENSDARG00000006818;ENSDARG00000098952		1.088555804	1.2154	7.43E-05	0.738712705	0.923822472	0.671203267	0.634036783	0.754041	3.98E-05	0.409573896	0.566558147	0.394075042	5.116889699	2.50649	0.001232	7.891447426	3.377905171	5.744212912					1.63211;1.48829;0.160083;0.419201;1.41092;0.785617;1.2154;1.89986;1.36172;1.09824;0.796168;7.43429E-5;0.882389;6.48128E-4;0.668657;0.11545;2.28656;1.05907;0.0913505;2.22086;1.5326;0.0176806;1.31969;1.3092;1.2574;1.70363;1.72503;0.145688;0.00159495;1.10091;2.16252;2.32451;1.72922	0.972857;0.912035;0.090919;0.14411;0.877619;0.548597;0.78492;1.07618;0.971556;0.584972;0.55498;3.98137E-5;0.656856;1.94432E-4;0.475818;0.0723123;1.206;0.794265;0.0604096;1.31322;0.811611;0.00630379;0.919529;0.83045;0.687191;0.845767;0.828144;0.0852615;5.00405E-4;0.726545;1.27723;1.05278;0.754041	4.95818;3.95794;0.619761;2.50649;3.51985;1.34246;2.63038;7.91711;2.47007;3.12968;1.36693;0.001232;1.33353;0.00308267;1.08813;0.280637;21.191;1.60797;0.182348;12.5915;5.53546;0.156149;2.49741;3.02363;3.71998;7.8617;8.68857;0.494334;0.0162964;2.21654;11.1641;40.8611;9.92381	20	13	20	101886856;101885702;100331252;100150889;100034635;100004662;100004647;100002730;100002257;798606;798102;794081;790965;777726;571467;564886;555569;553601;337599;266750	ENSDARG00000073900;ENSDARG00000099026;ENSDARG00000074153;ENSDARG00000058351;ENSDARG00000035944;ENSDARG00000110460;ENSDARG00000062314;ENSDARG00000079808;ENSDARG00000095283;ENSDARG00000089485;ENSDARG00000068144;ENSDARG00000091209;ENSDARG00000068290;ENSDARG00000100803;ENSDARG00000008212;ENSDARG00000087145;ENSDARG00000088750;ENSDARG00000035221;ENSDARG00000034430;ENSDARG00000040841	1.188037324	1.2623	0.67708673	0.749490512	0.8123575	0.384655136	4.275040284	2.48374	5.256355569	1.63211;1.48829;0.160083;1.41092;0.785617;1.2154;1.89986;1.36172;0.796168;7.43429E-5;0.882389;6.48128E-4;0.668657;2.28656;1.05907;2.22086;1.31969;1.3092;1.10091;2.16252	0.972857;0.912035;0.090919;0.877619;0.548597;0.78492;1.07618;0.971556;0.55498;3.98137E-5;0.656856;1.94432E-4;0.475818;1.206;0.794265;1.31322;0.919529;0.83045;0.726545;1.27723	4.95818;3.95794;0.619761;3.51985;1.34246;2.63038;7.91711;2.47007;1.36693;0.001232;1.33353;0.00308267;1.08813;21.191;1.60797;12.5915;2.49741;3.02363;2.21654;11.1641	13	100322372;100002566;790940;566325;562524;561751;553453;449833;415248;393342;369194;30617;30483	ENSDARG00000087107;ENSDARG00000075191;ENSDARG00000071215;ENSDARG00000073810;ENSDARG00000074719;ENSDARG00000092383;ENSDARG00000071288;ENSDARG00000101039;ENSDARG00000037961;ENSDARG00000068233;ENSDARG00000027087;ENSDARG00000006818;ENSDARG00000098952	0.935507312	1.09824	0.829124186	0.456415661	0.584972	0.395817851	6.412042646	3.12968	10.92345058	0.419201;1.09824;0.11545;0.0913505;1.5326;0.0176806;1.2574;1.70363;1.72503;0.145688;0.00159495;2.32451;1.72922	0.14411;0.584972;0.0723123;0.0604096;0.811611;0.00630379;0.687191;0.845767;0.828144;0.0852615;5.00405E-4;1.05278;0.754041	2.50649;3.12968;0.280637;0.182348;5.53546;0.156149;3.71998;7.8617;8.68857;0.494334;0.0162964;40.8611;9.92381	0						"Exp 2,13(0.4);Exp 4,4(0.13);Linear,11(0.34);Poly 2,5(0.16)"	1.766095236	59.14897418	1.518617392	3.391056061	0.358421511	1.711026192	0.836512787	1.340598821	0.494293362	0.773780204	2.424389346	7.809390052	UP	0.606060606	0.393939394	0
GO:0000012	7	single strand break repair	4	4	1	0	0	0	0	0	1	0	0	33	4	18914	0.99305	1	1	0																														0	0	0															0															0																						
GO:0000018	7	regulation of DNA recombination	27	40	1	1	1	1	0	0	1	0	0	33	40	18878	0.93259	1	1	0																														0	0	0															0															0																						
GO:0000038	7	very long-chain fatty acid metabolic process	28	28	1	1	1	1	1	1	1	1	1	32	27	18891	0.99892	0.047661	0.047661	3.57	798606	tecrl2a	ENSDARG00000089485		7.43E-05	7.43E-05	7.43E-05		7.43E-05		3.98E-05	3.98E-05	3.98E-05		3.98E-05		0.001232	0.001232	0.001232		0.001232						7.43E-05	3.98E-05	0.001232	1	0	1	798606	ENSDARG00000089485	7.43E-05	7.43E-05		3.98E-05	3.98E-05		0.001232	0.001232		7.43E-05	3.98E-05	0.001232	0															0						"Exp 4,1(1)"	1.878602624	1.878602624	1.878602624	1.878602624	0	1.878602624	7.43E-05	7.43E-05	3.98E-05	3.98E-05	0.001232	0.001232	UP	1	0	0
GO:0000041	8	transition metal ion transport	69	69	1	0	0	1	0	0	1	0	0	33	69	18849	0.8865	1	1	0																														0	0	0															0															0																						
GO:0000075	6	cell cycle checkpoint signaling	58	62	1	1	0	1	1	1	1	0	0	33	62	18856	0.89742	1	1	0																														0	0	0															0															0																						
GO:0000077	8	DNA damage checkpoint signaling	32	33	1	1	0	1	1	1	1	0	0	33	33	18885	0.94406	1	1	0																														0	0	0															0															0																						
GO:0000096	5	sulfur amino acid metabolic process	20	20	1	1	1	1	1	1	1	1	1	32	19	18899	0.99945	0.034273	0.034273	5	337599	zgc:172121	ENSDARG00000034430		1.10091	1.10091	1.10091		1.10091		0.726545	0.726545	0.726545		0.726545		2.21654	2.21654	2.21654		2.21654		0	1.10091			1.10091	0.726545	2.21654	1	0	1	337599	ENSDARG00000034430	1.10091	1.10091		0.726545	0.726545		2.21654	2.21654		1.10091	0.726545	2.21654	0															0						"Linear,1(1)"	1.518617392	1.518617392	1.518617392	1.518617392	0	1.518617392	1.10091	1.10091	0.726545	0.726545	2.21654	2.21654	UP	1	0	0
GO:0000097	6	sulfur amino acid biosynthetic process	14	14	1	1	1	1	1	1	1	1	1	32	13	18905	0.99974	0.024113	0.024113	7.14	337599	zgc:172121	ENSDARG00000034430		1.10091	1.10091	1.10091		1.10091		0.726545	0.726545	0.726545		0.726545		2.21654	2.21654	2.21654		2.21654		0	1.10091			1.10091	0.726545	2.21654	1	0	1	337599	ENSDARG00000034430	1.10091	1.10091		0.726545	0.726545		2.21654	2.21654		1.10091	0.726545	2.21654	0															0						"Linear,1(1)"	1.518617392	1.518617392	1.518617392	1.518617392	0	1.518617392	1.10091	1.10091	0.726545	0.726545	2.21654	2.21654	UP	1	0	0
GO:0000139	6	Golgi membrane	247	261	2	2	0	2	1	1	2	0	0	33	261	18657	0.63252	1	1	0																														0	0	0															0															0																						
