GO/Pathway/Gene Set/Gene ID	GO Level	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
all	0	all	17160	18951	135	90	51	117	79	66	131	33	33	0	18918	0	1	1	1	0.17	100536479;100535123;100330479;100151344;100037378;100034574;100004895;100004662;100003900;100003863;100002719;792986;571317;566555;565917;563398;560703;556770;555962;555435;555134;553692;553169;503868;494456;407729;402826;393113;368245;336944;327588;322473;58051	podn;si:ch73-281i18.7;ccni2;si:dkeyp-97e7.9;ufsp1;si:ch211-193k19.2;ora3;zgc:174357;chia.6;prox2;si:dkey-6n21.13;slc39a3;thbs3b;abcc6a;tsnaxip1;zgc:172079;mmel1;gpr183a;tgm1l4;adgb;st8sia2;dph3;gstp2;vipr1b;fgf23;caprin2;amdhd1;upp2;fgf19;ccr6b;hpxa;lpar5a;hoxa1a	ENSDARG00000019025;ENSDARG00000103395;ENSDARG00000033046;ENSDARG00000070541;ENSDARG00000061610;ENSDARG00000077572;ENSDARG00000059315;ENSDARG00000110460;ENSDARG00000116259;ENSDARG00000041952;ENSDARG00000069459;ENSDARG00000101434;ENSDARG00000012060;ENSDARG00000016750;ENSDARG00000030512;ENSDARG00000056762;ENSDARG00000105389;ENSDARG00000010317;ENSDARG00000101407;ENSDARG00000005595;ENSDARG00000018788;ENSDARG00000043360;ENSDARG00000103019;ENSDARG00000059058;ENSDARG00000045854;ENSDARG00000020749;ENSDARG00000007366;ENSDARG00000036833;ENSDARG00000098663;ENSDARG00000038968;ENSDARG00000012609;ENSDARG00000010384;ENSDARG00000104307	563398(-0.1053)	1.131949681	1.28305	4.93E-05	0.664329694	1.083694139	0.629579614	0.671255277	0.783669	3.08E-05	0.388982954	0.660061706	0.384501598	3.988935344	2.6494	1.80E-04	4.02361006	3.280794276	2.890555952					1.36431;0.987387;1.79254;1.42349;0.955905;1.9515;1.2721;1.51545;1.34673;1.99871;0.0666332;1.34694;1.54195;1.80485;2.24856;0.210195;1.38307;0.388687;1.65133;0.226609;0.00977812;1.17298;1.80018;1.49581;0.822633;0.00305594;1.03994;4.92755E-5;8.69275E-5;1.28305;1.22493;1.2345;1.7904	0.862173;0.670262;1.21181;1.0135;0.652639;1.10221;0.919735;0.930129;0.713309;0.900786;0.0468052;0.854055;0.793084;1.04797;1.20235;0.108623;0.775256;0.141743;1.07302;0.113204;0.00279688;0.769009;0.67419;0.783669;0.575106;7.40448E-4;0.617213;3.07599E-5;5.18593E-5;0.958492;0.795138;0.799884;1.04244	3.20508;1.83107;4.36911;2.6321;1.74381;8.33781;2.18669;4.01324;4.26208;14.5898;0.112397;3.12428;5.77093;6.3778;16.8489;1.35706;4.08653;2.73252;4.11868;1.86229;0.0495945;2.42018;12.903;5.27487;1.40699;0.0262298;2.4619;6.25406E-4;1.79638E-4;2.04586;2.61243;2.6494;6.22143	24	9	24	100536479;100535123;100330479;100151344;100037378;100034574;100004895;100004662;100002719;792986;566555;565917;563398;555962;555435;555134;553692;494456;407729;393113;368245;336944;327588;58051	ENSDARG00000019025;ENSDARG00000103395;ENSDARG00000033046;ENSDARG00000070541;ENSDARG00000061610;ENSDARG00000077572;ENSDARG00000059315;ENSDARG00000110460;ENSDARG00000069459;ENSDARG00000101434;ENSDARG00000016750;ENSDARG00000030512;ENSDARG00000056762;ENSDARG00000101407;ENSDARG00000005595;ENSDARG00000018788;ENSDARG00000043360;ENSDARG00000045854;ENSDARG00000020749;ENSDARG00000036833;ENSDARG00000098663;ENSDARG00000038968;ENSDARG00000012609;ENSDARG00000104307	1.046865103	1.248515	0.715360272	0.664678756	0.8245965	0.439772853	3.204326514	2.303435	3.61657075	1.36431;0.987387;1.79254;1.42349;0.955905;1.9515;1.2721;1.51545;0.0666332;1.34694;1.80485;2.24856;0.210195;1.65133;0.226609;0.00977812;1.17298;0.822633;0.00305594;4.92755E-5;8.69275E-5;1.28305;1.22493;1.7904	0.862173;0.670262;1.21181;1.0135;0.652639;1.10221;0.919735;0.930129;0.0468052;0.854055;1.04797;1.20235;0.108623;1.07302;0.113204;0.00279688;0.769009;0.575106;7.40448E-4;3.07599E-5;5.18593E-5;0.958492;0.795138;1.04244	3.20508;1.83107;4.36911;2.6321;1.74381;8.33781;2.18669;4.01324;0.112397;3.12428;6.3778;16.8489;1.35706;4.11868;1.86229;0.0495945;2.42018;1.40699;0.0262298;6.25406E-4;1.79638E-4;2.04586;2.61243;6.22143	9	100003900;100003863;571317;560703;556770;553169;503868;402826;322473	ENSDARG00000116259;ENSDARG00000041952;ENSDARG00000012060;ENSDARG00000105389;ENSDARG00000010317;ENSDARG00000103019;ENSDARG00000059058;ENSDARG00000007366;ENSDARG00000010384	1.358841889	1.38307	0.463086506	0.688792667	0.775256	0.220748115	6.081225556	4.26208	4.514667931	1.34673;1.99871;1.54195;1.38307;0.388687;1.80018;1.49581;1.03994;1.2345	0.713309;0.900786;0.793084;0.775256;0.141743;0.67419;0.783669;0.617213;0.799884	4.26208;14.5898;5.77093;4.08653;2.73252;12.903;5.27487;2.4619;2.6494	0						"Exp 2,12(0.37);Exp 4,4(0.13);Linear,13(0.4);Poly 2,4(0.13)"	1.825299357	60.97813463	1.503070116	2.514040709	0.303147508	1.745226979	0.905285567	1.358613794	0.538537325	0.803973229	2.616110953	5.361759735	UP	0.727272727	0.272727273	0
GO:0000041	8	transition metal ion transport	68	69	2	2	2	2	2	2	2	2	2	31	67	18851	0.99977	0.0064136	0.0064136	2.9	792986;327588	slc39a3;hpxa	ENSDARG00000101434;ENSDARG00000012609		1.285935	1.285935	1.22493	0.086274098	1.265960406	0.081518411	0.8245965	0.8245965	0.795138	0.04166061	0.814951035	0.039364152	2.868355	2.868355	2.61243	0.361932606	2.784558625	0.341981792					1.34694;1.22493	0.854055;0.795138	3.12428;2.61243	2	0	2	792986;327588	ENSDARG00000101434;ENSDARG00000012609	1.285935	1.285935	0.086274098	0.8245965	0.8245965	0.04166061	2.868355	2.868355	0.361932606	1.34694;1.22493	0.854055;0.795138	3.12428;2.61243	0															0						"Linear,2(1)"	1.996197628	4.03121233	1.736566305	2.294646025	0.394621954	2.015606165	1.1663652	1.4055048	0.76685784	0.88233516	2.366742	3.369968	UP	1	0	0
GO:0000070	6	mitotic sister chromatid segregation	16	17	1	1	0	1	1	1	1	0	0	33	17	18901	0.97079	1	1	0																														0	0	0															0															0																						
GO:0000075	6	cell cycle checkpoint signaling	57	62	4	2	1	3	2	1	4	0	0	33	62	18856	0.89742	1	1	0																														0	0	0															0															0																						
GO:0000077	8	DNA damage checkpoint signaling	31	33	2	1	1	1	1	0	2	0	0	33	33	18885	0.94406	1	1	0																														0	0	0															0															0																						
GO:0000079	8	regulation of cyclin-dependent protein serine/threonine kinase activity	31	34	1	1	1	1	1	1	1	1	1	32	33	18885	0.99841	0.057584	0.057584	2.94	100330479	ccni2	ENSDARG00000033046		1.79254	1.79254	1.79254		1.79254		1.21181	1.21181	1.21181		1.21181		4.36911	4.36911	4.36911		4.36911						1.79254	1.21181	4.36911	1	0	1	100330479	ENSDARG00000033046	1.79254	1.79254		1.21181	1.21181		4.36911	4.36911		1.79254	1.21181	4.36911	0															0						"Exp 2,1(1)"	1.929854393	1.929854393	1.929854393	1.929854393	0	1.929854393	1.79254	1.79254	1.21181	1.21181	4.36911	4.36911	UP	1	0	0
GO:0000122	9	negative regulation of transcription by RNA polymerase II	182	189	2	2	0	2	2	2	2	0	0	33	189	18729	0.71817	1	1	0																														0	0	0															0															0																						
GO:0000139	6	Golgi membrane	248	261	1	0	0	1	0	0	1	0	0	33	261	18657	0.63252	1	1	0																														0	0	0															0															0																						
GO:0000149	4	SNARE binding	109	111	1	0	0	1	0	0	1	0	0	33	111	18807	0.82364	1	1	0																														0	0	0															0															0																						
GO:0000151	4	ubiquitin ligase complex	199	202	2	1	0	2	1	1	2	0	0	33	202	18716	0.70192	1	1	0																														0	0	0															0															0																						
GO:0000166	4	nucleotide binding	2004	2147	10	6	3	9	6	4	10	1	1	32	2146	16772	0.098456	0.98115	0.17119	0.047	566555	abcc6a	ENSDARG00000016750		1.80485	1.80485	1.80485		1.80485		1.04797	1.04797	1.04797		1.04797		6.3778	6.3778	6.3778		6.3778						1.80485	1.04797	6.3778	1	0	1	566555	ENSDARG00000016750	1.80485	1.80485		1.04797	1.04797		6.3778	6.3778		1.80485	1.04797	6.3778	0															0						"Linear,1(1)"	1.503070116	1.503070116	1.503070116	1.503070116	0	1.503070116	1.80485	1.80485	1.04797	1.04797	6.3778	6.3778	UP	1	0	0
GO:0000209	10	protein polyubiquitination	126	128	1	1	0	1	1	1	1	0	0	33	128	18790	0.79945	1	1	0																														0	0	0															0															0																						
