Identifier,DES-100ug/L-B
ENSDARG00000099104,271
ENSDARG00000102407,0
ENSDARG00000102097,0
ENSDARG00000099319,0
ENSDARG00000099640,6
ENSDARG00000104071,9
ENSDARG00000102746,5
ENSDARG00000103929,2
ENSDARG00000101073,0
ENSDARG00000100223,12
ENSDARG00000096573,0
ENSDARG00000100782,1
ENSDARG00000034862,4
ENSDARG00000075827,4
ENSDARG00000088581,4
ENSDARG00000076900,4
ENSDARG00000013802,8
ENSDARG00000096578,0
ENSDARG00000109848,0
ENSDARG00000100181,0
ENSDARG00000029936,1
ENSDARG00000041589,0
ENSDARG00000041592,3
ENSDARG00000075108,0
ENSDARG00000016304,2
ENSDARG00000058803,2
ENSDARG00000063385,3
ENSDARG00000007804,5
ENSDARG00000068261,2
ENSDARG00000063371,0
ENSDARG00000078751,5
ENSDARG00000078878,1
ENSDARG00000016343,6
ENSDARG00000023678,2
ENSDARG00000011299,3
ENSDARG00000041575,4
ENSDARG00000058962,0
ENSDARG00000089799,0
ENSDARG00000075325,15
ENSDARG00000041570,7
ENSDARG00000113329,0
ENSDARG00000081781,0
ENSDARG00000058996,6
ENSDARG00000014313,113
ENSDARG00000104279,45
ENSDARG00000103783,4
ENSDARG00000103519,0
ENSDARG00000100307,0
ENSDARG00000101089,0
ENSDARG00000115421,2
ENSDARG00000115673,0
ENSDARG00000116514,0
ENSDARG00000103469,0
ENSDARG00000117321,0
ENSDARG00000087646,0
ENSDARG00000080051,0
ENSDARG00000067781,0
ENSDARG00000099108,0
ENSDARG00000001870,94
ENSDARG00000002791,90
ENSDARG00000007739,22
ENSDARG00000039131,9
ENSDARG00000040252,3
ENSDARG00000089477,2
ENSDARG00000093102,0
ENSDARG00000095102,0
ENSDARG00000040250,0
ENSDARG00000075505,0
ENSDARG00000010376,0
ENSDARG00000033684,0
ENSDARG00000040247,0
ENSDARG00000078743,0
ENSDARG00000018460,15
ENSDARG00000040246,0
ENSDARG00000040245,7
ENSDARG00000082290,0
ENSDARG00000074381,1
ENSDARG00000095179,0
ENSDARG00000084484,0
ENSDARG00000070579,0
ENSDARG00000038248,1
ENSDARG00000070581,1
ENSDARG00000096559,0
ENSDARG00000103156,1
ENSDARG00000103647,0
ENSDARG00000104805,0
ENSDARG00000100273,0
ENSDARG00000104910,0
ENSDARG00000099103,0
ENSDARG00000098078,0
ENSDARG00000104155,0
ENSDARG00000117575,0
ENSDARG00000088916,0
ENSDARG00000098769,4
ENSDARG00000104115,0
ENSDARG00000102013,0
ENSDARG00000117775,0
ENSDARG00000082581,0
ENSDARG00000078308,5
ENSDARG00000033928,13
ENSDARG00000031164,31
ENSDARG00000037777,1
ENSDARG00000016706,6
ENSDARG00000030350,0
ENSDARG00000006526,70
ENSDARG00000077688,2
ENSDARG00000096546,4
ENSDARG00000092671,1
ENSDARG00000113935,0
ENSDARG00000063297,0
ENSDARG00000027078,3
ENSDARG00000017537,1
ENSDARG00000063270,0
ENSDARG00000018008,0
ENSDARG00000074031,0
ENSDARG00000043247,0
ENSDARG00000113848,0
ENSDARG00000063253,0
ENSDARG00000073857,1
ENSDARG00000107682,0
ENSDARG00000070558,3
ENSDARG00000025754,5
ENSDARG00000096530,0
ENSDARG00000116636,0
ENSDARG00000063207,0
ENSDARG00000095087,0
ENSDARG00000096610,0
ENSDARG00000117465,0
ENSDARG00000102217,0
ENSDARG00000090408,0
ENSDARG00000013741,2
ENSDARG00000017441,1856
ENSDARG00000037713,4
ENSDARG00000021688,0
ENSDARG00000004953,0
ENSDARG00000074050,0
ENSDARG00000018319,6
ENSDARG00000098730,0
ENSDARG00000096630,0
ENSDARG00000117359,0
ENSDARG00000106375,0
ENSDARG00000079779,0
ENSDARG00000089090,0
ENSDARG00000109652,0
ENSDARG00000115102,0
ENSDARG00000115288,0
ENSDARG00000093857,0
ENSDARG00000095309,0
ENSDARG00000095673,0
ENSDARG00000099359,0
ENSDARG00000092361,5
ENSDARG00000103767,0
ENSDARG00000075791,0
ENSDARG00000107486,0
ENSDARG00000029720,0
ENSDARG00000100166,0
ENSDARG00000074212,0
ENSDARG00000062929,3
ENSDARG00000022668,1
ENSDARG00000099708,0
ENSDARG00000025034,7
ENSDARG00000078474,0
ENSDARG00000096583,0
ENSDARG00000063003,1
ENSDARG00000002377,1
ENSDARG00000015803,0
ENSDARG00000037739,1
ENSDARG00000076176,5
ENSDARG00000096526,0
ENSDARG00000113858,0
ENSDARG00000096599,1
ENSDARG00000100771,1
ENSDARG00000079873,0
ENSDARG00000079332,0
ENSDARG00000007443,1
ENSDARG00000037746,334
ENSDARG00000037747,1
ENSDARG00000079361,1
ENSDARG00000012458,26
ENSDARG00000070543,5
ENSDARG00000094298,0
ENSDARG00000089873,0
ENSDARG00000093438,2
ENSDARG00000094206,2
ENSDARG00000037758,0
ENSDARG00000008723,1
ENSDARG00000110570,0
ENSDARG00000058460,0
ENSDARG00000088975,2
ENSDARG00000100949,0
ENSDARG00000093053,0
ENSDARG00000058463,51
ENSDARG00000076716,0
ENSDARG00000058464,2
ENSDARG00000058471,3
ENSDARG00000096584,0
ENSDARG00000058475,0
ENSDARG00000080404,0
ENSDARG00000058480,5
ENSDARG00000024740,7
ENSDARG00000101597,1
ENSDARG00000058445,7
ENSDARG00000063169,0
ENSDARG00000092791,0
ENSDARG00000037760,0
ENSDARG00000117314,0
ENSDARG00000017834,2
ENSDARG00000074282,2
ENSDARG00000074372,0
ENSDARG00000104203,0
ENSDARG00000101495,4
ENSDARG00000091916,20
ENSDARG00000099276,4
ENSDARG00000104995,1
ENSDARG00000033852,1
ENSDARG00000037654,8
ENSDARG00000037652,0
ENSDARG00000037646,0
ENSDARG00000032795,0
ENSDARG00000018263,38
ENSDARG00000077542,0
ENSDARG00000070490,0
ENSDARG00000015678,0
ENSDARG00000079043,0
ENSDARG00000076174,0
ENSDARG00000037647,3
ENSDARG00000008969,42
ENSDARG00000020741,34
ENSDARG00000104660,1
ENSDARG00000096594,0
ENSDARG00000077652,10
ENSDARG00000079452,0
ENSDARG00000089943,0
ENSDARG00000096536,0
ENSDARG00000077533,70
ENSDARG00000030563,4
ENSDARG00000026387,1
ENSDARG00000070495,0
ENSDARG00000084766,0
ENSDARG00000034785,1
ENSDARG00000070512,8
ENSDARG00000070504,0
ENSDARG00000062057,0
ENSDARG00000067992,0
ENSDARG00000103508,0
ENSDARG00000070502,0
ENSDARG00000037679,1
ENSDARG00000076833,25
ENSDARG00000012297,1
ENSDARG00000087107,0
ENSDARG00000099342,0
ENSDARG00000008487,5
ENSDARG00000084839,0
ENSDARG00000100507,0
ENSDARG00000070239,1
ENSDARG00000074379,5
ENSDARG00000062854,0
ENSDARG00000112849,0
ENSDARG00000113410,0
ENSDARG00000092242,0
ENSDARG00000092200,0
ENSDARG00000093636,0
ENSDARG00000095482,0
ENSDARG00000094981,0
ENSDARG00000037619,0
ENSDARG00000062585,2
ENSDARG00000074213,1
ENSDARG00000062606,3
ENSDARG00000077198,0
ENSDARG00000007678,3
ENSDARG00000089930,0
ENSDARG00000078057,4
ENSDARG00000070448,4
ENSDARG00000070449,2
ENSDARG00000042988,16
ENSDARG00000096506,0
ENSDARG00000070452,4
ENSDARG00000070454,4
ENSDARG00000096515,0
ENSDARG00000038114,0
ENSDARG00000008637,47
ENSDARG00000091609,17
ENSDARG00000002634,1
ENSDARG00000062467,0
ENSDARG00000032808,0
ENSDARG00000078318,0
ENSDARG00000018997,5
ENSDARG00000099771,6
ENSDARG00000045620,9
ENSDARG00000045618,33
ENSDARG00000057248,1
ENSDARG00000017985,14
ENSDARG00000113585,0
ENSDARG00000106508,0
ENSDARG00000117227,0
ENSDARG00000104707,0
ENSDARG00000102049,0
ENSDARG00000116228,0
ENSDARG00000099729,3
ENSDARG00000105122,1
ENSDARG00000098668,0
ENSDARG00000098053,0
ENSDARG00000102604,0
ENSDARG00000102339,0
ENSDARG00000089805,1
ENSDARG00000117726,0
ENSDARG00000117541,0
ENSDARG00000112668,0
ENSDARG00000110084,0
ENSDARG00000078525,0
ENSDARG00000079626,9
ENSDARG00000057114,8
ENSDARG00000009026,0
ENSDARG00000085400,0
ENSDARG00000014273,2
ENSDARG00000104795,1
ENSDARG00000056806,1
ENSDARG00000056797,1
ENSDARG00000062341,2
ENSDARG00000107022,0
ENSDARG00000056742,0
ENSDARG00000037576,0
ENSDARG00000070431,3
ENSDARG00000022690,1
ENSDARG00000056677,3
ENSDARG00000012903,22
ENSDARG00000003398,5
ENSDARG00000074867,6
ENSDARG00000109597,0
ENSDARG00000111274,0
ENSDARG00000110922,4
ENSDARG00000116310,0
ENSDARG00000109592,0
ENSDARG00000117482,0
ENSDARG00000103921,0
ENSDARG00000114198,0
ENSDARG00000106947,0
ENSDARG00000039063,0
ENSDARG00000113383,0
ENSDARG00000109748,0
ENSDARG00000116279,0
ENSDARG00000109910,0
ENSDARG00000116174,0
ENSDARG00000116266,0
ENSDARG00000111171,0
ENSDARG00000111710,0
ENSDARG00000111723,0
ENSDARG00000115042,0
ENSDARG00000114262,0
ENSDARG00000078898,8
ENSDARG00000007534,0
ENSDARG00000077804,8
ENSDARG00000013881,4
ENSDARG00000079317,1
ENSDARG00000117428,0
ENSDARG00000106258,0
ENSDARG00000078854,3
ENSDARG00000108223,0
ENSDARG00000007356,0
ENSDARG00000078599,3
ENSDARG00000115704,0
ENSDARG00000109375,0
ENSDARG00000017119,2
ENSDARG00000070412,0
ENSDARG00000034105,3
ENSDARG00000062198,5
ENSDARG00000034817,7
ENSDARG00000056504,7
ENSDARG00000108673,0
ENSDARG00000110937,0
ENSDARG00000117129,0
ENSDARG00000116147,0
ENSDARG00000116406,0
ENSDARG00000111254,0
ENSDARG00000113731,0
ENSDARG00000115569,0
ENSDARG00000113149,0
ENSDARG00000116958,0
ENSDARG00000092109,0
ENSDARG00000017591,17
