Identifier,DES-1ug/L-C
ENSDARG00000099104,272
ENSDARG00000102407,2
ENSDARG00000102097,0
ENSDARG00000099319,0
ENSDARG00000099640,9
ENSDARG00000104071,15
ENSDARG00000102746,4
ENSDARG00000103929,3
ENSDARG00000101073,0
ENSDARG00000100223,12
ENSDARG00000096573,0
ENSDARG00000100782,5
ENSDARG00000034862,3
ENSDARG00000075827,7
ENSDARG00000088581,9
ENSDARG00000076900,5
ENSDARG00000013802,7
ENSDARG00000096578,0
ENSDARG00000109848,0
ENSDARG00000100181,0
ENSDARG00000029936,3
ENSDARG00000041589,0
ENSDARG00000041592,11
ENSDARG00000075108,0
ENSDARG00000016304,3
ENSDARG00000058803,1
ENSDARG00000063385,1
ENSDARG00000007804,2
ENSDARG00000068261,0
ENSDARG00000063371,1
ENSDARG00000078751,7
ENSDARG00000078878,0
ENSDARG00000016343,4
ENSDARG00000023678,2
ENSDARG00000011299,6
ENSDARG00000041575,1
ENSDARG00000058962,1
ENSDARG00000089799,0
ENSDARG00000075325,18
ENSDARG00000041570,9
ENSDARG00000113329,0
ENSDARG00000081781,0
ENSDARG00000058996,4
ENSDARG00000014313,100
ENSDARG00000104279,30
ENSDARG00000103783,1
ENSDARG00000103519,0
ENSDARG00000100307,0
ENSDARG00000101089,0
ENSDARG00000115421,6
ENSDARG00000115673,0
ENSDARG00000116514,0
ENSDARG00000103469,0
ENSDARG00000117321,0
ENSDARG00000087646,0
ENSDARG00000080051,0
ENSDARG00000067781,2
ENSDARG00000099108,0
ENSDARG00000001870,54
ENSDARG00000002791,99
ENSDARG00000007739,17
ENSDARG00000039131,9
ENSDARG00000040252,0
ENSDARG00000089477,0
ENSDARG00000093102,0
ENSDARG00000095102,1
ENSDARG00000040250,0
ENSDARG00000075505,0
ENSDARG00000010376,0
ENSDARG00000033684,0
ENSDARG00000040247,0
ENSDARG00000078743,0
ENSDARG00000018460,19
ENSDARG00000040246,0
ENSDARG00000040245,11
ENSDARG00000082290,0
ENSDARG00000074381,0
ENSDARG00000095179,0
ENSDARG00000084484,0
ENSDARG00000070579,0
ENSDARG00000038248,0
ENSDARG00000070581,1
ENSDARG00000096559,0
ENSDARG00000103156,1
ENSDARG00000103647,0
ENSDARG00000104805,0
ENSDARG00000100273,0
ENSDARG00000104910,0
ENSDARG00000099103,0
ENSDARG00000098078,0
ENSDARG00000104155,0
ENSDARG00000117575,0
ENSDARG00000088916,0
ENSDARG00000098769,9
ENSDARG00000104115,0
ENSDARG00000102013,0
ENSDARG00000117775,0
ENSDARG00000082581,0
ENSDARG00000078308,4
ENSDARG00000033928,6
ENSDARG00000031164,42
ENSDARG00000037777,0
ENSDARG00000016706,10
ENSDARG00000030350,0
ENSDARG00000006526,57
ENSDARG00000077688,5
ENSDARG00000096546,4
ENSDARG00000092671,3
ENSDARG00000113935,0
ENSDARG00000063297,1
ENSDARG00000027078,9
ENSDARG00000017537,0
ENSDARG00000063270,2
ENSDARG00000018008,0
ENSDARG00000074031,1
ENSDARG00000043247,1
ENSDARG00000113848,0
ENSDARG00000063253,0
ENSDARG00000073857,0
ENSDARG00000107682,0
ENSDARG00000070558,1
ENSDARG00000025754,7
ENSDARG00000096530,0
ENSDARG00000116636,0
ENSDARG00000063207,1
ENSDARG00000095087,0
ENSDARG00000096610,0
ENSDARG00000117465,0
ENSDARG00000102217,0
ENSDARG00000090408,2
ENSDARG00000013741,2
ENSDARG00000017441,1544
ENSDARG00000037713,14
ENSDARG00000021688,0
ENSDARG00000004953,0
ENSDARG00000074050,2
ENSDARG00000018319,1
ENSDARG00000098730,4
ENSDARG00000096630,0
ENSDARG00000117359,0
ENSDARG00000106375,0
ENSDARG00000079779,0
ENSDARG00000089090,0
ENSDARG00000109652,0
ENSDARG00000115102,0
ENSDARG00000115288,0
ENSDARG00000093857,0
ENSDARG00000095309,0
ENSDARG00000095673,0
ENSDARG00000099359,0
ENSDARG00000092361,3
ENSDARG00000103767,0
ENSDARG00000075791,0
ENSDARG00000107486,1
ENSDARG00000029720,0
ENSDARG00000100166,2
ENSDARG00000074212,0
ENSDARG00000062929,1
ENSDARG00000022668,0
ENSDARG00000099708,0
ENSDARG00000025034,3
ENSDARG00000078474,0
ENSDARG00000096583,0
ENSDARG00000063003,0
ENSDARG00000002377,0
ENSDARG00000015803,0
ENSDARG00000037739,1
ENSDARG00000076176,4
