Name	pathBMD	pval	adj.pval	perc.path	num.hits
Ribosome biogenesis in eukaryotes	-1.18336556968826	0.546669994012474	0.99999	0.0238095238095238	1
Porphyrin and chlorophyll metabolism	3.37462819575803	0.313664402384673	0.99999	0.05	1
Aminoacyl-tRNA biosynthesis	3.37462819575803	0.351374958524166	0.99999	0.0434782608695652	1
Phototransduction	3.56604348326075	0.245902155092633	0.99999	0.0666666666666667	1
Lysosome	4.59061405619533	0.196544637398712	0.99999	0.0365853658536585	3
Cardiac muscle contraction	4.64860357706822	0.224924306037401	0.99999	0.0416666666666667	2
Glycine, serine and threonine metabolism	4.78171957504025	0.431535329631877	0.99999	0.0333333333333333	1
Herpes simplex infection	5.0211994507128	0.348989509390575	0.99999	0.0303030303030303	2
Phagosome	5.23996112731265	0.029714868018976	0.99999	0.0634920634920635	4
Oxidative phosphorylation	5.26206999091302	0.421841777286731	0.99999	0.025974025974026	2
Autophagy - animal	5.27239839617376	0.173108768463254	0.99999	0.038961038961039	3
Apoptosis	5.27239839617376	0.187075268208941	0.99999	0.0375	3
VEGF signaling pathway	5.27239839617376	0.501827122510664	0.99999	0.027027027027027	1
Adipocytokine signaling pathway	5.27239839617376	0.529236541081045	0.99999	0.025	1
Adrenergic signaling in cardiomyocytes	5.29722048135639	0.0926958812495072	0.99999	0.0434782608695652	4
Apelin signaling pathway	5.38095202461919	0.453578456682505	0.99999	0.024390243902439	2
Wnt signaling pathway	5.45056573057234	0.536830339728504	0.99999	0.0208333333333333	2
Necroptosis	5.48303334161314	0.270530097064564	0.99999	0.0309278350515464	3
Cytosolic DNA-sensing pathway	5.48303334161314	0.339039775485006	0.99999	0.0454545454545455	1
Calcium signaling pathway	5.48950565306462	0.382602113736906	0.99999	0.0252100840336134	3
Cellular senescence	5.51756712362026	0.525477504304577	0.99999	0.0212765957446809	2
Proteasome	5.61019811508552	0.420718275313405	0.99999	0.0344827586206897	1
Sphingolipid metabolism	5.66036887693328	0.55514414678489	0.99999	0.0232558139534884	1
beta-Alanine metabolism	5.79086201744837	0.36348092688177	0.99999	0.0416666666666667	1
Arginine and proline metabolism	5.79086201744837	0.462794598191829	0.99999	0.0303030303030303	1
Neuroactive ligand-receptor interaction	5.8156795191632	0.136315455784743	0.99999	0.0305676855895197	7
Tight junction	5.8232222706613	0.290828104301709	0.99999	0.0297029702970297	3
Adherens junction	5.8232222706613	0.501827122510664	0.99999	0.027027027027027	1
Progesterone-mediated oocyte maturation	5.84074787158138	0.30794648963049	0.99999	0.0333333333333333	2
Drug metabolism - cytochrome P450	5.86510302126734	0.398465563618556	0.99999	0.037037037037037	1
Metabolism of xenobiotics by cytochrome P450	5.86510302126734	0.431535329631877	0.99999	0.0333333333333333	1
Pentose and glucuronate interconversions	5.96418789593476	0.245902155092633	0.99999	0.0666666666666667	1
Vascular smooth muscle contraction	5.97198160437771	0.421841777286731	0.99999	0.025974025974026	2
RNA polymerase	6.10194615240593	0.300615326646156	0.99999	0.0526315789473684	1
Fructose and mannose metabolism	6.12290824795263	0.107023700077715	0.99999	0.0666666666666667	2
Glycerophospholipid metabolism	6.23301571094844	0.369215513026308	0.99999	0.0289855072463768	2
Insulin signaling pathway	6.2816285999705	0.177730842134863	0.99999	0.0384615384615385	3
Galactose metabolism	6.2816285999705	0.339039775485006	0.99999	0.0454545454545455	1
Starch and sucrose metabolism	6.2816285999705	0.36348092688177	0.99999	0.0416666666666667	1
Glycolysis / Gluconeogenesis	6.2816285999705	0.501827122510664	0.99999	0.027027027027027	1
Peroxisome	6.4223210143815	0.342198474831091	0.99999	0.0307692307692308	2
Ubiquitin mediated proteolysis	6.52058023261625	0.215816848081918	0.99999	0.0348837209302326	3
Mucin type O-glycan biosynthesis	6.67095998593297	0.326471057287389	0.99999	0.0476190476190476	1
Autophagy - other	6.85885581002728	0.259967461754845	0.99999	0.0625	1
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	6.86076514217208	0.245902155092633	0.99999	0.0666666666666667	1
Notch signaling pathway	6.86112179446448	0.420718275313405	0.99999	0.0344827586206897	1
Mannose type O-glycan biosynthesis	6.90827339210923	0.273771553935152	0.99999	0.0588235294117647	1
Other types of O-glycan biosynthesis	6.93154705078087	0.287319261814614	0.99999	0.0555555555555556	1
Primary bile acid biosynthesis	6.96767777268645	0.273771553935152	0.99999	0.0588235294117647	1
PPAR signaling pathway	6.96767777268645	0.538035136755569	0.99999	0.024390243902439	1
