sample,chemical,dose
DBC_10-1_A-GQReadsPerGene.out.tab,DBC,0.3
DBC_10-1_B-GQReadsPerGene.out.tab,DBC,0.3
DBC_10-1_C-GQReadsPerGene.out.tab,DBC,0.3
DBC_10-2_A-GQReadsPerGene.out.tab,DBC,0.03
DBC_10-2_B-GQReadsPerGene.out.tab,DBC,0.03
DBC_10-2_C-GQReadsPerGene.out.tab,DBC,0.03
DBC_10-3_A-GQReadsPerGene.out.tab,DBC,0.003
DBC_10-3_B-GQReadsPerGene.out.tab,DBC,0.003
DBC_10-3_C-GQReadsPerGene.out.tab,DBC,0.003
DBC_10-4_A-GQReadsPerGene.out.tab,DBC,0.0003
DBC_10-4_B-GQReadsPerGene.out.tab,DBC,0.0003
DBC_10-4_C-GQReadsPerGene.out.tab,DBC,0.0003
DBC_3uM_A-GQReadsPerGene.out.tab,DBC,3
DBC_3uM_B-GQReadsPerGene.out.tab,DBC,3
DBC_3uM_C-GQReadsPerGene.out.tab,DBC,3
DBP_10-1_A-GQReadsPerGene.out.tab,DBP,0.3
DBP_10-1_B-GQReadsPerGene.out.tab,DBP,0.3
DBP_10-1_C-GQReadsPerGene.out.tab,DBP,0.3
DBP_10-2_A-GQReadsPerGene.out.tab,DBP,0.03
DBP_10-2_B-GQReadsPerGene.out.tab,DBP,0.03
DBP_10-2_C-GQReadsPerGene.out.tab,DBP,0.03
DBP_10-3_A-GQReadsPerGene.out.tab,DBP,0.003
DBP_10-3_B-GQReadsPerGene.out.tab,DBP,0.003
DBP_10-3_C-GQReadsPerGene.out.tab,DBP,0.003
DBP_10-4_A-GQReadsPerGene.out.tab,DBP,0.0003
DBP_10-4_B-GQReadsPerGene.out.tab,DBP,0.0003
DBP_10-4_C-GQReadsPerGene.out.tab,DBP,0.0003
DBP_3uM_A-GQReadsPerGene.out.tab,DBP,3
DBP_3uM_B-GQReadsPerGene.out.tab,DBP,3
DBP_3uM_C-GQReadsPerGene.out.tab,DBP,3
DEHC_10-1_A-GQReadsPerGene.out.tab,DEHC,0.3
DEHC_10-1_B-GQReadsPerGene.out.tab,DEHC,0.3
DEHC_10-1_C-GQReadsPerGene.out.tab,DEHC,0.3
DEHC_10-2_A-GQReadsPerGene.out.tab,DEHC,0.03
DEHC_10-2_B-GQReadsPerGene.out.tab,DEHC,0.03
DEHC_10-2_C-GQReadsPerGene.out.tab,DEHC,0.03
DEHC_10-3_A-GQReadsPerGene.out.tab,DEHC,0.003
DEHC_10-3_B-GQReadsPerGene.out.tab,DEHC,0.003
DEHC_10-3_C-GQReadsPerGene.out.tab,DEHC,0.003
DEHC_10-4_A-GQReadsPerGene.out.tab,DEHC,0.0003
DEHC_10-4_C-GQReadsPerGene.out.tab,DEHC,0.0003
DEHC_3uM_A-GQReadsPerGene.out.tab,DEHC,3
DEHC_3uM_B-GQReadsPerGene.out.tab,DEHC,3
DEHC_3uM_C-GQReadsPerGene.out.tab,DEHC,3
DEHP_10-1_A-GQReadsPerGene.out.tab,DEHP,0.3
DEHP_10-1_B-GQReadsPerGene.out.tab,DEHP,0.3
DEHP_10-1_C-GQReadsPerGene.out.tab,DEHP,0.3
DEHP_10-2_A-GQReadsPerGene.out.tab,DEHP,0.03
DEHP_10-2_B-GQReadsPerGene.out.tab,DEHP,0.03
DEHP_10-2_C-GQReadsPerGene.out.tab,DEHP,0.03
