sample,chemical,dose
DEHP_10-1_A-GQReadsPerGene.out.tab,DEHP,0.3
DEHP_10-1_B-GQReadsPerGene.out.tab,DEHP,0.3
DEHP_10-1_C-GQReadsPerGene.out.tab,DEHP,0.3
DEHP_10-2_A-GQReadsPerGene.out.tab,DEHP,0.03
DEHP_10-2_B-GQReadsPerGene.out.tab,DEHP,0.03
DEHP_10-2_C-GQReadsPerGene.out.tab,DEHP,0.03
DEHP_10-3_A-GQReadsPerGene.out.tab,DEHP,0.003
DEHP_10-3_B-GQReadsPerGene.out.tab,DEHP,0.003
DEHP_10-3_C-GQReadsPerGene.out.tab,DEHP,0.003
DEHP_10-4_A-GQReadsPerGene.out.tab,DEHP,0.0003
DEHP_10-4_B-GQReadsPerGene.out.tab,DEHP,0.0003
DEHP_10-4_C-GQReadsPerGene.out.tab,DEHP,0.0003
DEHP_3uM_A-GQReadsPerGene.out.tab,DEHP,3
DEHP_3uM_B-GQReadsPerGene.out.tab,DEHP,3
DEHP_3uM_C-GQReadsPerGene.out.tab,DEHP,3
DEHP_10-1_A-GQReadsPerGene.out.tab,DEHP_ds,0.3
DEHP_10-1_B-GQReadsPerGene.out.tab,DEHP_ds,0.3
DEHP_10-1_C-GQReadsPerGene.out.tab,DEHP_ds,0.3
DEHP_10-2_A-GQReadsPerGene.out.tab,DEHP_ds,0.03
DEHP_10-2_B-GQReadsPerGene.out.tab,DEHP_ds,0.03
DEHP_10-2_C-GQReadsPerGene.out.tab,DEHP_ds,0.03
DEHP_10-3_A-GQReadsPerGene.out.tab,DEHP_ds,0.003
DEHP_10-3_B-GQReadsPerGene.out.tab,DEHP_ds,0.003
DEHP_10-3_C-GQReadsPerGene.out.tab,DEHP_ds,0.003
DEHP_10-4_A-GQReadsPerGene.out.tab,DEHP_ds,0.0003
DEHP_10-4_B-GQReadsPerGene.out.tab,DEHP_ds,0.0003
DEHP_10-4_C-GQReadsPerGene.out.tab,DEHP_ds,0.0003
DEHP_3uM_A-GQReadsPerGene.out.tab,DEHP_ds,3
DEHP_3uM_B-GQReadsPerGene.out.tab,DEHP_ds,3
DEHP_3uM_C-GQReadsPerGene.out.tab,DEHP_ds,3
SANT_10-1_A-GQReadsPerGene.out.tab,SANT,0.3
SANT_10-1_B-GQReadsPerGene.out.tab,SANT,0.3
SANT_10-1_C-GQReadsPerGene.out.tab,SANT,0.3
SANT_10-2_A-GQReadsPerGene.out.tab,SANT,0.03
SANT_10-2_B-GQReadsPerGene.out.tab,SANT,0.03
SANT_10-2_C-GQReadsPerGene.out.tab,SANT,0.03
SANT_10-3_B-GQReadsPerGene.out.tab,SANT,0.003
SANT_10-3_C-GQReadsPerGene.out.tab,SANT,0.003
SANT_10-4_A-GQReadsPerGene.out.tab,SANT,0.0003
SANT_10-4_B-GQReadsPerGene.out.tab,SANT,0.0003
SANT_10-4_C-GQReadsPerGene.out.tab,SANT,0.0003
SANT_3uM_A-GQReadsPerGene.out.tab,SANT,3
SANT_3uM_B-GQReadsPerGene.out.tab,SANT,3
SANT_3uM_C-GQReadsPerGene.out.tab,SANT,3
SANT_10-1_A-GQReadsPerGene.out.tab,SANT_ds,0.3
SANT_10-1_B-GQReadsPerGene.out.tab,SANT_ds,0.3
SANT_10-1_C-GQReadsPerGene.out.tab,SANT_ds,0.3
SANT_10-2_A-GQReadsPerGene.out.tab,SANT_ds,0.03
SANT_10-2_B-GQReadsPerGene.out.tab,SANT_ds,0.03
SANT_10-2_C-GQReadsPerGene.out.tab,SANT_ds,0.03
SANT_10-3_B-GQReadsPerGene.out.tab,SANT_ds,0.003
SANT_10-3_C-GQReadsPerGene.out.tab,SANT_ds,0.003
SANT_10-4_A-GQReadsPerGene.out.tab,SANT_ds,0.0003
SANT_10-4_B-GQReadsPerGene.out.tab,SANT_ds,0.0003
SANT_10-4_C-GQReadsPerGene.out.tab,SANT_ds,0.0003
SANT_3uM_A-GQReadsPerGene.out.tab,SANT_ds,3
SANT_3uM_B-GQReadsPerGene.out.tab,SANT_ds,3
SANT_3uM_C-GQReadsPerGene.out.tab,SANT_ds,3
