Identifier,TGSH-1ug/L-B
ENSDARG00000099104,697
ENSDARG00000102407,1
ENSDARG00000102097,0
ENSDARG00000099319,0
ENSDARG00000099640,11
ENSDARG00000104071,15
ENSDARG00000102746,5
ENSDARG00000103929,11
ENSDARG00000101073,0
ENSDARG00000100223,16
ENSDARG00000096573,0
ENSDARG00000100782,4
ENSDARG00000034862,9
ENSDARG00000075827,10
ENSDARG00000088581,16
ENSDARG00000076900,9
ENSDARG00000013802,10
ENSDARG00000096578,0
ENSDARG00000109848,0
ENSDARG00000100181,0
ENSDARG00000029936,9
ENSDARG00000041589,0
ENSDARG00000041592,21
ENSDARG00000075108,0
ENSDARG00000016304,6
ENSDARG00000058803,18
ENSDARG00000063385,7
ENSDARG00000007804,15
ENSDARG00000068261,9
ENSDARG00000063371,0
ENSDARG00000078751,7
ENSDARG00000078878,1
ENSDARG00000016343,4
ENSDARG00000023678,13
ENSDARG00000011299,11
ENSDARG00000041575,7
ENSDARG00000058962,5
ENSDARG00000089799,0
ENSDARG00000075325,37
ENSDARG00000041570,15
ENSDARG00000113329,0
ENSDARG00000081781,0
ENSDARG00000058996,11
ENSDARG00000014313,180
ENSDARG00000104279,231
ENSDARG00000103783,4
ENSDARG00000103519,0
ENSDARG00000100307,0
ENSDARG00000101089,1
ENSDARG00000115421,5
ENSDARG00000115673,0
ENSDARG00000116514,0
ENSDARG00000103469,0
ENSDARG00000117321,0
ENSDARG00000087646,2
ENSDARG00000080051,0
ENSDARG00000067781,1
ENSDARG00000099108,0
ENSDARG00000001870,137
ENSDARG00000002791,183
ENSDARG00000007739,17
ENSDARG00000039131,17
ENSDARG00000040252,3
ENSDARG00000089477,4
ENSDARG00000093102,0
ENSDARG00000095102,0
ENSDARG00000040250,0
ENSDARG00000075505,0
ENSDARG00000010376,0
ENSDARG00000033684,0
ENSDARG00000040247,0
ENSDARG00000078743,0
ENSDARG00000018460,81
ENSDARG00000040246,3
ENSDARG00000040245,31
ENSDARG00000082290,0
ENSDARG00000074381,3
ENSDARG00000095179,0
ENSDARG00000084484,0
ENSDARG00000070579,1
ENSDARG00000038248,4
ENSDARG00000070581,4
ENSDARG00000096559,0
ENSDARG00000103156,4
ENSDARG00000103647,1
ENSDARG00000104805,0
ENSDARG00000100273,0
ENSDARG00000104910,0
ENSDARG00000099103,0
ENSDARG00000098078,0
ENSDARG00000104155,0
ENSDARG00000117575,0
ENSDARG00000088916,0
ENSDARG00000098769,15
ENSDARG00000104115,0
ENSDARG00000102013,0
ENSDARG00000117775,0
ENSDARG00000082581,0
ENSDARG00000078308,27
ENSDARG00000033928,38
ENSDARG00000031164,53
ENSDARG00000037777,3
ENSDARG00000016706,17
ENSDARG00000030350,0
ENSDARG00000006526,92
ENSDARG00000077688,2
ENSDARG00000096546,26
ENSDARG00000092671,5
ENSDARG00000113935,0
ENSDARG00000063297,1
ENSDARG00000027078,30
ENSDARG00000017537,0
ENSDARG00000063270,5
ENSDARG00000018008,0
ENSDARG00000074031,3
ENSDARG00000043247,8
ENSDARG00000113848,2
ENSDARG00000063253,3
ENSDARG00000073857,32
ENSDARG00000107682,0
ENSDARG00000070558,1
ENSDARG00000025754,18
ENSDARG00000096530,0
ENSDARG00000116636,0
ENSDARG00000063207,1
ENSDARG00000095087,0
ENSDARG00000096610,0
ENSDARG00000117465,0
ENSDARG00000102217,0
ENSDARG00000090408,4
ENSDARG00000013741,12
ENSDARG00000017441,5088
ENSDARG00000037713,27
ENSDARG00000021688,0
ENSDARG00000004953,0
ENSDARG00000074050,2
ENSDARG00000018319,25
ENSDARG00000098730,15
ENSDARG00000096630,0
ENSDARG00000117359,0
ENSDARG00000106375,0
ENSDARG00000079779,1
ENSDARG00000089090,1
ENSDARG00000109652,0
