.id,chemical,cil_POD,median_POD,ciu_POD,,cil,median,ciu,,cil,median,ciu
20th gene,BPA,2.59839431955093,2.67895154695743,2.74982749238333,,396.638,477.476,562.118,,0.396638,0.477476,0.562118
20th gene,BPAF,-0.0101712299886772,0.0169790490953341,0.208876507828987,,0.976852,1.03987,1.61762,,0.000976852,0.00103987,0.00161762
20th gene,DES,1.47458773299354,1.55562761383635,1.57895307195786,,29.8255,35.9441,37.9274,,0.0298255,0.0359441,0.0379274
20th gene,EE2,-2.21214650037646,-2.00750922303372,-1.19295027279764,,0.00613555,0.00982858,0.0641283,,0.00000613555,0.00000982858,0.0000641283
20th gene,TGSH,1.1700562572508,1.63841936486263,2.40055353046711,,14.793,43.493,251.509,,0.014793,0.043493,0.251509
10th pct,BPA,0.789254869096568,1.02280358388086,2.53861149742781,,6.15538,10.539101421007,345.630052591927,,0.00615538,0.010539101421007,0.345630052591927
10th pct,BPAF,0.208876507828987,0.360087641288123,0.611990810470885,,1.61762,2.29133,4.09252,,0.00161762,0.00229133,0.00409252
10th pct,DES,0.178838871471138,1.4982634504677,1.56634555061951,,1.50952,31.4965837139522,36.8421995590654,,0.00150952,0.0314965837139522,0.0368421995590654
10th pct,EE2,-2.00750922303372,-1.60375795598343,-0.514366576740871,,0.00982858,0.0249024481213459,0.305938,,0.00000982858,2.49024481213459E-05,0.000305938
10th pct,TGSH,2.45294650719799,2.4903847429146,2.52343809236975,,283.756949857606,309.303434846277,333.76292467543,,0.283756949857606,0.309303434846277,0.33376292467543
1st Mode,BPA,0.00804610017222779,0.989556768180704,2.73503857881089,,1.01869951683012,9.76240381952766,543.29859110328,,0.00101869951683012,0.00976240381952766,0.54329859110328
1st Mode,BPAF,0.0237829021592535,0.109942375904335,0.963577469661489,,1.05628935269021,1.28807863243476,9.19554490753454,,0.00105628935269021,0.00128807863243476,0.00919554490753454
1st Mode,DES,-0.95213870871969,1.70141204278391,1.72879434728948,,0.111650659131674,50.2819420035881,53.5543000249013,,0.000111650659131674,0.0502819420035881,0.0535543000249013
1st Mode,EE2,-2.20988832906441,-2.06037135284012,-0.324746012242723,,0.00616753568449056,0.00870219172111264,0.473428052196821,,6.16753568449056E-06,8.70219172111264E-06,0.000473428052196821
1st Mode,TGSH,2.67139366806016,2.68525687185885,2.69422128440005,,469.238532668399,484.458825388872,494.562615390056,,0.469238532668399,0.484458825388872,0.494562615390056
GO Term,BPA,2.59839431955093,2.62083016287809,2.88226490822326,,396.638,417.667,762.544,,0.396638,0.417667,0.762544
GO Term,BPAF,0.135323508106677,0.221771438317668,0.352180587909376,,1.3656,1.66637,2.24999,,0.0013656,0.00166637,0.00224999
GO Term,DES,1.47458773299354,1.48822769563411,1.73094207954706,,29.8255,30.7771,53.8198,,0.0298255,0.0307771,0.0538198
GO Term,EE2,-2.3422349324765,-1.1982610597542,-0.313740997993425,,0.00454742,0.0633488798874929,0.485578,,0.00000454742,6.33488798874929E-05,0.000485578
GO Term,TGSH,1.00812729983402,1.98959352044429,2.84938562719768,,10.1889,97.6323,706.945,,0.0101889,0.0976323,0.706945
Reactome,BPA,0.00839574978501867,1.02458417323361,2.87841895434128,,1.01952,10.5824,755.821,,0.00101952,0.0105824,0.755821
Reactome,BPAF,-0.306508724161778,-0.177469723601346,0.964087009814656,,0.493732,0.664554,9.20634,,0.000493732,0.000664554,0.00920634
Reactome,DES,1.48822769563411,1.63140154126283,1.92107751636005,,30.7771,42.7958386304089,83.383,,0.0307771,0.0427958386304089,0.083383
Reactome,EE2,-3.00521448434681,-0.523013397441891,-0.3696901226426,,0.000988065,0.299907,0.426884,,0.000000988065,0.000299907,0.000426884
Reactome,TGSH,2.52938543387943,2.54936502338107,2.79528132078887,,338.365,354.295,624.139,,0.338365,0.354295,0.624139
