Signaling Pathway Analyses
Organism Code: mmu
Signaling Pathway File Creation Date: 11/15/21
Pathway DB Name: BioPlanet
Deduplicate Gene Sets: false
Data Source: bmdexpress_input_BitA_24h2
Work Source: bmdexpress_input_BitA_24h2_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress2 Version: BMDExpress 2.30.0507 BETA
Timestamp (Start Time): 02/23/2022 15:12.05
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 1522
Total Run Time: 63 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
1	Inhibition of matrix metalloproteinases	9	9	2	2	0	1	2	1	2	0	0	388	9	8590	0.67208	1.0	1.0	0.0																														0	0	0															0															0																							
10	Adhesion and diapedesis of granulocytes	3	14	3	3	0	3	3	3	3	0	0	388	14	8585	0.53885	1.0	1.0	0.0																														0	0	0															0															0																							
100	Phospholipase C epsilon pathway	9	11	4	3	0	3	2	2	4	0	0	388	11	8588	0.61524	1.0	1.0	0.0																														0	0	0															0															0																							
1000	Platelet adhesion to exposed collagen	8	13	3	3	1	3	3	3	3	1	1	387	12	8587	0.89402	0.4368	0.4368	7.69	22371	vwf	Vwf_65542		10.2929	10.2929	10.2929		10.2929		7.11603	7.11603	7.11603		7.116030000000001		17.9841	17.9841	17.9841		17.9841		0.0	10.2929			10.2929	7.11603	17.9841	1	0	1	22371	Vwf_65542	10.2929	10.2929		7.11603	7.11603		17.9841	17.9841		10.2929	7.11603	17.9841	0															0						Linear,1(1)	6.806782722473144	6.8067827224731445	6.8067827224731445	6.8067827224731445	0.0	6.8067827224731445	10.2929	10.2929	7.11603	7.11603	17.9841	17.9841	UP	1.0	0.0	0.0	
1002	Integrin-mediated cell adhesion	78	97	26	26	5	26	24	24	26	5	5	383	92	8507	0.75888	0.40875	0.61265	5.15	21961;109905;23938;12389;12336	tns1;rap1a;map2k5;cav1;capns1	Tns1_71037;Rap1a_77941;Map2k5_68611;Cav1_31411;Capns1_74461	21961(-0.004208);23938(-0.4283);12389(0.3037)	15.53526	14.1425	12.4951	4.170669865021689	14.33016664356131	2.9104731997010718	10.531361999999998	10.8974	8.38667	1.7230355017584644	10.17466071857671	1.7740766155869216	26.76484	23.7752	21.871	5.950747893584476	25.55601581947011	4.2599826069335744	3.5	18.5798			22.8876;14.1425;13.8791;14.272;12.4951	10.8974;12.3953;9.13524;11.8422;8.38667	36.5879;21.871;28.0737;23.5164;23.7752	1	4	1	23938	Map2k5_68611	13.8791	13.8791		9.13524	9.13524		28.0737	28.0737		13.8791	9.13524	28.0737	4	21961;109905;12389;12336	Tns1_71037;Rap1a_77941;Cav1_31411;Capns1_74461	15.9493	14.20725	4.695720252172904	10.8803925	11.3698	1.7737868683201534	26.437624999999997	23.6458	6.819193716940946	22.8876;14.1425;14.272;12.4951	10.8974;12.3953;11.8422;8.38667	36.5879;21.871;23.5164;23.7752	0						Hill,2(0.4);Linear,2(0.4);Poly 2,1(0.2)	7.666187775868266	66.52901005744934	2.6536552906036377	45.69914627075195	18.178079006478608	5.645426273345947	11.879506678679842	19.191013321320153	9.021054792245677	12.041669207754323	21.54877949164873	31.980900508351276	DOWN	0.2	0.8	0.0	
1003	Apoptotic cleavage of cell adhesion  proteins	5	12	2	2	2	2	2	2	2	2	2	386	10	8589	0.98687	0.092218	0.092218	16.67	21872;12387	tjp1;ctnnb1	Tjp1_79252;Ctnnb1_31871		16.628800000000002	16.628800000000002	13.9839	3.740453451120602	15.422496421003062	3.3287618374702572	12.2675	12.2675	11.6117	0.927441254204264	11.96839837532376	0.8253627785598188	24.1532	24.1532	22.6238	2.162898222293442	23.455661078408287	1.9248396363670375	0.0	13.9839	0.5	16.628800000000002	13.9839;19.2737	11.6117;12.9233	22.6238;25.6826	0	2	0															2	21872;12387	Tjp1_79252;Ctnnb1_31871	16.628800000000002	16.628800000000002	3.740453451120602	12.2675	12.2675	0.927441254204264	24.1532	24.1532	2.162898222293442	13.9839;19.2737	11.6117;12.9233	22.6238;25.6826	0						Hill,2(1)	3.7699285527327895	9.507881760597229	1.8578068017959595	7.6500749588012695	4.095752092269361	4.7539408802986145	11.444796	21.812804000000003	10.982132000000002	13.552867999999998	21.155575999999996	27.150824	DOWN	0.0	1.0	0.0	
1004	Localization of the PINCH-ILK-PARVIN complex to focal adhesions	4	4	1	1	0	1	1	1	1	0	0	388	4	8595	0.83815	1.0	1.0	0.0																														0	0	0															0															0																							
1005	Apoptotic execution  phase	38	49	14	13	3	14	13	12	14	3	3	385	46	8553	0.83998	0.35526	0.46961	6.12	27061;21872;12387	bcap31;tjp1;ctnnb1	Bcap31_60795;Tjp1_79252;Ctnnb1_31871		15.807666666666668	14.1654	13.9839	3.003044432460718	14.907015293790801	2.340117460904919	12.215966666666667	12.1129	11.6117	0.6618464273026898	12.02765227114877	0.555868047767351	23.659566666666667	22.6723	22.6238	1.7521660775546726	23.13443842200305	1.3645444716163526	1.5	16.71955			14.1654;13.9839;19.2737	12.1129;11.6117;12.9233	22.6723;22.6238;25.6826	0	3	0															3	27061;21872;12387	Bcap31_60795;Tjp1_79252;Ctnnb1_31871	15.807666666666668	14.1654	3.003044432460718	12.215966666666667	12.1129	0.6618464273026898	23.659566666666667	22.6723	1.7521660775546726	14.1654;13.9839;19.2737	12.1129;11.6117;12.9233	22.6723;22.6238;25.6826	0						Hill,3(1)	4.372419439912186	15.389532208442688	1.8578068017959595	7.6500749588012695	2.9684174611359255	5.881650447845459	12.409401984186243	19.205931349147093	11.467016929254484	12.96491640407885	21.676804095846066	25.642329237487267	DOWN	0.0	1.0	0.0	
1006	Apoptosis	188	230	65	58	10	65	52	51	65	10	10	378	220	8379	0.59222	0.53734	0.87039	4.35	19766;54401;22123;19181;18035;16150;12048;27061;21872;12387	ripk1;ywhab;psmd3;psmc2;nfkbia;ikbkb;bcl2l1;bcap31;tjp1;ctnnb1	Ripk1_65501;Ywhab_60393;Psmd3_74969;Psmc2_60765;Nfkbia_55629;Ikbkb_67891,Ikbkb_80666;Bcl2l1_29914;Bcap31_60795;Tjp1_79252;Ctnnb1_31871	19766(0.2979);12048(-0.007109)	13.290385000000004	13.692375	4.02285	4.877260918284738	13.378280677708474	4.903539094456846	9.460341	10.174325	2.68507	3.254977656183597	9.352519749986897	3.0953644319017792	19.084448000000002	20.1244	7.69093	5.744138367746533	18.05635132554117	5.770529304981854					13.6377;8.18755;11.497;4.02285;21.137;13.74705;13.2517;14.1654;13.9839;19.2737	9.41023;5.80768;7.82304;2.68507;12.1905;10.93842;9.10057;12.1129;11.6117;12.9233	19.2397;13.3611;21.0091;7.69093;25.4799;18.52985;14.5552;22.6723;22.6238;25.6826	4	7	3	18035;16150;12048	Nfkbia_55629;Ikbkb_67891,Ikbkb_80666;Bcl2l1_29914	16.04525	13.74705	4.416535005238836	10.743163333333333	10.93842	1.5541913413841193	19.521649999999998	18.52985	5.529468143727754	21.137;13.74705;13.2517	12.1905;10.93842;9.10057	25.4799;18.52985;14.5552	7	19766;54401;22123;19181;27061;21872;12387	Ripk1_65501;Ywhab_60393;Psmd3_74969;Psmc2_60765;Bcap31_60795;Tjp1_79252;Ctnnb1_31871	12.109728571428573	13.6377	4.874286494098145	8.91056	9.41023	3.7298387135951776	18.897075714285716	21.0091	6.258153335246898	13.6377;8.18755;11.497;4.02285;14.1654;13.9839;19.2737	9.41023;5.80768;7.82304;2.68507;12.1129;11.6117;12.9233	19.2397;13.3611;21.0091;7.69093;22.6723;22.6238;25.6826	0						Hill,8(0.73);Linear,2(0.19);Poly 2,1(0.1)	5.014283060190493	71.20298445224762	1.8578068017959595	21.509580612182617	5.570421519054572	5.881650447845459	10.267427364037982	16.313342635962016	7.442884947206664	11.477797052793335	15.524194154300783	22.64470184569922	DOWN	0.3	0.7	0.0	
1007	Apoptotic factor-mediated response	7	7	1	1	0	1	1	1	1	0	0	388	7	8592	0.73415	1.0	1.0	0.0																														0	0	0															0															0																							
1008	Apoptotic cleavage of cellular proteins	15	17	6	6	1	6	6	6	6	1	1	387	16	8583	0.83459	0.52808	0.52808	5.88	27061	bcap31	Bcap31_60795		14.1654	14.1654	14.1654		14.1654		12.1129	12.1129	12.1129		12.1129		22.6723	22.6723	22.6723		22.6723		0.0	14.1654			14.1654	12.1129	22.6723	0	1	0															1	27061	Bcap31_60795	14.1654	14.1654		12.1129	12.1129		22.6723	22.6723		14.1654	12.1129	22.6723	0						Hill,1(1)	5.881650447845459	5.881650447845459	5.881650447845459	5.881650447845459	0.0	5.881650447845459	14.1654	14.1654	12.1129	12.1129	22.6723	22.6723	DOWN	0.0	1.0	0.0	
1009	Apoptosis modulation by HSP70	17	18	6	6	1	6	6	6	6	1	1	387	17	8582	0.81894	0.54849	0.54849	5.56	19766	ripk1	Ripk1_65501	19766(0.2979)	13.6377	13.6377	13.6377		13.6377		9.41023	9.41023	9.41023		9.41023		19.2397	19.2397	19.2397		19.2397		0.0	13.6377			13.6377	9.41023	19.2397	0	1	0															1	19766	Ripk1_65501	13.6377	13.6377		9.41023	9.41023		19.2397	19.2397		13.6377	9.41023	19.2397	0						Hill,1(1)	2.0685465335845947	2.0685465335845947	2.0685465335845947	2.0685465335845947	0.0	2.0685465335845947	13.6377	13.6377	9.41023	9.41023	19.2397	19.2397	DOWN	0.0	1.0	0.0	
101	Phospholipase C signaling pathway	8	10	2	2	1	2	2	2	2	1	1	387	9	8590	0.93348	0.35697	0.35697	10.0	18803	plcg1	Plcg1_66733	18803(-0.4784)	0.26027	0.26027	0.26027		0.26027		0.101611	0.101611	0.101611		0.101611		0.936398	0.936398	0.936398		0.9363980000000001		0.0	0.26027	0.0	0.26027	0.26027	0.101611	0.936398	1	0	1	18803	Plcg1_66733	0.26027	0.26027		0.101611	0.101611		0.936398	0.936398		0.26027	0.101611	0.936398	0															0						Hill,1(1)	4.593407154083252	4.593407154083252	4.593407154083252	4.593407154083252	0.0	4.593407154083252	0.26027	0.26027	0.101611	0.101611	0.936398	0.936398	UP	1.0	0.0	0.0	
