Signaling Pathway Analyses
Organism Code: mmu
Signaling Pathway File Creation Date: 11/15/21
Pathway DB Name: BioPlanet
Deduplicate Gene Sets: false
Data Source: bmdexpress_input_BitC_24h2
Work Source: bmdexpress_input_BitC_24h2_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress2 Version: BMDExpress 2.30.0507 BETA
Timestamp (Start Time): 02/23/2022 15:06.56
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 1566
Total Run Time: 65 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
1	Inhibition of matrix metalloproteinases	7	9	4	4	0	3	4	3	4	0	0	894	9	8084	0.38928	1.0	1.0	0.0																														0	0	0															0															0																							
10	Adhesion and diapedesis of granulocytes	4	14	2	1	0	1	0	0	1	0	0	894	14	8079	0.23038	1.0	0.38682	0.0																														0	0	0															0															0																							
100	Phospholipase C epsilon pathway	9	11	5	5	0	5	4	4	5	0	0	894	11	8082	0.31561	1.0	0.61602	0.0																														0	0	0															0															0																							
1000	Platelet adhesion to exposed collagen	6	13	4	4	1	4	4	4	4	1	1	893	12	8081	0.62385	0.74413	1.0	7.69	12843	col1a2	Col1a2_31136,Col1a2_63239	12843(-0.03007)	29.701	29.701	29.701		29.701		16.4902	16.4902	16.4902		16.4902		42.1704	42.1704	42.1704		42.1704		0.0	29.701			29.701	16.4902	42.1704	0	2	0															1	12843	Col1a2_31136,Col1a2_63239	29.701	29.701		16.4902	16.4902		42.1704	42.1704		29.701	16.4902	42.1704	0						Power,2(1)	2.2614819478061383	4.531005859375	2.130584716796875	2.400421142578125	0.1908031664810624	2.2655029296875	29.701	29.701	16.4902	16.4902	42.1704	42.1704	DOWN	0.0	1.0	0.0	
1002	Integrin-mediated cell adhesion	73	97	39	38	11	37	38	36	37	10	10	884	87	8006	0.62961	0.50228	0.86441	10.31	20411;54126;20779;20416;19353;23938;18709;16400;14784;330662	sorbs1;arhgef7;src;shc1;rac1;map2k5;pik3r2;itga3;grb2;dock1	Sorbs1_80288;Arhgef7_63741;Src_61324;Shc1_69720,Shc1_77672;Rac1_30873;Map2k5_68611;Pik3r2_72627;Itga3_73165;Grb2_31853,Grb2_29420;Dock1_73668	54126(-0.1552);20416(0.04758);19353(0.02082);23938(0.4099);18709(0.4105);14784(-0.8492);330662(0.1254)	13.081153	12.9659425	5.60117	5.530681731759456	14.341909269710241	5.633131938562966	8.011561	7.53805	3.64681	3.133218585074208	8.765994111859838	3.256965298261789	24.6229125	24.5469725	8.96703	11.860879408888986	25.52253016610512	11.763166477745944	3.5	10.1303275	8.5	20.2012	5.60117;8.65376;14.8715;11.060385;7.12354;18.7048;18.7142;9.20027;15.193705000000001;21.6882	3.98811;6.14274;10.0734;6.51407;3.64681;11.481;8.44588;6.63022;10.31448;12.8789	8.96703;14.1716;28.9011;18.46255;31.6955;49.3858;32.3749;13.1767;25.318945;23.775	2	8	2	20779;23938	Src_61324;Map2k5_68611	16.788149999999998	16.788149999999998	2.7105524243223997	10.7772	10.7772	0.9953235051981635	39.14345	39.14345	14.48487028057207	14.8715;18.7048	10.0734;11.481	28.9011;49.3858	7	20411;54126;20416;19353;18709;16400;330662	Sorbs1_80288;Arhgef7_63741;Shc1_69720,Shc1_77672;Rac1_30873;Pik3r2_72627;Itga3_73165;Dock1_73668	11.720217857142856	9.20027	6.096957282215899	6.892390000000001	6.51407	3.108968190809718	20.374754285714282	18.46255	9.199712484735345	5.60117;8.65376;11.060385;7.12354;18.7142;9.20027;21.6882	3.98811;6.14274;6.51407;3.64681;8.44588;6.63022;12.8789	8.96703;14.1716;18.46255;31.6955;32.3749;13.1767;23.775	1	14784	Grb2_31853,Grb2_29420	6.23831,24.1491	4.55056,16.0784	9.55159,41.0863	Exp 2,2(0.17);Exp 3,1(0.09);Hill,2(0.17);Linear,4(0.34);Poly 2,1(0.09);Power,2(0.17)	2.9297466417630753	37.85335612297058	1.8442871570587158	6.608766078948975	1.3672842893778916	2.76326847076416	9.653200947974518	16.509105052025483	6.069572001343105	9.953549998656893	17.271463279002568	31.974361720997436	DOWN	0.2	0.7	0.1	
1003	Apoptotic cleavage of cell adhesion  proteins	6	12	5	5	3	5	5	5	5	2	2	892	10	8083	0.89059	0.33861	0.33861	16.67	21872;12367	tjp1;casp3	Tjp1_75295,Tjp1_79252;Casp3_74474	21872(-0.351);12367(-0.0181)	14.884024999999998	14.884024999999998	12.7692	2.9908141970456983	14.14462057484828	2.802058485003856	9.179870000000001	9.179870000000001	8.57009	0.8623591460638542	8.966673149022254	0.8079340952493248	24.2651	24.2651	24.1279	0.19403010075808091	24.31306911665543	0.18178450895043088	0.0	12.7692	0.5	14.884024999999998	16.998849999999997;12.7692	9.78965;8.57009	24.1279;24.4023	0	3	0															2	21872;12367	Tjp1_75295,Tjp1_79252;Casp3_74474	14.884024999999998	14.884024999999998	2.9908141970456983	9.179870000000001	9.179870000000001	0.8623591460638542	24.2651	24.2651	0.19403010075808091	16.998849999999997;12.7692	9.78965;8.57009	24.1279;24.4023	0						Hill,1(0.34);Linear,1(0.34);Power,1(0.34)	3.3945578889602133	10.802399396896362	2.0879733562469482	4.858766555786133	1.4028680740807749	3.8556594848632812	10.738968	19.029081999999995	7.984701200000002	10.3750388	23.996188	24.534012	DOWN	0.0	1.0	0.0	
1004	Localization of the PINCH-ILK-PARVIN complex to focal adhesions	4	4	2	2	0	2	2	2	2	0	0	894	4	8089	0.65758	1.0	1.0	0.0																														0	0	0															0															0																							
1005	Apoptotic execution  phase	38	49	22	22	7	19	21	19	20	6	6	888	43	8050	0.78954	0.36055	0.62846	12.24	227753;12370;12369;11518;21872;12367	gsn;casp8;casp7;add1;tjp1;casp3	Gsn_79720;Casp8_30720;Casp7_57185;Add1_70712;Tjp1_75295,Tjp1_79252;Casp3_74474	12370(-0.3147);11518(0.1045);21872(-0.351);12367(-0.0181)	13.499673333333334	11.5824	6.77386	6.700093325211721	12.652084035701142	5.974286191475828	7.574825000000001	7.797065	4.83198	1.9330998633981593	7.432280753895227	1.809886265477534	22.828549999999996	21.5796	10.8649	10.949900770280989	21.887690038032147	9.738332304674401	1.5	9.652815	3.5	14.884024999999998	25.1505;10.3956;8.91003;6.77386;16.998849999999997;12.7692	9.19113;7.02404;6.04206;4.83198;9.78965;8.57009	42.5905;19.0313;15.9544;10.8649;24.1279;24.4023	0	7	0															6	227753;12370;12369;11518;21872;12367	Gsn_79720;Casp8_30720;Casp7_57185;Add1_70712;Tjp1_75295,Tjp1_79252;Casp3_74474	13.499673333333334	11.5824	6.700093325211721	7.574825000000001	7.797065	1.9330998633981593	22.828549999999996	21.5796	10.949900770280989	25.1505;10.3956;8.91003;6.77386;16.998849999999997;12.7692	9.19113;7.02404;6.04206;4.83198;9.78965;8.57009	42.5905;19.0313;15.9544;10.8649;24.1279;24.4023	0						Exp 2,3(0.43);Hill,1(0.15);Linear,1(0.15);Power,2(0.29)	3.097351427838015	22.442821979522705	2.0879733562469482	4.858766555786133	0.9284230402440682	2.9665844440460205	8.138482107239925	18.860864559426744	6.028022959524675	9.121627040475326	14.066804590376352	31.59029540962365	DOWN	0.0	1.0	0.0	
1006	Apoptosis	186	230	100	96	39	91	90	84	95	33	33	861	197	7896	0.98818	0.019589	0.032984	14.35	170770;320207;94275;26926;12633;18710;54401;26398;57296;19182;19177;19175;26443;19166;26440;19055;18036;18035;16992;16363;16188;13144;12578;12371;12363;11796;227753;12370;12369;11518;21872;12367;18709	bbc3;pik3r5;maged1;aifm1;cflar;pik3r3;ywhab;map2k4;psmd8;psmc3;psmb7;psmb6;psma6;psma2;psma1;ppp3ca;nfkbib;nfkbia;lta;irf2;il3ra;dapk3;cdkn2a;casp9;casp4;birc3;gsn;casp8;casp7;add1;tjp1;casp3;pik3r2	Bbc3_31767;Pik3r5_80143;Maged1_73803;Aifm1_75407;Cflar_66695;Gm49337_78417;Ywhab_60393;Map2k4_70072;Psmd8_31614;Psmc3_54556;Psmb7_67113;Psmb6_69968;Psma6_55725;Psma2_31299;Psma1_73656;Ppp3ca_59808;Nfkbib_31167;Nfkbia_55629;Lta_61740;Irf2_75222;Il3ra_71203;Dapk3_76304;Cdkn2a_29751;Casp9_66180;Casp4_65759;Birc3_31711;Gsn_79720;Casp8_30720;Casp7_57185;Add1_70712;Tjp1_75295,Tjp1_79252;Casp3_74474;Pik3r2_72627	12633(0.3826);57296(0.4123);18036(0.45);16363(-0.05175);13144(-0.305);12370(-0.3147);11518(0.1045);21872(-0.351);12367(-0.0181);18709(0.4105)	17.11488393939394	14.8154	2.35554	10.140304358963705	16.798100743399353	10.174523004607169	10.192227424242423	8.84787	0.945435	5.924060401063894	10.437832732232076	6.176815469057571	27.15360242424243	24.9135	6.18304	12.426018548547384	26.318759555086007	11.636539017752792	10.5	12.2996	22.0	21.0917	21.0917;13.2823;12.8959;26.395;40.6244;8.4231;3.1964;18.6832;30.7661;12.4816;23.3586;24.0615;12.184;2.35554;7.55913;7.67566;9.01948;15.4341;22.2301;36.2858;14.8154;26.2827;41.8672;12.4152;6.16762;15.5272;25.1505;10.3956;8.91003;6.77386;16.998849999999997;12.7692;18.7142	13.7815;8.84787;3.72237;10.4944;25.8554;5.99598;2.00434;11.4716;17.4311;8.17601;16.2043;15.0914;8.07065;0.945435;5.32635;5.3069;6.3731;9.23449;17.5369;17.8827;9.96676;14.1262;25.6455;8.37528;4.57944;10.0027;9.19113;7.02404;6.04206;4.83198;9.78965;8.57009;8.44588	22.1722;25.9691;22.1745;43.0973;41.634;13.6952;6.18304;49.2572;39.4091;24.9135;38.295;43.3268;23.7035;10.6942;12.4698;13.1316;14.9445;24.997;31.2417;43.2903;29.1619;43.2886;43.3043;23.3661;9.10374;33.8985;42.5905;19.0313;15.9544;10.8649;24.1279;24.4023;32.3749	13	21	13	170770;320207;94275;12633;19177;19175;18036;18035;16992;16188;13144;12363;11796	Bbc3_31767;Pik3r5_80143;Maged1_73803;Cflar_66695;Psmb7_67113;Psmb6_69968;Nfkbib_31167;Nfkbia_55629;Lta_61740;Il3ra_71203;Dapk3_76304;Casp4_65759;Birc3_31711	18.830076923076923	15.5272	8.926653495421624	11.94787923076923	10.0027	6.044794802593196	29.24673384615385	29.1619	10.783963798184718	21.0917;13.2823;12.8959;40.6244;23.3586;24.0615;9.01948;15.4341;22.2301;14.8154;26.2827;6.16762;15.5272	13.7815;8.84787;3.72237;25.8554;16.2043;15.0914;6.3731;9.23449;17.5369;9.96676;14.1262;4.57944;10.0027	22.1722;25.9691;22.1745;41.634;38.295;43.3268;14.9445;24.997;31.2417;29.1619;43.2886;9.10374;33.8985	20	26926;18710;54401;26398;57296;19182;26443;19166;26440;19055;16363;12578;12371;227753;12370;12369;11518;21872;12367;18709	Aifm1_75407;Gm49337_78417;Ywhab_60393;Map2k4_70072;Psmd8_31614;Psmc3_54556;Psma6_55725;Psma2_31299;Psma1_73656;Ppp3ca_59808;Irf2_75222;Cdkn2a_29751;Casp9_66180;Gsn_79720;Casp8_30720;Casp7_57185;Add1_70712;Tjp1_75295,Tjp1_79252;Casp3_74474;Pik3r2_72627	16.0000085	12.4484	10.933048721761137	9.051053749999998	8.275645	5.705185002390112	25.793067	23.9157	13.47802648141707	26.395;8.4231;3.1964;18.6832;30.7661;12.4816;12.184;2.35554;7.55913;7.67566;36.2858;41.8672;12.4152;25.1505;10.3956;8.91003;6.77386;16.998849999999997;12.7692;18.7142	10.4944;5.99598;2.00434;11.4716;17.4311;8.17601;8.07065;0.945435;5.32635;5.3069;17.8827;25.6455;8.37528;9.19113;7.02404;6.04206;4.83198;9.78965;8.57009;8.44588	43.0973;13.6952;6.18304;49.2572;39.4091;24.9135;23.7035;10.6942;12.4698;13.1316;43.2903;43.3043;23.3661;42.5905;19.0313;15.9544;10.8649;24.1279;24.4023;32.3749	0						Exp 2,10(0.3);Exp 4,2(0.06);Hill,5(0.15);Linear,7(0.21);Poly 2,1(0.03);Power,9(0.27)	2.9479327469800105	118.24088656902313	1.5225757360458374	12.040188789367676	2.361410962616444	2.5343732833862305	13.655091128961876	20.574676749826008	8.170984189462365	12.213470659022486	22.913941747927847	31.39326310055701	DOWN	0.3939393939393939	0.6060606060606061	0.0	
1007	Apoptotic factor-mediated response	7	7	4	4	3	4	3	4	4	3	3	891	4	8089	0.99734	0.025279	0.025279	42.86	12371;12369;12367	casp9;casp7;casp3	Casp9_66180;Casp7_57185;Casp3_74474	12367(-0.0181)	11.36481	12.4152	8.91003	2.133257517577282	11.123783542234332	2.215669982499128	7.662476666666667	8.37528	6.04206	1.4066983913523718	7.503276411595518	1.461198277696844	21.24093333333333	23.3661	15.9544	4.607494289018	20.722550666061153	4.7838886624292565	0.0	8.91003	0.0	8.91003	12.4152;8.91003;12.7692	8.37528;6.04206;8.57009	23.3661;15.9544;24.4023	0	3	0															3	12371;12369;12367	Casp9_66180;Casp7_57185;Casp3_74474	11.36481	12.4152	2.133257517577282	7.662476666666667	8.37528	1.4066983913523718	21.24093333333333	23.3661	4.607494289018	12.4152;8.91003;12.7692	8.37528;6.04206;8.57009	23.3661;15.9544;24.4023	0						Exp 2,1(0.34);Linear,2(0.67)	2.1741542787690133	6.688430547714233	1.6927745342254639	2.9076826572418213	0.6196917505819326	2.0879733562469482	8.950801868032887	13.778818131967114	6.070647584631499	9.254305748701835	16.027062719947104	26.454803946719558	DOWN	0.0	1.0	0.0	
1008	Apoptotic cleavage of cellular proteins	14	17	8	8	3	7	8	7	8	3	3	891	14	8079	0.91881	0.23566	0.23566	17.65	12370;12369;12367	casp8;casp7;casp3	Casp8_30720;Casp7_57185;Casp3_74474	12370(-0.3147);12367(-0.0181)	10.691609999999999	10.3956	8.91003	1.9465391627963868	10.552782805498024	2.1887895932000663	7.212063333333333	7.02404	6.04206	1.2744600820085903	7.119298858030504	1.4336963278868862	19.796000000000003	19.0313	15.9544	4.275550042976922	19.528258783656565	4.7942827734714	0.0	8.91003	0.5	9.652815	10.3956;8.91003;12.7692	7.02404;6.04206;8.57009	19.0313;15.9544;24.4023	0	3	0															3	12370;12369;12367	Casp8_30720;Casp7_57185;Casp3_74474	10.691609999999999	10.3956	1.9465391627963868	7.212063333333333	7.02404	1.2744600820085903	19.796000000000003	19.0313	4.275550042976922	10.3956;8.91003;12.7692	7.02404;6.04206;8.57009	19.0313;15.9544;24.4023	0						Exp 2,2(0.67);Linear,1(0.34)	2.452094302756359	7.424164056777954	2.0879733562469482	2.9076826572418213	0.4118040638202258	2.4285080432891846	8.488893577127879	12.894326422872123	5.769875985351917	8.65425068131475	14.957759662236967	24.634240337763032	DOWN	0.0	1.0	0.0	
1009	Apoptosis modulation by HSP70	17	18	10	9	5	10	8	9	10	5	5	889	13	8080	0.9938	0.02749	0.02749	27.78	26926;12371;12370;12369;12367	aifm1;casp9;casp8;casp7;casp3	Aifm1_75407;Casp9_66180;Casp8_30720;Casp7_57185;Casp3_74474	12370(-0.3147);12367(-0.0181)	14.177006	12.4152	8.91003	7.007234172994364	13.33872640084191	6.360472820557856	8.101174	8.37528	6.04206	1.6898753741267425	7.9106009021281585	1.689278032184856	25.170279999999998	23.3661	15.9544	10.581143894305576	23.918623070626758	9.765191167965035	0.0	8.91003	0.5	9.652815	26.395;12.4152;10.3956;8.91003;12.7692	10.4944;8.37528;7.02404;6.04206;8.57009	43.0973;23.3661;19.0313;15.9544;24.4023	0	5	0															5	26926;12371;12370;12369;12367	Aifm1_75407;Casp9_66180;Casp8_30720;Casp7_57185;Casp3_74474	14.177006	12.4152	7.007234172994364	8.101174	8.37528	1.6898753741267425	25.170279999999998	23.3661	10.581143894305576	26.395;12.4152;10.3956;8.91003;12.7692	10.4944;8.37528;7.02404;6.04206;8.57009	43.0973;23.3661;19.0313;15.9544;24.4023	0						Exp 2,2(0.4);Linear,2(0.4);Power,1(0.2)	2.149870788476983	10.957079887390137	1.6927745342254639	2.9076826572418213	0.48784940570897695	2.0879733562469482	8.034894437530632	20.319117562469366	6.6199329256602875	9.582415074339714	15.895498445269354	34.44506155473064	DOWN	0.0	1.0	0.0	
101	Phospholipase C signaling pathway	7	10	4	4	2	4	4	4	4	2	2	892	8	8085	0.93081	0.26185	0.26185	20.0	18795;18750	plcb1;prkca	Plcb1_67259;Prkca_56923		7.75165	7.75165	2.8669	6.908079698801976	6.07850097323601	6.490201059557202	4.339225	4.339225	1.54729	3.9483923422641287	3.382917445255474	3.709549003575381	13.86578	13.86578	6.60506	10.268208696593577	11.378801832927817	9.64707152610639	0.0	2.8669	0.0	2.8669	12.6364;2.8669	7.13116;1.54729	21.1265;6.60506	0	2	0															2	18795;18750	Plcb1_67259;Prkca_56923	7.75165	7.75165	6.908079698801976	4.339225	4.339225	3.9483923422641287	13.86578	13.86578	10.268208696593577	12.6364;2.8669	7.13116;1.54729	21.1265;6.60506	0						Exp 4,1(0.5);Power,1(0.5)	4.096521114836375	10.173171281814575	2.0713131427764893	8.101858139038086	4.2642392611071775	5.086585640907288	-1.8224599999999995	17.32576	-1.132967599999998	9.811417599999999	-0.3652311999999984	28.0967912	DOWN	0.0	1.0	0.0	
