Signaling Pathway Analyses
Organism Code: mmu
Signaling Pathway File Creation Date: 11/15/21
Pathway DB Name: BioPlanet
Deduplicate Gene Sets: false
Data Source: bmdexpress_input_BitB_24h2
Work Source: bmdexpress_input_BitB_24h2_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress2 Version: BMDExpress 2.30.0507 BETA
Timestamp (Start Time): 02/24/2022 16:27.07
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 1593
Total Run Time: 97 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
1	Inhibition of matrix metalloproteinases	7	9	4	4	0	4	4	4	4	0	0	1079	9	7899	0.3161	1.0	0.61143	0.0																														0	0	0															0															0																							
10	Adhesion and diapedesis of granulocytes	4	14	2	2	1	1	1	1	1	1	1	1078	13	7895	0.48542	0.83338	1.0	7.14	16409	itgam	Gm49368_79325	16409(-0.04035)	70.6933	70.6933	70.6933		70.69329999999998		40.9406	40.9406	40.9406		40.9406		72.145	72.145	72.145		72.145		0.0	70.6933			70.6933	40.9406	72.145	1	0	1	16409	Gm49368_79325	70.6933	70.6933		40.9406	40.9406		72.145	72.145		70.6933	40.9406	72.145	0															0						Power,1(1)	11.495303153991701	11.4953031539917	11.4953031539917	11.4953031539917	0.0	11.4953031539917	70.6933	70.6933	40.9406	40.9406	72.145	72.145	UP	1.0	0.0	0.0	
100	Phospholipase C epsilon pathway	9	11	7	6	3	7	5	5	7	3	3	1076	8	7900	0.96593	0.13669	0.13669	27.27	19088;19084;18749	prkar2b;prkar1a;prkacb	Prkar2b_30641,Prkar2b_56567;Prkar1a_62490;Prkacb_29599	19088(-0.8372);18749(-0.5345)	38.51085	20.1134	18.739649999999997	33.06215630267482	30.823100632276198	27.810508184572598	22.973138333333335	16.3898	11.781815	15.564778490663086	19.76482408871939	12.956624455139371	47.275716666666675	33.7993	28.504550000000002	28.052425341150688	41.167873966278606	23.424364844546346	0.0	18.739649999999997	0.5	19.426524999999998	18.739649999999997;76.6795;20.1134	11.781815;40.7478;16.3898	28.504550000000002;79.5233;33.7993	0	2	0															2	19084;18749	Prkar1a_62490;Prkacb_29599	48.39645	48.39645	39.99827289527637	28.5688	28.5688	17.223706976141916	56.661300000000004	56.661300000000004	32.33175046297369	76.6795;20.1134	40.7478;16.3898	79.5233;33.7993	1	19088	Prkar2b_30641,Prkar2b_56567	20.182,17.2973	9.32973,14.2339	36.2689,20.7402	Hill,3(0.75);Power,1(0.25)	4.469041007682455	25.20711648464203	1.7058616876602173	15.5946044921875	6.31869172981084	3.9533251523971558	1.0974981109759767	75.92420188902402	5.359933392469323	40.58634327419734	15.531409035281612	79.02002429805172	DOWN	0.0	0.6666666666666666	0.3333333333333333	
1000	Platelet adhesion to exposed collagen	7	13	5	5	2	5	5	5	5	2	2	1077	11	7897	0.80141	0.47416	0.66355	15.38	22371;12843	vwf;col1a2	Vwf_65542;Col1a2_75004	12843(0.4495)	19.48075	19.48075	15.9261	5.027034239489513	17.430311400991393	4.106394568035463	14.69135	14.69135	11.2856	4.816457840052172	12.726801800156537	3.9343826537315336	29.9401	29.9401	26.1952	5.296088369731002	27.77991896686669	4.326174733893875	0.0	15.9261	0.5	19.48075	15.9261;23.0354	11.2856;18.0971	26.1952;33.685	1	1	1	22371	Vwf_65542	15.9261	15.9261		11.2856	11.2856		26.1952	26.1952		15.9261	11.2856	26.1952	1	12843	Col1a2_75004	23.0354	23.0354		18.0971	18.0971		33.685	33.685		23.0354	18.0971	33.685	0						Hill,1(0.5);Linear,1(0.5)	5.094450512081825	10.22252893447876	4.697020053863525	5.525508880615234	0.5858300675334202	5.11126446723938	12.513636000000002	26.447864	8.016079999999999	21.36662	22.600096	37.280104	CONFLICT	0.5	0.5	0.0	
1002	Integrin-mediated cell adhesion	77	97	52	51	18	51	49	48	51	18	18	1061	79	7829	0.97946	0.038746	0.057601	18.56	26431;12927;20416;19303;18607;224105;18479;320910;16410;16407;16402;16400;16202;14784;330662;12928;12389;16409	git2;bcar1;shc1;pxn;pdpk1;pak2;pak1;itgb8;itgav;itgae;itga5;itga3;ilk;grb2;dock1;crk;cav1;itgam	Git2_73402;Bcar1_60042;Shc1_30382,Shc1_77672;Pxn_76487;Pdpk1_64313;Pak2_58714;Pak1_79482;Itgb8_57829;Itgav_68117;Itgae_31885;Itga5_61476;Itga3_73165;Ilk_30371;Grb2_31853,Grb2_29420;Dock1_73668;Crk_80676;Cav1_31411;Gm49368_79325	26431(-0.4803);20416(-0.8227);19303(-0.5061);18607(-0.7904);18479(-0.05002);16410(0.04088);16202(-0.528);14784(-0.811);330662(0.2028);12928(-0.759);16409(-0.04035)	28.477633333333333	21.1973	6.97246	20.573324042525957	28.570780436608153	21.9075412000219	17.160698888888888	14.97753	3.72597	11.029306910538738	17.166498869025233	11.921558295649945	41.13946111111111	35.03845	13.6174	21.15516029738618	39.07366681263769	20.936994192665153	3.5	15.138100000000001	8.5	21.1973	17.4429;6.97246;45.1695;23.524;20.0699;29.3785;17.3412;12.935;22.3247;74.1914;61.6714;11.9992;8.66574;26.9127;19.8643;25.4192;18.022;70.6933	11.4983;3.72597;26.101119999999998;15.4786;9.63788;18.3226;12.1664;7.292;18.876;40.9889;31.5271;8.71827;6.22118;14.68956;15.2655;17.2903;10.1523;40.9406	33.1321;17.1342;52.38745;37.3244;35.6625;69.7672;29.2678;30.3037;34.3671;76.0666;81.6268;18.548;13.6174;37.09765;34.4144;48.2477;19.4003;72.145	5	13	5	19303;18607;16407;12928;16409	Pxn_76487;Pdpk1_64313;Itgae_31885;Crk_80676;Gm49368_79325	42.779560000000004	25.4192	27.17428895358625	24.867256	17.2903	14.964548186185915	53.889239999999994	48.2477	19.12814038643069	23.524;20.0699;74.1914;25.4192;70.6933	15.4786;9.63788;40.9889;17.2903;40.9406	37.3244;35.6625;76.0666;48.2477;72.145	12	26431;12927;20416;224105;18479;320910;16410;16402;16400;16202;330662;12389	Git2_73402;Bcar1_60042;Shc1_30382,Shc1_77672;Pak2_58714;Pak1_79482;Itgb8_57829;Itgav_68117;Itga5_61476;Itga3_73165;Ilk_30371;Dock1_73668;Cav1_31411	22.648908333333335	17.73245	15.979581762726761	14.155561666666669	11.83235	8.316428098293631	36.163870833333334	31.7179	21.35937557604131	17.4429;6.97246;45.1695;29.3785;17.3412;12.935;22.3247;61.6714;11.9992;8.66574;19.8643;18.022	11.4983;3.72597;26.101119999999998;18.3226;12.1664;7.292;18.876;31.5271;8.71827;6.22118;15.2655;10.1523	33.1321;17.1342;52.38745;69.7672;29.2678;30.3037;34.3671;81.6268;18.548;13.6174;34.4144;19.4003	1	14784	Grb2_31853,Grb2_29420	20.8,33.0254	9.09442,20.2847	38.3172,35.8781	Exp 2,6(0.3);Exp 3,1(0.05);Exp 4,1(0.05);Exp 5,1(0.05);Hill,6(0.3);Linear,2(0.1);Power,3(0.15)	5.184756684724785	132.9791156053543	1.8120845556259155	16.630002975463867	4.631989953293064	5.585718870162964	18.97324253121469	37.98202413545198	12.065419052845561	22.255978724932227	31.366275672909254	50.91264654931297	DOWN	0.2777777777777778	0.6666666666666666	0.05555555555555555	
1003	Apoptotic cleavage of cell adhesion  proteins	5	12	3	3	1	3	3	3	3	1	1	1078	11	7897	0.56823	0.78473	1.0	8.33	21872	tjp1	Tjp1_75295		22.461	22.461	22.461		22.461		19.2721	19.2721	19.2721		19.2721		31.6028	31.6028	31.6028		31.6028		0.0	22.461			22.461	19.2721	31.6028	0	1	0															1	21872	Tjp1_75295	22.461	22.461		19.2721	19.2721		31.6028	31.6028		22.461	19.2721	31.6028	0						Hill,1(1)	6.351769924163818	6.351769924163818	6.351769924163818	6.351769924163818	0.0	6.351769924163818	22.461	22.461	19.2721	19.2721	31.6028	31.6028	DOWN	0.0	1.0	0.0	
1004	Localization of the PINCH-ILK-PARVIN complex to focal adhesions	4	4	4	4	2	4	4	4	4	2	2	1077	2	7906	0.99371	0.073228	0.073228	50.0	19303;16202	pxn;ilk	Pxn_76487;Ilk_30371	19303(-0.5061);16202(-0.528)	16.09487	16.09487	8.66574	10.506376402632831	17.379876395816574	10.348017309572931	10.84989	10.84989	6.22118	6.545984458291971	11.650511600965407	6.447319026722286	25.4709	25.4709	13.6174	16.763380461589477	27.521183588093322	16.510711641743075	0.0	8.66574	0.0	8.66574	23.524;8.66574	15.4786;6.22118	37.3244;13.6174	1	1	1	19303	Pxn_76487	23.524	23.524		15.4786	15.4786		37.3244	37.3244		23.524	15.4786	37.3244	1	16202	Ilk_30371	8.66574	8.66574		6.22118	6.22118		13.6174	13.6174		8.66574	6.22118	13.6174	0						Exp 2,1(0.5);Hill,1(0.5)	11.333953674261217	23.218338012695312	9.096342086791992	14.12199592590332	3.5536739095318266	11.609169006347656	1.533775200000001	30.6559648	1.7776184000000015	19.9221616	2.2380400000000016	48.70376	CONFLICT	0.5	0.5	0.0	
1005	Apoptotic execution  phase	36	49	29	29	11	29	28	28	29	11	11	1068	38	7870	0.98866	0.028056	0.042455	22.45	269582;56215;20740;16211;16646;227753;12369;11789;11518;21872;224105	clspn;acin1;sptan1;kpnb1;kpna1;gsn;casp7;apc;add1;tjp1;pak2	Clspn_32267;Acin1_69950,Acin1_70892;Sptan1_31084;Kpnb1_31314;Kpna1_63783,Kpna1_75167;Gsn_79720;Casp7_57185;Apc_78354;Add1_70712;Tjp1_75295;Pak2_58714	16211(0.1764);16646(0.474);12369(-0.01144);11518(-0.6677)	22.86301681818182	19.4185	3.10021	19.502873278943575	30.2625453209628	25.48782619185901	16.08608818181818	14.9513	2.23744	12.454275391987137	20.550648299095002	15.986437981109775	32.69222090909091	29.80255	4.85326	22.970931594190276	38.794416749423625	25.718517496436263	1.5	9.40812	3.5	19.0248425	3.37664;24.22035;19.4185;3.10021;18.862585;76.5393;19.5094;15.4396;19.1871;22.461;29.3785	2.42321;18.0293;15.249;2.23744;12.03132;49.3323;14.1212;10.9772;14.9513;19.2721;18.3226	5.35792;31.4897;23.5491;4.85326;29.80255;79.2973;25.1956;25.1811;33.5179;31.6028;69.7672	3	10	2	56215;20740	Acin1_69950,Acin1_70892;Sptan1_31084	21.819425000000003	21.819425000000003	3.3954206972405974	16.63915	16.63915	1.9659689837329333	27.519399999999997	27.519399999999997	5.614852106689892	24.22035;19.4185	18.0293;15.249	31.4897;23.5491	9	269582;16211;16646;227753;12369;11789;11518;21872;224105	Clspn_32267;Kpnb1_31314;Kpna1_63783,Kpna1_75167;Gsn_79720;Casp7_57185;Apc_78354;Add1_70712;Tjp1_75295;Pak2_58714	23.09492611111111	19.1871	21.764160834347564	15.963185555555555	14.1212	13.90358326610546	33.84173666666666	29.80255	25.445288827851805	3.37664;3.10021;18.862585;76.5393;19.5094;15.4396;19.1871;22.461;29.3785	2.42321;2.23744;12.03132;49.3323;14.1212;10.9772;14.9513;19.2721;18.3226	5.35792;4.85326;29.80255;79.2973;25.1956;25.1811;33.5179;31.6028;69.7672	0						Exp 2,1(0.08);Exp 5,1(0.08);Hill,7(0.54);Linear,1(0.08);Poly 2,2(0.16);Power,1(0.08)	5.3956042188010755	132.3718831539154	1.57051420211792	44.88786697387695	14.580875956324348	4.585653305053711	11.337555229072349	34.38847840729129	8.726081756225781	23.44609460741058	19.117267825601346	46.26717399258047	DOWN	0.18181818181818182	0.8181818181818182	0.0	
1006	Apoptosis	181	230	125	124	37	122	120	118	124	36	36	1043	194	7714	0.9622	0.056355	0.099058	15.65	171543;72993;53859;12633;18710;54401;66997;19182;19179;19175;19167;19108;19055;18036;16150;16002;16001;15201;12371;12122;12028;12015;269582;56215;20740;16211;16646;227753;12369;11789;11518;21872;224105;19088;19084;18749	bmf;appl1;map3k14;cflar;pik3r3;ywhab;psmd12;psmc3;psmc1;psmb6;psma3;prkx;ppp3ca;nfkbib;ikbkb;igf2;igf1r;hells;casp9;bid;bax;bad;clspn;acin1;sptan1;kpnb1;kpna1;gsn;casp7;apc;add1;tjp1;pak2;prkar2b;prkar1a;prkacb	Bmf_30266;Appl1_61968;Map3k14_66710;Cflar_66695;Pik3r3_29609,Gm49337_78417;Ywhab_60393;Psmd12_31537;Psmc3_54556;Psmc1_30361;Psmb6_69968;Psma3_68324;Prkx_29220;Ppp3ca_59808;Nfkbib_31167,Nfkbib_70947;Ikbkb_80666;Igf2_60821;Igf1r_30022;Hells_29658;Casp9_71311;Bid_29213;Bax_29957;Bad_31862;Clspn_32267;Acin1_69950,Acin1_70892;Sptan1_31084;Kpnb1_31314;Kpna1_63783,Kpna1_75167;Gsn_79720;Casp7_57185;Apc_78354;Add1_70712;Tjp1_75295;Pak2_58714;Prkar2b_30641,Prkar2b_56567;Prkar1a_62490;Prkacb_29599	12633(0.06512);66997(-0.03901);19179(-0.06907);19108(-0.9076);18036(0.4023);15201(0.3491);12371(-0.1706);12122(-0.1498);12015(-0.01501);16211(0.1764);16646(0.474);12369(-0.01144);11518(-0.6677);19088(-0.8372);18749(-0.5345)	21.69953319444444	19.0248425	2.11632	18.900683430439575	21.75200119364569	18.979256754662366	13.814451527777775	12.06201	1.56115	10.982374386077828	13.40733165406521	11.45670686380006	31.183630000000008	26.320050000000002	3.14598	20.546083406515624	30.970517751503234	20.510647312859373	10.5	14.67175	22.0	19.6955	5.97011;20.3959;13.9039;23.3259;25.2347;3.96359;6.39132;19.6955;17.7854;20.5454;15.4456;11.9241;18.5695;51.1476;5.39318;74.1981;19.4658;2.11632;11.4794;16.3057;7.63134;23.2691;3.37664;24.22035;19.4185;3.10021;18.862585;76.5393;19.5094;15.4396;19.1871;22.461;29.3785;18.739649999999997;76.6795;20.1134	3.98249;17.2342;10.2464;12.0927;16.274;2.57038;4.231;7.61694;9.01453;16.3196;6.94163;6.23992;12.7876;27.130499999999998;2.80688;41.4971;14.3065;1.56115;6.62258;11.5242;4.85367;15.5999;2.42321;18.0293;15.249;2.23744;12.03132;49.3323;14.1212;10.9772;14.9513;19.2721;18.3226;11.781815;40.7478;16.3898	11.5491;33.4696;20.9706;40.7577;42.23935;7.26942;12.4531;33.4809;19.3149;35.176;22.9959;21.1065;19.5358;69.16555;13.7797;76.0748;24.5747;3.14598;25.6392;27.0009;16.8536;44.6158;5.35792;31.4897;23.5491;4.85326;29.80255;79.2973;25.1956;25.1811;33.5179;31.6028;69.7672;28.504550000000002;79.5233;33.7993	11	26	10	171543;53859;12633;19175;16150;16002;12028;12015;56215;20740	Bmf_30266;Map3k14_66710;Cflar_66695;Psmb6_69968;Ikbkb_80666;Igf2_60821;Bax_29957;Bad_31862;Acin1_69950,Acin1_70892;Sptan1_31084	21.787588	19.98195	19.849483921405334	14.067704000000003	13.670850000000002	11.099545808561718	31.48161	27.519399999999997	19.318388664025093	5.97011;13.9039;23.3259;20.5454;5.39318;74.1981;7.63134;23.2691;24.22035;19.4185	3.98249;10.2464;12.0927;16.3196;2.80688;41.4971;4.85367;15.5999;18.0293;15.249	11.5491;20.9706;40.7577;35.176;13.7797;76.0748;16.8536;44.6158;31.4897;23.5491	24	72993;18710;54401;66997;19182;19179;19167;19108;19055;16001;15201;12371;12122;269582;16211;16646;227753;12369;11789;11518;21872;224105;19084;18749	Appl1_61968;Pik3r3_29609,Gm49337_78417;Ywhab_60393;Psmd12_31537;Psmc3_54556;Psmc1_30361;Psma3_68324;Prkx_29220;Ppp3ca_59808;Igf1r_30022;Hells_29658;Casp9_71311;Bid_29213;Clspn_32267;Kpnb1_31314;Kpna1_63783,Kpna1_75167;Gsn_79720;Casp7_57185;Apc_78354;Add1_70712;Tjp1_75295;Pak2_58714;Prkar1a_62490;Prkacb_29599	20.559169375	18.7160425	18.708285414350417	13.238787499999999	11.77776	11.2725068235247	29.588520000000006	25.4174	20.751528066067593	20.3959;25.2347;3.96359;6.39132;19.6955;17.7854;15.4456;11.9241;18.5695;19.4658;2.11632;11.4794;16.3057;3.37664;3.10021;18.862585;76.5393;19.5094;15.4396;19.1871;22.461;29.3785;76.6795;20.1134	17.2342;16.274;2.57038;4.231;7.61694;9.01453;6.94163;6.23992;12.7876;14.3065;1.56115;6.62258;11.5242;2.42321;2.23744;12.03132;49.3323;14.1212;10.9772;14.9513;19.2721;18.3226;40.7478;16.3898	33.4696;42.23935;7.26942;12.4531;33.4809;19.3149;22.9959;21.1065;19.5358;24.5747;3.14598;25.6392;27.0009;5.35792;4.85326;29.80255;79.2973;25.1956;25.1811;33.5179;31.6028;69.7672;79.5233;33.7993	2	18036;19088	Nfkbib_31167,Nfkbib_70947;Prkar2b_30641,Prkar2b_56567	40.2105,62.0847;20.182,17.2973	19.4406,34.8204;9.32973,14.2339	58.551,79.7801;36.2689,20.7402	Exp 2,3(0.08);Exp 3,2(0.05);Exp 4,2(0.05);Exp 5,1(0.03);Hill,18(0.44);Linear,3(0.08);Poly 2,7(0.18);Power,5(0.13)	6.206389732183	389.9780339002609	1.57051420211792	47.276885986328125	11.130168810703434	5.774496078491211	15.525309940500854	27.873756448388043	10.226875894992354	17.4020271605632	24.47190942053822	37.89535057946177	DOWN	0.2777777777777778	0.6666666666666666	0.05555555555555555	
1007	Apoptotic factor-mediated response	7	7	5	5	2	5	5	5	5	2	2	1077	5	7903	0.95837	0.20135	0.20135	28.57	12371;12369	casp9;casp7	Casp9_71311;Casp7_57185	12371(-0.1706);12369(-0.01144)	15.494399999999999	15.494399999999999	11.4794	5.678067452927977	16.190456257175658	5.592089177909574	10.37189	10.37189	6.62258	5.302325051541067	11.021885189437429	5.22203633265955	25.4174	25.4174	25.1956	0.31367256813404515	25.378947876004588	0.3089228841001615	0.0	11.4794	0.0	11.4794	11.4794;19.5094	6.62258;14.1212	25.6392;25.1956	0	2	0															2	12371;12369	Casp9_71311;Casp7_57185	15.494399999999999	15.494399999999999	5.678067452927977	10.37189	10.37189	5.302325051541067	25.4174	25.4174	0.31367256813404515	11.4794;19.5094	6.62258;14.1212	25.6392;25.1956	0						Exp 2,1(0.5);Hill,1(0.5)	20.04640692125725	53.840362548828125	8.952495574951172	44.88786697387695	25.410144800637532	26.920181274414062	7.625	23.363799999999998	3.023242400000001	17.7205376	24.982672	25.852128	DOWN	0.0	1.0	0.0	
1008	Apoptotic cleavage of cellular proteins	14	17	14	14	3	14	14	14	14	3	3	1076	14	7894	0.86174	0.33479	0.44823	17.65	269582;56215;12369	clspn;acin1;casp7	Clspn_32267;Acin1_69950,Acin1_70892;Casp7_57185	12369(-0.01144)	15.702130000000002	19.5094	3.37664	10.930989903970266	18.444586189694952	7.2725936855599045	11.524569999999999	14.1212	2.42321	8.120614311103562	13.445406394257883	5.392230857590554	20.681073333333334	25.1956	5.35792	13.638298822072102	23.98434505716483	9.06213767690312	0.0	3.37664	0.5	11.44302	3.37664;24.22035;19.5094	2.42321;18.0293;14.1212	5.35792;31.4897;25.1956	2	2	1	56215	Acin1_69950,Acin1_70892	24.22035	24.22035		18.0293	18.0293		31.4897	31.4897		24.22035	18.0293	31.4897	2	269582;12369	Clspn_32267;Casp7_57185	11.44302	11.44302	11.40758399525508	8.272205	8.272205	8.271728055252423	15.27676	15.27676	14.02735805100875	3.37664;19.5094	2.42321;14.1212	5.35792;25.1956	0						Hill,3(0.75);Poly 2,1(0.25)	11.147269747366675	91.57933783531189	1.8640916347503662	44.88786697387695	22.819044538020428	22.413689613342285	3.332550471410018	28.071709528589984	2.335229837338492	20.713910162661506	5.247885360758039	36.11426130590863	DOWN	0.3333333333333333	0.6666666666666666	0.0	
