F12,Counts
ENSDARG00000000001,4
ENSDARG00000000002,39
ENSDARG00000000018,28
ENSDARG00000000019,142
ENSDARG00000000068,23
ENSDARG00000000069,55
ENSDARG00000000086,277
ENSDARG00000000103,433
ENSDARG00000000142,52
ENSDARG00000000151,85
ENSDARG00000000161,41
ENSDARG00000000175,12
ENSDARG00000000183,84
ENSDARG00000000189,239
ENSDARG00000000212,268
ENSDARG00000000229,66
ENSDARG00000000241,59
ENSDARG00000000349,0
ENSDARG00000000369,8
ENSDARG00000000370,194
ENSDARG00000000380,46
ENSDARG00000000394,179
ENSDARG00000000423,7
ENSDARG00000000442,1
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,0
ENSDARG00000000476,8
ENSDARG00000000489,19
ENSDARG00000000503,685
ENSDARG00000000516,0
ENSDARG00000000529,31
ENSDARG00000000540,56
ENSDARG00000000542,74
ENSDARG00000000551,16
ENSDARG00000000563,55296
ENSDARG00000000567,79
ENSDARG00000000568,47
ENSDARG00000000588,34
ENSDARG00000000606,16
ENSDARG00000000631,68
ENSDARG00000000638,0
ENSDARG00000000651,3
ENSDARG00000000656,0
ENSDARG00000000666,29
ENSDARG00000000690,12
ENSDARG00000000729,33
ENSDARG00000000730,4
ENSDARG00000000747,0
ENSDARG00000000760,8
ENSDARG00000000767,5
ENSDARG00000000779,64
ENSDARG00000000796,13
ENSDARG00000000804,13
ENSDARG00000000830,21
ENSDARG00000000837,94
ENSDARG00000000853,32
ENSDARG00000000857,24
ENSDARG00000000861,434
ENSDARG00000000887,2
ENSDARG00000000906,3
ENSDARG00000000935,243
ENSDARG00000000943,90
ENSDARG00000000966,605
ENSDARG00000001014,468
ENSDARG00000001015,135
ENSDARG00000001057,20
ENSDARG00000001127,110
ENSDARG00000001129,243
ENSDARG00000001154,69
ENSDARG00000001162,91
ENSDARG00000001169,5
ENSDARG00000001210,11
ENSDARG00000001220,328
ENSDARG00000001234,53
ENSDARG00000001241,238
ENSDARG00000001244,454
ENSDARG00000001249,14
ENSDARG00000001259,2
ENSDARG00000001303,0
ENSDARG00000001313,26
ENSDARG00000001354,0
ENSDARG00000001414,34
ENSDARG00000001431,1395
ENSDARG00000001437,68
ENSDARG00000001442,15
ENSDARG00000001447,28
ENSDARG00000001452,14
ENSDARG00000001463,44
ENSDARG00000001470,29
ENSDARG00000001498,0
ENSDARG00000001549,55
ENSDARG00000001557,18
ENSDARG00000001558,45
ENSDARG00000001559,564
ENSDARG00000001572,0
ENSDARG00000001578,39
ENSDARG00000001621,1
ENSDARG00000001634,118
ENSDARG00000001656,0
ENSDARG00000001676,75
ENSDARG00000001686,4
ENSDARG00000001710,164
ENSDARG00000001712,3
ENSDARG00000001721,0
ENSDARG00000001729,211
ENSDARG00000001733,40
ENSDARG00000001734,17
ENSDARG00000001754,48
ENSDARG00000001760,42
ENSDARG00000001767,10
ENSDARG00000001769,76
ENSDARG00000001771,0
ENSDARG00000001776,17
ENSDARG00000001777,82
ENSDARG00000001781,0
ENSDARG00000001782,0
ENSDARG00000001785,40
ENSDARG00000001788,167
ENSDARG00000001803,2
ENSDARG00000001804,0
ENSDARG00000001807,44
ENSDARG00000001817,5
ENSDARG00000001818,143
ENSDARG00000001825,9
ENSDARG00000001829,130
ENSDARG00000001835,73
ENSDARG00000001857,368
ENSDARG00000001859,7
ENSDARG00000001870,709
ENSDARG00000001873,5
ENSDARG00000001879,85
ENSDARG00000001880,11
ENSDARG00000001881,62
ENSDARG00000001882,20
ENSDARG00000001888,55
ENSDARG00000001889,193
ENSDARG00000001890,115
ENSDARG00000001891,8
ENSDARG00000001897,38
ENSDARG00000001898,2
ENSDARG00000001906,7
ENSDARG00000001909,11
ENSDARG00000001910,170
ENSDARG00000001912,7
ENSDARG00000001913,46
ENSDARG00000001929,23
ENSDARG00000001930,17
ENSDARG00000001933,2
ENSDARG00000001937,17
ENSDARG00000001939,25
ENSDARG00000001940,9
ENSDARG00000001950,1032
ENSDARG00000001953,54
ENSDARG00000001968,136
ENSDARG00000001969,19
ENSDARG00000001971,3
ENSDARG00000001975,10
ENSDARG00000001976,34
ENSDARG00000001993,59
ENSDARG00000001994,536
ENSDARG00000001999,53
ENSDARG00000002002,0
ENSDARG00000002006,36
ENSDARG00000002013,91
ENSDARG00000002016,2
ENSDARG00000002020,49
ENSDARG00000002021,59
ENSDARG00000002026,101
ENSDARG00000002031,0
ENSDARG00000002037,17
ENSDARG00000002060,0
ENSDARG00000002071,142
ENSDARG00000002077,15
ENSDARG00000002082,128
ENSDARG00000002084,130
ENSDARG00000002097,4
ENSDARG00000002127,103
ENSDARG00000002128,34
ENSDARG00000002131,277
ENSDARG00000002165,5
ENSDARG00000002167,125
ENSDARG00000002168,42
ENSDARG00000002172,4
ENSDARG00000002174,18
ENSDARG00000002184,73
ENSDARG00000002190,81
ENSDARG00000002192,7
ENSDARG00000002193,1104
ENSDARG00000002194,0
ENSDARG00000002196,45
ENSDARG00000002197,23
ENSDARG00000002204,10
ENSDARG00000002210,9
ENSDARG00000002213,11
ENSDARG00000002215,31
ENSDARG00000002216,11
ENSDARG00000002217,139
ENSDARG00000002219,0
ENSDARG00000002220,0
ENSDARG00000002230,86
ENSDARG00000002231,1
ENSDARG00000002235,108
ENSDARG00000002240,41
ENSDARG00000002241,0
ENSDARG00000002249,76
ENSDARG00000002255,93
ENSDARG00000002259,0
ENSDARG00000002264,25
ENSDARG00000002267,37
ENSDARG00000002271,113
ENSDARG00000002285,27
ENSDARG00000002293,0
ENSDARG00000002295,0
ENSDARG00000002298,0
ENSDARG00000002299,12
ENSDARG00000002300,2
ENSDARG00000002304,0
ENSDARG00000002305,130
ENSDARG00000002311,0
ENSDARG00000002330,0
ENSDARG00000002332,76
ENSDARG00000002333,51
ENSDARG00000002336,108
ENSDARG00000002339,8
ENSDARG00000002344,486
ENSDARG00000002347,0
ENSDARG00000002353,6
ENSDARG00000002355,6
ENSDARG00000002362,59
ENSDARG00000002365,12
ENSDARG00000002369,112
ENSDARG00000002377,12
ENSDARG00000002385,58
ENSDARG00000002391,9
ENSDARG00000002394,2
ENSDARG00000002396,138
ENSDARG00000002401,0
ENSDARG00000002402,33
ENSDARG00000002403,46
ENSDARG00000002405,71
ENSDARG00000002406,0
ENSDARG00000002411,7
ENSDARG00000002445,3
ENSDARG00000002463,38
ENSDARG00000002467,6
ENSDARG00000002479,29
ENSDARG00000002483,1
ENSDARG00000002487,24
ENSDARG00000002494,25
ENSDARG00000002506,14
ENSDARG00000002507,23
ENSDARG00000002508,89
ENSDARG00000002509,2
ENSDARG00000002510,10
ENSDARG00000002523,41
ENSDARG00000002533,0
ENSDARG00000002536,10
ENSDARG00000002538,81
ENSDARG00000002546,46
ENSDARG00000002549,20
ENSDARG00000002552,161
ENSDARG00000002564,79
ENSDARG00000002571,59
ENSDARG00000002576,13
ENSDARG00000002582,27
ENSDARG00000002587,280
ENSDARG00000002589,490
ENSDARG00000002591,49
ENSDARG00000002593,0
ENSDARG00000002597,0
ENSDARG00000002600,105
ENSDARG00000002601,6
ENSDARG00000002607,39
ENSDARG00000002609,27
ENSDARG00000002613,0
ENSDARG00000002632,66
ENSDARG00000002634,28
ENSDARG00000002635,110
ENSDARG00000002642,2
ENSDARG00000002644,29
ENSDARG00000002656,261
ENSDARG00000002659,107
ENSDARG00000002663,34
