H6,Counts
ENSDARG00000000001,25
ENSDARG00000000002,28
ENSDARG00000000018,49
ENSDARG00000000019,165
ENSDARG00000000068,17
ENSDARG00000000069,125
ENSDARG00000000086,364
ENSDARG00000000103,452
ENSDARG00000000142,31
ENSDARG00000000151,220
ENSDARG00000000161,93
ENSDARG00000000175,11
ENSDARG00000000183,255
ENSDARG00000000189,272
ENSDARG00000000212,487
ENSDARG00000000229,70
ENSDARG00000000241,54
ENSDARG00000000349,17
ENSDARG00000000369,0
ENSDARG00000000370,417
ENSDARG00000000380,48
ENSDARG00000000394,157
ENSDARG00000000423,14
ENSDARG00000000442,12
ENSDARG00000000460,0
ENSDARG00000000472,109
ENSDARG00000000474,4
ENSDARG00000000476,38
ENSDARG00000000489,63
ENSDARG00000000503,1293
ENSDARG00000000516,0
ENSDARG00000000529,22
ENSDARG00000000540,58
ENSDARG00000000542,36
ENSDARG00000000551,34
ENSDARG00000000563,45010
ENSDARG00000000567,47
ENSDARG00000000568,81
ENSDARG00000000588,10
ENSDARG00000000606,4
ENSDARG00000000631,89
ENSDARG00000000638,0
ENSDARG00000000651,6
ENSDARG00000000656,0
ENSDARG00000000666,50
ENSDARG00000000690,1
ENSDARG00000000729,76
ENSDARG00000000730,19
ENSDARG00000000747,0
ENSDARG00000000760,22
ENSDARG00000000767,18
ENSDARG00000000779,117
ENSDARG00000000796,26
ENSDARG00000000804,11
ENSDARG00000000830,41
ENSDARG00000000837,88
ENSDARG00000000853,128
ENSDARG00000000857,32
ENSDARG00000000861,229
ENSDARG00000000887,0
ENSDARG00000000906,2
ENSDARG00000000935,39
ENSDARG00000000943,49
ENSDARG00000000966,895
ENSDARG00000001014,546
ENSDARG00000001015,259
ENSDARG00000001057,92
ENSDARG00000001127,223
ENSDARG00000001129,487
ENSDARG00000001154,143
ENSDARG00000001162,183
ENSDARG00000001169,0
ENSDARG00000001210,13
ENSDARG00000001220,395
ENSDARG00000001234,54
ENSDARG00000001241,174
ENSDARG00000001244,524
ENSDARG00000001249,2
ENSDARG00000001259,0
ENSDARG00000001303,0
ENSDARG00000001313,26
ENSDARG00000001354,8
ENSDARG00000001414,7
ENSDARG00000001431,1251
ENSDARG00000001437,79
ENSDARG00000001442,61
ENSDARG00000001447,51
ENSDARG00000001452,0
ENSDARG00000001463,169
ENSDARG00000001470,40
ENSDARG00000001498,0
ENSDARG00000001549,125
ENSDARG00000001557,4
ENSDARG00000001558,53
ENSDARG00000001559,266
ENSDARG00000001572,0
ENSDARG00000001578,48
ENSDARG00000001621,6
ENSDARG00000001634,255
ENSDARG00000001656,0
ENSDARG00000001676,135
ENSDARG00000001686,7
ENSDARG00000001710,196
ENSDARG00000001712,5
ENSDARG00000001721,0
ENSDARG00000001729,207
ENSDARG00000001733,49
ENSDARG00000001734,42
ENSDARG00000001754,78
ENSDARG00000001760,68
ENSDARG00000001767,4
ENSDARG00000001769,119
ENSDARG00000001771,0
ENSDARG00000001776,20
ENSDARG00000001777,109
ENSDARG00000001781,0
ENSDARG00000001782,0
ENSDARG00000001785,37
ENSDARG00000001788,146
ENSDARG00000001803,31
ENSDARG00000001804,0
ENSDARG00000001807,65
ENSDARG00000001817,13
ENSDARG00000001818,159
ENSDARG00000001825,2
ENSDARG00000001829,466
ENSDARG00000001835,227
ENSDARG00000001857,517
ENSDARG00000001859,4
ENSDARG00000001870,1716
ENSDARG00000001873,60
ENSDARG00000001879,160
ENSDARG00000001880,178
ENSDARG00000001881,47
ENSDARG00000001882,43
ENSDARG00000001888,99
ENSDARG00000001889,225
ENSDARG00000001890,113
ENSDARG00000001891,26
ENSDARG00000001897,56
ENSDARG00000001898,13
ENSDARG00000001906,6
ENSDARG00000001909,9
ENSDARG00000001910,294
ENSDARG00000001912,5
ENSDARG00000001913,47
ENSDARG00000001929,21
ENSDARG00000001930,49
ENSDARG00000001933,8
ENSDARG00000001937,21
ENSDARG00000001939,15
ENSDARG00000001940,51
ENSDARG00000001950,1246
ENSDARG00000001953,50
ENSDARG00000001968,132
ENSDARG00000001969,14
ENSDARG00000001971,16
ENSDARG00000001975,16
ENSDARG00000001976,51
ENSDARG00000001993,119
ENSDARG00000001994,641
ENSDARG00000001999,152
ENSDARG00000002002,17
ENSDARG00000002006,127
ENSDARG00000002013,75
ENSDARG00000002016,29
ENSDARG00000002020,80
ENSDARG00000002021,67
ENSDARG00000002026,120
ENSDARG00000002031,34
ENSDARG00000002037,22
ENSDARG00000002060,21
ENSDARG00000002071,111
ENSDARG00000002077,26
ENSDARG00000002082,94
ENSDARG00000002084,102
ENSDARG00000002097,1
ENSDARG00000002127,138
ENSDARG00000002128,30
ENSDARG00000002131,382
ENSDARG00000002165,2
ENSDARG00000002167,63
ENSDARG00000002168,62
ENSDARG00000002172,25
ENSDARG00000002174,21
ENSDARG00000002184,34
ENSDARG00000002190,48
ENSDARG00000002192,8
ENSDARG00000002193,2827
ENSDARG00000002194,0
ENSDARG00000002196,36
ENSDARG00000002197,60
ENSDARG00000002204,4
ENSDARG00000002210,31
ENSDARG00000002213,5
ENSDARG00000002215,28
ENSDARG00000002216,56
ENSDARG00000002217,204
ENSDARG00000002219,8
ENSDARG00000002220,0
ENSDARG00000002230,168
ENSDARG00000002231,13
ENSDARG00000002235,82
ENSDARG00000002240,27
ENSDARG00000002241,0
ENSDARG00000002249,42
ENSDARG00000002255,166
ENSDARG00000002259,0
ENSDARG00000002264,24
ENSDARG00000002267,16
ENSDARG00000002271,178
ENSDARG00000002285,61
ENSDARG00000002293,0
ENSDARG00000002295,3
ENSDARG00000002298,1
ENSDARG00000002299,7
ENSDARG00000002300,7
