G5,Counts
ENSDARG00000000001,8
ENSDARG00000000002,73
ENSDARG00000000018,71
ENSDARG00000000019,242
ENSDARG00000000068,68
ENSDARG00000000069,179
ENSDARG00000000086,445
ENSDARG00000000103,709
ENSDARG00000000142,31
ENSDARG00000000151,188
ENSDARG00000000161,54
ENSDARG00000000175,13
ENSDARG00000000183,225
ENSDARG00000000189,280
ENSDARG00000000212,1162
ENSDARG00000000229,58
ENSDARG00000000241,140
ENSDARG00000000349,3
ENSDARG00000000369,8
ENSDARG00000000370,360
ENSDARG00000000380,73
ENSDARG00000000394,167
ENSDARG00000000423,28
ENSDARG00000000442,26
ENSDARG00000000460,0
ENSDARG00000000472,137
ENSDARG00000000474,0
ENSDARG00000000476,21
ENSDARG00000000489,85
ENSDARG00000000503,1412
ENSDARG00000000516,0
ENSDARG00000000529,33
ENSDARG00000000540,88
ENSDARG00000000542,62
ENSDARG00000000551,87
ENSDARG00000000563,60215
ENSDARG00000000567,83
ENSDARG00000000568,70
ENSDARG00000000588,5
ENSDARG00000000606,0
ENSDARG00000000631,89
ENSDARG00000000638,0
ENSDARG00000000651,6
ENSDARG00000000656,0
ENSDARG00000000666,83
ENSDARG00000000690,18
ENSDARG00000000729,54
ENSDARG00000000730,7
ENSDARG00000000747,5
ENSDARG00000000760,43
ENSDARG00000000767,15
ENSDARG00000000779,156
ENSDARG00000000796,20
ENSDARG00000000804,8
ENSDARG00000000830,0
ENSDARG00000000837,172
ENSDARG00000000853,58
ENSDARG00000000857,16
ENSDARG00000000861,599
ENSDARG00000000887,21
ENSDARG00000000906,2
ENSDARG00000000935,34
ENSDARG00000000943,45
ENSDARG00000000966,1028
ENSDARG00000001014,761
ENSDARG00000001015,66
ENSDARG00000001057,126
ENSDARG00000001127,140
ENSDARG00000001129,406
ENSDARG00000001154,77
ENSDARG00000001162,168
ENSDARG00000001169,23
ENSDARG00000001210,39
ENSDARG00000001220,397
ENSDARG00000001234,86
ENSDARG00000001241,190
ENSDARG00000001244,421
ENSDARG00000001249,6
ENSDARG00000001259,4
ENSDARG00000001303,0
ENSDARG00000001313,23
ENSDARG00000001354,6
ENSDARG00000001414,30
ENSDARG00000001431,2041
ENSDARG00000001437,77
ENSDARG00000001442,32
ENSDARG00000001447,46
ENSDARG00000001452,14
ENSDARG00000001463,72
ENSDARG00000001470,236
ENSDARG00000001498,3
ENSDARG00000001549,128
ENSDARG00000001557,6
ENSDARG00000001558,38
ENSDARG00000001559,684
ENSDARG00000001572,0
ENSDARG00000001578,50
ENSDARG00000001621,11
ENSDARG00000001634,181
ENSDARG00000001656,0
ENSDARG00000001676,141
ENSDARG00000001686,7
ENSDARG00000001710,300
ENSDARG00000001712,21
ENSDARG00000001721,0
ENSDARG00000001729,309
ENSDARG00000001733,81
ENSDARG00000001734,12
ENSDARG00000001754,82
ENSDARG00000001760,104
ENSDARG00000001767,12
ENSDARG00000001769,68
ENSDARG00000001771,0
ENSDARG00000001776,49
ENSDARG00000001777,107
ENSDARG00000001781,0
ENSDARG00000001782,15
ENSDARG00000001785,67
ENSDARG00000001788,339
ENSDARG00000001803,8
ENSDARG00000001804,0
ENSDARG00000001807,78
ENSDARG00000001817,59
ENSDARG00000001818,419
ENSDARG00000001825,1
ENSDARG00000001829,284
ENSDARG00000001835,129
ENSDARG00000001857,299
ENSDARG00000001859,7
ENSDARG00000001870,2005
ENSDARG00000001873,50
ENSDARG00000001879,93
ENSDARG00000001880,7
ENSDARG00000001881,33
ENSDARG00000001882,82
ENSDARG00000001888,128
ENSDARG00000001889,399
ENSDARG00000001890,201
ENSDARG00000001891,10
ENSDARG00000001897,100
ENSDARG00000001898,25
ENSDARG00000001906,4
ENSDARG00000001909,8
ENSDARG00000001910,281
ENSDARG00000001912,7
ENSDARG00000001913,30
ENSDARG00000001929,23
ENSDARG00000001930,52
ENSDARG00000001933,14
ENSDARG00000001937,0
ENSDARG00000001939,30
ENSDARG00000001940,74
ENSDARG00000001950,1545
ENSDARG00000001953,43
ENSDARG00000001968,190
ENSDARG00000001969,32
ENSDARG00000001971,8
ENSDARG00000001975,11
ENSDARG00000001976,44
ENSDARG00000001993,133
ENSDARG00000001994,780
ENSDARG00000001999,34
