GO/Pathway/Gene Set/Gene ID,GO Level,GO/Pathway/Gene Set/Gene Name,All Genes (Expression Data),All Genes (Platform),Input Genes,Genes with BMD <= Highest Dose,Genes with BMD p-Value >= ,Genes with BMD/BMDL <= ,Genes with BMDU/BMD <= ,Genes with BMDU/BMDL <= ,Genes with BMD <= N-Fold Lowest Positive Dose ,Genes That Passed All Filters,Fisher's A Parameter,Fisher's B Parameter,Fisher's C Parameter,Fisher's D Parameter,Fisher's Exact Left P-Value,Fisher's Exact Right P-Value,Fisher's Exact Two Tail,Percentage,Entrez Gene IDs,Gene Symbols,Probe IDs,Genes with Conflicting Probesets,BMD Mean,BMD Median,BMD Minimum,BMD Standard Deviation,BMD wMean,BMD wSD,BMDL Mean,BMDL Median,BMDL Minimum,BMDL Standard Deviation,BMDL wMean,BMDL wSD,BMDU Mean,BMDU Median,BMDU Minimum,BMDU Standard Deviation,BMDU wMean,BMDU wSD,5th Percentile Index,BMD at 5th Percentile of Total Genes,10th Percentile Index,BMD at 10th Percentile of Total Genes,BMD List,BMDL List,BMDU List,Probes with Adverse Direction Up,Probes with Adverse Direction Down,Genes with Adverse Direction Up,Genes Up List,Genes Up Probes List,Genes Up BMD Mean,Genes Up BMD Median,Genes Up SD,Genes Up BMDL Mean,Genes Up BMDL Median,Genes Up BMDL SD,Genes Up BMDU Mean,Genes Up BMDU Median,Genes Up BMDU SD,BMD list (up),BMDL List (up),BMDU List (up),Genes with Adverse Direction Down,Genes Down List,Genes Down Probes List,Genes Down BMD Mean,Genes Down BMD Median,Genes Down SD,Genes Down BMDL Mean,Genes Down BMDL Median,Genes Down BMDL SD,Genes Down BMDU Mean,Genes Down BMDU Median,Genes Down BMDU SD,BMD list (down),BMDL List (down),BMDU List (down),Genes with Adverse Conflict Count,Genes Conflict List,Genes Conflict Probes List,BMD list (Conflict),BMDL list (Conflict),BMDU list (Conflict),Model Counts,Mean Fold Change,Total Fold Change,Min Fold Change,Max Fold Change,Standard Deviation Fold Change,Median Fold Change,Lower bound of the 95% confidence interval -  BMD,Upper bound of the 95% confidence interval -  BMD,Lower bound of the 95% confidence interval -  BMDL,Upper bound of the 95% confidence interval -  BMDL,Lower bound of the 95% confidence interval -  BMDU,Upper bound of the 95% confidence interval -  BMDU,Overall Direction,Percent Genes With Overall Direction Up,Percent Genes With Overall Direction Down,Percent Genes With Overall Direction Conflict
all,0,all,17087,18951,156,142,94,134,126,108,154,68,68,0,18883,0,1,1,1,0.36,101886060;101882139;100537750;100535867;100535600;100334928;100331536;100330830;100329657;100321723;100319387;100319240;100233211;100191015;100142654;100007673;100004589;100003583;100002946;799479;799022;798021;796843;794872;790965;768300;767756;767698;654692;641503;573111;571832;571066;570547;569607;569366;569261;568750;567764;566848;566080;565516;564090;563073;562469;562155;560601;560561;559020;557207;557185;556955;555344;553800;548604;497637;445161;431774;406340;406304;405762;394198;393484;373873;368241;336038;117509;30079,kdf1b;kcnk17;foxq1a;si:dkey-31f5.8;themis2;tgfbr2a;tmtops2b;nbeal2;ltb4r;si:dkey-192g7.3;fbxo4;serp2;lat;zgc:194221;them6;gpr160;rxfp3.2b;si:ch211-145o7.3;cxcl8a;adgrg3;si:dkey-224e22.2;syt15;sp100.1;pcolceb;si:dkey-286h2.3;myh7l;ugt5a2;zgc:153039;cxcr3.1;wdr27;tpmt.2;ubtd1b;si:ch1073-513e17.1;uckl1a;mical2a;tnfaip2b;pkhd1l1;trim108;blk;zgc:163083;myh11b;crtac1b;zgc:193593;niban2a;ptger4a;klf4;slc8b1;slc8a3;ptgs2b;si:ch211-135n15.2;slc25a35;arhgap45a;si:dkey-202e17.1;cep55l;nr4a3;xirp1;cenpp;bgna;dusp1;gadd45ba;cdx1a;fosab;cyp2k18;gabbr1a;egr2a;junbb;klf2b;btg2,ENSDARG00000101878;ENSDARG00000105453;ENSDARG00000030896;ENSDARG00000094428;ENSDARG00000058964;ENSDARG00000059363;ENSDARG00000027822;ENSDARG00000098641;ENSDARG00000032631;ENSDARG00000094012;ENSDARG00000074170;ENSDARG00000094003;ENSDARG00000100334;ENSDARG00000039687;ENSDARG00000103914;ENSDARG00000038700;ENSDARG00000061846;ENSDARG00000061548;ENSDARG00000104795;ENSDARG00000074782;ENSDARG00000034941;ENSDARG00000079926;ENSDARG00000055359;ENSDARG00000052057;ENSDARG00000068290;ENSDARG00000079782;ENSDARG00000093640;ENSDARG00000102724;ENSDARG00000007358;ENSDARG00000053386;ENSDARG00000028012;ENSDARG00000079623;ENSDARG00000086739;ENSDARG00000001686;ENSDARG00000075608;ENSDARG00000058160;ENSDARG00000091116;ENSDARG00000061762;ENSDARG00000007783;ENSDARG00000099873;ENSDARG00000100972;ENSDARG00000102517;ENSDARG00000096843;ENSDARG00000062970;ENSDARG00000059236;ENSDARG00000079922;ENSDARG00000105584;ENSDARG00000004931;ENSDARG00000010276;ENSDARG00000096933;ENSDARG00000102783;ENSDARG00000052496;ENSDARG00000062278;ENSDARG00000102349;ENSDARG00000055854;ENSDARG00000030722;ENSDARG00000044135;ENSDARG00000017884;ENSDARG00000100515;ENSDARG00000027744;ENSDARG00000114554;ENSDARG00000031683;ENSDARG00000104593;ENSDARG00000018967;ENSDARG00000044098;ENSDARG00000104773;ENSDARG00000040432;ENSDARG00000020298,,1.038579853,1.30294,5.64E-04,0.789343313,0.87984416,0.765583449,0.62413228,0.7734955,2.33E-04,0.468828739,0.545366945,0.469903922,4.011516062,2.83194,5.64E-04,5.485768495,2.856172362,4.147597398,,,,,1.29982;1.05737;1.68283;0.0883489;1.52794;9.44624E-4;0.0621894;1.43613;1.85515;1.68671;0.0305712;1.29602;0.0186783;1.46621;1.97199;0.111663;1.10219;1.88644;0.0929318;1.19618;1.78984;1.45818;0.11962;1.83355;0.920596;2.33955;0.0744367;0.00369991;1.32919;1.89476;0.0230555;0.0811717;0.031482;1.80304;5.63732E-4;0.0795243;1.24268;1.52606;1.62032;1.75892;0.0244156;1.58528;0.0930159;1.42429;1.94844;2.38545;0.0377779;0.0651839;1.46069;2.37604;1.30606;0.0917553;1.71702;1.40477;1.85998;0.00660481;8.33506E-4;1.46387;0.230959;2.33565;0.143222;0.895132;0.871326;1.44207;1.35384;1.79437;0.981617;1.52322,0.831698;0.708516;1.00013;0.0593429;0.935535;2.32945E-4;0.0440812;0.895054;1.19241;1.00169;0.00826782;0.712612;0.00738119;0.789871;0.958772;0.0712788;0.732364;1.07857;0.0617677;0.780757;1.04222;1.0341;0.0157996;1.22231;0.632561;1.23068;0.0127119;0.00103345;0.845692;1.28401;0.00807186;0.0553532;0.00926613;1.04728;5.6373E-4;0.0544055;0.803919;1.05634;1.11461;1.23024;0.007083;0.766234;0.0618473;0.889709;0.934129;1.24459;0.0114793;0.0459058;0.906053;1.38915;0.92635;0.0151184;1.01379;0.766057;1.06876;0.00119468;2.5535E-4;0.907468;0.114426;1.22949;0.0851143;0.617877;0.60399;0.76163;0.857287;1.04396;0.667052;0.933496,2.9156;2.03722;5.20614;0.168629;4.08982;0.00583954;0.102458;3.56383;5.34668;5.23879;0.193328;3.78739;0.123328;4.83873;11.9081;0.251299;2.17896;7.37365;0.183461;2.50435;6.21549;2.74828;0.511159;4.7553;1.64964;22.8645;0.199614;0.0160158;3.04393;4.90062;0.133427;0.148335;0.174339;6.35795;5.63734E-4;0.144067;2.68136;3.11052;3.48006;3.85949;0.235873;6.70989;0.18309;3.50178;11.9585;27.5547;0.149471;0.109246;3.69655;18.0913;2.36167;0.43665;5.5031;4.3901;7.0278;0.0346632;0.00405095;3.71414;1.87082;22.5318;0.445675;1.58404;1.52436;4.85603;3.15611;6.2639;1.81484;4.06068,56,12,56,101886060;101882139;100537750;100535867;100535600;100334928;100330830;100329657;100321723;100319387;100233211;100007673;100003583;100002946;799479;799022;798021;796843;794872;790965;768300;767756;767698;654692;641503;573111;571832;571066;569607;569366;569261;568750;567764;566848;566080;563073;562155;560601;560561;559020;557207;557185;556955;555344;548604;497637;431774;406340;406304;405762;394198;393484;368241;336038;117509;30079,ENSDARG00000101878;ENSDARG00000105453;ENSDARG00000030896;ENSDARG00000094428;ENSDARG00000058964;ENSDARG00000059363;ENSDARG00000098641;ENSDARG00000032631;ENSDARG00000094012;ENSDARG00000074170;ENSDARG00000100334;ENSDARG00000038700;ENSDARG00000061548;ENSDARG00000104795;ENSDARG00000074782;ENSDARG00000034941;ENSDARG00000079926;ENSDARG00000055359;ENSDARG00000052057;ENSDARG00000068290;ENSDARG00000079782;ENSDARG00000093640;ENSDARG00000102724;ENSDARG00000007358;ENSDARG00000053386;ENSDARG00000028012;ENSDARG00000079623;ENSDARG00000086739;ENSDARG00000075608;ENSDARG00000058160;ENSDARG00000091116;ENSDARG00000061762;ENSDARG00000007783;ENSDARG00000099873;ENSDARG00000100972;ENSDARG00000062970;ENSDARG00000079922;ENSDARG00000105584;ENSDARG00000004931;ENSDARG00000010276;ENSDARG00000096933;ENSDARG00000102783;ENSDARG00000052496;ENSDARG00000062278;ENSDARG00000055854;ENSDARG00000030722;ENSDARG00000017884;ENSDARG00000100515;ENSDARG00000027744;ENSDARG00000114554;ENSDARG00000031683;ENSDARG00000104593;ENSDARG00000044098;ENSDARG00000104773;ENSDARG00000040432;ENSDARG00000020298,1.00798895,1.27125,0.804939195,0.622604682,0.8178085,0.48973574,3.848354344,2.592855,5.761218153,1.29982;1.05737;1.68283;0.0883489;1.52794;9.44624E-4;1.43613;1.85515;1.68671;0.0305712;0.0186783;0.111663;1.88644;0.0929318;1.19618;1.78984;1.45818;0.11962;1.83355;0.920596;2.33955;0.0744367;0.00369991;1.32919;1.89476;0.0230555;0.0811717;0.031482;5.63732E-4;0.0795243;1.24268;1.52606;1.62032;1.75892;0.0244156;1.42429;2.38545;0.0377779;0.0651839;1.46069;2.37604;1.30606;0.0917553;1.71702;1.85998;0.00660481;1.46387;0.230959;2.33565;0.143222;0.895132;0.871326;1.35384;1.79437;0.981617;1.52322,0.831698;0.708516;1.00013;0.0593429;0.935535;2.32945E-4;0.895054;1.19241;1.00169;0.00826782;0.00738119;0.0712788;1.07857;0.0617677;0.780757;1.04222;1.0341;0.0157996;1.22231;0.632561;1.23068;0.0127119;0.00103345;0.845692;1.28401;0.00807186;0.0553532;0.00926613;5.6373E-4;0.0544055;0.803919;1.05634;1.11461;1.23024;0.007083;0.889709;1.24459;0.0114793;0.0459058;0.906053;1.38915;0.92635;0.0151184;1.01379;1.06876;0.00119468;0.907468;0.114426;1.22949;0.0851143;0.617877;0.60399;0.857287;1.04396;0.667052;0.933496,2.9156;2.03722;5.20614;0.168629;4.08982;0.00583954;3.56383;5.34668;5.23879;0.193328;0.123328;0.251299;7.37365;0.183461;2.50435;6.21549;2.74828;0.511159;4.7553;1.64964;22.8645;0.199614;0.0160158;3.04393;4.90062;0.133427;0.148335;0.174339;5.63734E-4;0.144067;2.68136;3.11052;3.48006;3.85949;0.235873;3.50178;27.5547;0.149471;0.109246;3.69655;18.0913;2.36167;0.43665;5.5031;7.0278;0.0346632;3.71414;1.87082;22.5318;0.445675;1.58404;1.52436;3.15611;6.2639;1.81484;4.06068,12,100331536;100319240;100191015;100142654;100004589;570547;565516;564090;562469;553800;445161;373873,ENSDARG00000027822;ENSDARG00000094003;ENSDARG00000039687;ENSDARG00000103914;ENSDARG00000061846;ENSDARG00000001686;ENSDARG00000102517;ENSDARG00000096843;ENSDARG00000059236;ENSDARG00000102349;ENSDARG00000044135;ENSDARG00000018967,1.181337401,1.42342,0.726902487,0.631261071,0.7638435,0.373512222,4.772937413,4.614415,4.070817211,0.0621894;1.29602;1.46621;1.97199;1.10219;1.80304;1.58528;0.0930159;1.94844;1.40477;8.33506E-4;1.44207,0.0440812;0.712612;0.789871;0.958772;0.732364;1.04728;0.766234;0.0618473;0.934129;0.766057;2.5535E-4;0.76163,0.102458;3.78739;4.83873;11.9081;2.17896;6.35795;6.70989;0.18309;11.9585;4.3901;0.00405095;4.85603,0,,,,,,"Exp 2,16(0.24);Exp 4,13(0.2);Hill,1(0.02);Linear,28(0.42);Poly 2,10(0.15)",1.841924021,127.5214511,1.507208824,3.473376036,0.395241428,1.735683024,0.850964856,1.226194849,0.512698762,0.735565798,2.707631657,5.315400467,UP,0.823529412,0.176470588,0
GO:0000003,2,reproduction,5,5,1,1,0,0,1,0,1,0,0,68,5,18878,0.98219,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GO:0000062,8,fatty-acyl-CoA binding,17,17,1,0,0,1,0,0,1,0,0,68,17,18866,0.9407,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GO:0000075,6,cell cycle checkpoint signaling,57,62,1,1,0,1,1,1,1,0,0,68,62,18821,0.79993,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GO:0000076,8,DNA replication checkpoint signaling,10,11,1,1,0,1,1,1,1,0,0,68,11,18872,0.96122,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GO:0000079,8,regulation of cyclin-dependent protein serine/threonine kinase activity,30,34,1,1,0,1,0,0,1,0,0,68,34,18849,0.88486,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GO:0000082,6,G1/S transition of mitotic cell cycle,14,15,1,0,0,1,0,0,1,0,0,68,15,18868,0.94749,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GO:0000086,6,G2/M transition of mitotic cell cycle,11,11,1,1,0,0,1,0,1,0,0,68,11,18872,0.96122,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GO:0000145,4,exocyst,17,18,1,1,1,1,1,1,1,1,1,67,17,18866,0.99813,0.062682,0.062682,5.56,569366,tnfaip2b,ENSDARG00000058160,,0.0795243,0.0795243,0.0795243,,0.0795243,,0.0544055,0.0544055,0.0544055,,0.0544055,,0.144067,0.144067,0.144067,,0.144067,,0,0.0795243,,,0.0795243,0.0544055,0.144067,1,0,1,569366,ENSDARG00000058160,0.0795243,0.0795243,,0.0544055,0.0544055,,0.144067,0.144067,,0.0795243,0.0544055,0.144067,0,,,,,,,,,,,,,,,0,,,,,,"Poly 2,1(1)",2.178884029,2.178884029,2.178884029,2.178884029,0,2.178884029,0.0795243,0.0795243,0.0544055,0.0544055,0.144067,0.144067,UP,1,0,0
GO:0000149,4,SNARE binding,108,111,2,2,2,2,2,2,2,2,2,66,109,18774,0.99256,0.060327,0.060327,1.8,798021;569366,syt15;tnfaip2b,ENSDARG00000079926;ENSDARG00000058160,,0.76885215,0.76885215,0.0795243,0.974856794,0.684834816,0.967588727,0.54425275,0.54425275,0.0544055,0.692748624,0.484548706,0.687583821,1.4461735,1.4461735,0.144067,1.841456672,1.287468876,1.827727649,,,,,1.45818;0.0795243,1.0341;0.0544055,2.74828;0.144067,2,0,2,798021;569366,ENSDARG00000079926;ENSDARG00000058160,0.76885215,0.76885215,0.974856794,0.54425275,0.54425275,0.692748624,1.4461735,1.4461735,1.841456672,1.45818;0.0795243,1.0341;0.0544055,2.74828;0.144067,0,,,,,,,,,,,,,,,0,,,,,,"Exp 2,1(0.5);Poly 2,1(0.5)",1.954155373,3.93148911,1.752605081,2.178884029,0.301424735,1.965744555,-0.582230436,2.119934736,-0.41584786,1.50435336,-1.10595524,3.99830224,UP,1,0,0
